vendorCode;oem;model;ean;children
1910;T5659;T5659;20044121;1
1909;T5657;T5657;20044107;1
1908;T5656;T5656;20044091;1
1912;T5962;T5962;20058821;1
1913;T5963;T5963;20052553;1
1917;T5967;T5967;20050993;1
1915;T5965;T5965;20051013;1
1916;T5966;T5966;20055554;1
1918;T5968;T5968;20050986;1
1919;T5969;T5969;20056186;1
1921;T596B;T596B;20046569;1
1920;T596A;T596A;20046552;1
1939;C4941A;C4941A;20104054;1
1940;C4942A;C4942A;20104078;1
1941;C4943A;C4943A;20104085;1
1942;C4944A;C4944A;20104092;1
1943;C4945A;C4945A;20104108;1
1956;CEXV17C;CEXV17C;20022600;1
1957;CEXV17M;CEXV17M;20022617;1
1958;CEXV17Y;CEXV17Y;20022624;1
1975;CEXV8C;CEXV8C;20020460;1
1976;CEXV8M;CEXV8M;20020477;1
1977;CEXV8Y;CEXV8Y;20020484;1
2000;DRP01;DRP01;20119812;1
2006;302B;302B;20117306;1
2013;TN214C;TN214C;20120009;1
2015;TN214M;TN214M;20120016;1
2016;TN214Y;TN214Y;20120061;1
2029;TN314Y;TN314Y;20119416;1
5738;;;20420390;1
4315;W9061MC;W9061MC;20451653;1
4317;W9063MC;W9063MC;20060329;1
2041;TN611C;TN611C;20117153;1
2042;TN611M;TN611M;20117160;1
2043;TN611Y;TN611Y;20117184;1
2044;TN613C;TN613C;20116460;1
2047;TN613Y;TN613Y;20119355;1
2046;TN613M;TN613M;20116408;1
2052;411844;411844;20385644;1
2086;MPC3500;MPC3500;20152154;1
2085;MPC3500;MPC3500;20152147;1
2087;MPC3500;MPC3500;20152161;1
2091;MPC6501;MPC6501;20152284;1
2089;MPC6501;MPC6501;20152260;1
2090;MPC6501;MPC6501;20152277;1
2130;C9153A;C9153A;20099350;1
2134;TN711Y;TN711Y;20116453;1
2133;TN711M;TN711M;20116446;1
2142;C792MR;C792MR;;1
2141;C792CR;C792CR;;1
2143;C792YR;C792YR;;1
2148;C660B;C660B;20163211;1
2191;973XLY;973XLY;20363239;1
2189;973XLC;973XLC;20103026;1
2190;973XLM;973XLM;20363222;1
2805;MLTR704;MLTR704;20386337;1
2398;CF365M;CF365M;20066673;1
2509;TK880C;TK880C;20121662;1
2511;TK880Y;TK880Y;20121631;1
2510;TK880M;TK880M;20121686;1
2516;TNP18C;TNP18C;20118211;1
2517;TNP18M;TNP18M;20118228;1
2518;TNP18Y;TNP18Y;20118235;1
2521;TN310C;TN310C;20118259;1
2522;TN310M;TN310M;20118266;1
2523;TN310Y;TN310Y;20118273;1
2531;4576511;4576511;20118297;1
2533;4576311;4576311;20118310;1
2532;4576411;4576411;20118303;1
2536;1710550;1710550;20118327;1
2538;1710550;1710550;20118341;1
2537;1710550;1710550;20118334;1
2541;A0DK452;A0DK452;20119249;1
2542;A0DK352;A0DK352;20117634;1
2543;A0DK252;A0DK252;20119270;1
2558;T003T005;T003T005;20444020;1
2557;T005;T005;20049072;1
2560;T016;T016;20049096;1
2568;T0332;T0332;20327200;1
2569;T0333;T0333;20057466;1
2570;T0334;T0334;20044299;1
2571;T0335;T0335;20058739;1
2572;T0336;T0336;20059699;1
2583;T0562;T0562;20049164;1
2584;T0563;T0563;20049171;1
2585;T0564;T0564;20049188;1
2588;T0602;T0602;20057220;1
2589;T0603;T0603;20058463;1
2590;T0604;T0604;20059705;1
2593;T0752;T0752;20049201;1
2594;T0753;T0753;20049218;1
2595;T0754;T0754;20049225;1
2599;T0763;T0763;20049263;1
2598;T0762;T0762;20049256;1
