account,sku,assigned_group,applied,причина
oz_acc1,1999804181,A,true,
oz_acc1,2129691593,A,true,
oz_acc1,2129711100,A,true,
oz_acc1,2129713163,A,true,
oz_acc1,2129714867,A,true,
oz_acc1,2130073252,A,true,
oz_acc1,2130091453,A,true,
oz_acc1,2143289401,A,true,
oz_acc1,2166618397,A,true,
oz_acc1,2169552868,A,true,
oz_acc1,2201849026,A,true,
oz_acc1,2203289706,A,true,
oz_acc1,2203319319,A,true,
oz_acc1,2203324845,A,true,
oz_acc1,2203328393,A,true,
oz_acc1,2203336525,A,true,
oz_acc1,2209376582,A,true,
oz_acc1,2213942616,A,true,
oz_acc1,2214059171,A,true,
oz_acc1,2214080148,A,true,
oz_acc1,2214099415,A,true,
oz_acc1,2214111234,A,true,
oz_acc1,2214117657,A,true,
oz_acc1,2214126927,A,true,
oz_acc1,2214146684,A,true,
oz_acc1,2214158816,A,true,
oz_acc1,2214169665,A,true,
oz_acc1,2214178412,A,true,
oz_acc1,2214246481,A,true,
oz_acc1,2214341486,A,true,
oz_acc1,2214348415,A,true,
oz_acc1,2214376913,A,true,
oz_acc1,2216043561,A,true,
oz_acc1,2226501711,A,true,
oz_acc1,2241788582,A,true,
oz_acc1,2262637177,A,true,
oz_acc1,2374665168,A,true,
oz_acc1,2375190780,A,true,
oz_acc1,2463313455,A,true,
oz_acc1,2504726617,A,true,
oz_acc1,2516613647,A,true,
oz_acc1,2516649467,A,true,
oz_acc1,2517112038,A,true,
oz_acc1,2519986143,A,true,
oz_acc1,2524215475,A,true,
oz_acc1,2556256049,A,true,
oz_acc1,2604579694,A,true,
oz_acc1,2604840723,A,true,
oz_acc1,2652681052,A,true,
oz_acc1,2653017293,A,true,
oz_acc1,2661262091,A,true,
oz_acc1,2678820612,A,true,
oz_acc1,2685378068,A,true,
oz_acc1,2686018545,A,true,
oz_acc1,2686381512,A,true,
oz_acc1,2693241375,A,true,
oz_acc1,2695022814,A,true,
oz_acc1,2695125848,A,true,
oz_acc1,2711621979,A,true,
oz_acc1,2716460322,A,true,
oz_acc1,2717352292,A,true,
oz_acc1,2718796159,A,true,
oz_acc1,2727729174,A,true,
oz_acc1,2741554716,A,true,
oz_acc1,2746296703,A,true,
oz_acc1,2747581184,A,true,
oz_acc1,2748563396,A,true,
oz_acc1,2798071760,A,true,
oz_acc1,2798102773,A,true,
oz_acc1,2805589187,A,true,
oz_acc1,2806862095,A,true,
oz_acc1,2815981139,A,true,
oz_acc1,2816395953,A,true,
oz_acc1,2837963147,A,true,
oz_acc1,2868900155,A,true,
oz_acc1,2909094463,A,true,
oz_acc1,2909605268,A,true,
oz_acc1,2912278527,A,true,
oz_acc1,2912501241,A,true,
oz_acc1,2915612517,A,true,
oz_acc1,2917604956,A,true,
oz_acc1,2919692742,A,true,
oz_acc1,2921495364,A,true,
oz_acc1,2923153284,A,true,
oz_acc1,2923304137,A,true,
oz_acc1,2923528365,A,true,
oz_acc1,2923716898,A,true,
oz_acc1,2924080082,A,true,
oz_acc1,2925698725,A,true,
oz_acc1,2926119657,A,true,
oz_acc1,2926174990,A,true,
oz_acc1,2926196556,A,true,
oz_acc1,2926870911,A,true,
oz_acc1,2926967929,A,true,
oz_acc1,2929045652,A,true,
oz_acc1,2929127999,A,true,
oz_acc1,2929326381,A,true,
oz_acc1,2929400598,A,true,
oz_acc1,2931678051,A,true,
oz_acc1,2935693810,A,true,
oz_acc1,2935700743,A,true,
oz_acc1,2962500619,A,true,
oz_acc1,2999182881,A,true,
oz_acc1,2999193397,A,true,
oz_acc1,3006185440,A,true,
oz_acc1,3006479268,A,true,
oz_acc1,3006507445,A,true,
oz_acc1,3006524003,A,true,
oz_acc1,3194577580,A,true,
oz_acc1,3194612033,A,true,
oz_acc1,3195089811,A,true,
oz_acc1,3199383328,A,true,
oz_acc1,3199400758,A,true,
oz_acc1,3260315536,A,true,
oz_acc1,3350160026,A,true,
oz_acc1,3350367401,A,true,
oz_acc1,3350380420,A,true,
oz_acc1,3350388242,A,true,
oz_acc1,3369164431,A,true,
oz_acc1,3415711196,A,true,
oz_acc1,3460923923,A,true,
oz_acc1,3460947459,A,true,
oz_acc1,3548485164,A,true,
oz_acc1,3548514468,A,true,
oz_acc1,3557209623,A,true,
oz_acc1,3557209653,A,true,
oz_acc1,3557209680,A,true,
oz_acc1,3557209685,A,true,
oz_acc1,3557209750,A,true,
oz_acc1,3557209761,A,true,
oz_acc1,3557209773,A,true,
oz_acc1,3557209778,A,true,
oz_acc1,3557209789,A,true,
oz_acc1,3557209806,A,true,
oz_acc1,3557209811,A,true,
oz_acc1,3557209841,A,true,
oz_acc1,3557209845,A,true,
oz_acc1,3557209867,A,true,
oz_acc1,3557209903,A,true,
oz_acc1,3557209912,A,true,
oz_acc1,3557209931,A,true,
oz_acc1,3557209935,A,true,
oz_acc1,3557209940,A,true,
oz_acc1,3557209941,A,true,
oz_acc1,3557209943,A,true,
oz_acc1,3557209961,A,true,
oz_acc1,3557210004,A,true,
oz_acc1,3557210008,A,true,
oz_acc1,3557210018,A,true,
oz_acc1,3557210022,A,true,
oz_acc1,3557210051,A,true,
oz_acc1,3557210082,A,true,
oz_acc1,3557210487,A,true,
oz_acc1,3557210582,A,true,
oz_acc1,3557210630,A,true,
oz_acc1,3557210699,A,true,
oz_acc1,3557210708,A,true,
oz_acc1,3557210721,A,true,
oz_acc1,3557210735,A,true,
oz_acc1,3557210762,A,true,
oz_acc1,3557210763,A,true,
oz_acc1,3557210787,A,true,
oz_acc1,3557210809,A,true,
oz_acc1,3557210840,A,true,
oz_acc1,3557210841,A,true,
oz_acc1,3557210856,A,true,
oz_acc1,3557210874,A,true,
oz_acc1,3557210892,A,true,
oz_acc1,3557210896,A,true,
oz_acc1,3557210899,A,true,
oz_acc1,3557210914,A,true,
oz_acc1,3557210927,A,true,
oz_acc1,3557210947,A,true,
oz_acc1,3557210988,A,true,
oz_acc1,3557210994,A,true,
oz_acc1,3557211000,A,true,
oz_acc1,3557211019,A,true,
oz_acc1,3557211027,A,true,
oz_acc1,3557211053,A,true,
oz_acc1,3557211065,A,true,
oz_acc1,3557211092,A,true,
oz_acc1,3557211102,A,true,
oz_acc1,3557211134,A,true,
oz_acc1,3557211141,A,true,
oz_acc1,3557211177,A,true,
oz_acc1,3557211197,A,true,
oz_acc1,3557211207,A,true,
oz_acc1,3557211212,A,true,
oz_acc1,3557211220,A,true,
oz_acc1,3557211228,A,true,
oz_acc1,3557211244,A,true,
oz_acc1,3557211256,A,true,
oz_acc1,3557211260,A,true,
oz_acc1,3557211261,A,true,
oz_acc1,3557211283,A,true,
oz_acc1,3557211292,A,true,
oz_acc1,3557211299,A,true,
oz_acc1,3557211373,A,true,
oz_acc1,3557211386,A,true,
oz_acc1,3557211459,A,true,
oz_acc1,3558736099,A,true,
oz_acc1,3558742596,A,true,
oz_acc1,3558754981,A,true,
oz_acc1,3558758138,A,true,
oz_acc1,3558760658,A,true,
oz_acc1,3558768615,A,true,
oz_acc1,3558770927,A,true,
oz_acc1,3558774446,A,true,
oz_acc1,3558815092,A,true,
oz_acc1,3651554276,A,true,
oz_acc1,3651554280,A,true,
oz_acc1,3651670684,A,true,
oz_acc1,3651673381,A,true,
oz_acc1,3652065583,A,true,
oz_acc1,3652129795,A,true,
oz_acc1,3652148856,A,true,
oz_acc1,3652150999,A,true,
oz_acc1,3652151223,A,true,
oz_acc1,3652153445,A,true,
oz_acc1,3655303449,A,true,
oz_acc1,3655306498,A,true,
oz_acc1,3655307897,A,true,
oz_acc1,3655430031,A,true,
oz_acc1,3655924186,A,true,
oz_acc1,3655928543,A,true,
oz_acc1,3656071075,A,true,
oz_acc1,3656073335,A,true,
oz_acc1,3656077388,A,true,
oz_acc1,3656519120,A,true,
oz_acc1,3656864008,A,true,
oz_acc1,3674688021,A,true,
oz_acc1,3674688667,A,true,
oz_acc1,3674688769,A,true,
oz_acc1,3674689095,A,true,
oz_acc1,3674689114,A,true,
oz_acc1,3674689195,A,true,
oz_acc1,3674690029,A,true,
oz_acc1,3674691757,A,true,
oz_acc1,3677139081,A,true,
oz_acc1,3720133219,A,true,
oz_acc1,3721933214,A,true,
oz_acc1,3722514029,A,true,
oz_acc1,3722517356,A,true,
oz_acc1,3735008384,A,true,
oz_acc1,3735011451,A,true,
oz_acc1,3735017028,A,true,
oz_acc1,3735019221,A,true,
oz_acc1,3735020181,A,true,
oz_acc1,3735021239,A,true,
oz_acc1,3736075518,A,true,
oz_acc1,3736134792,A,true,
oz_acc1,3736136098,A,true,
oz_acc1,3736137119,A,true,
oz_acc1,3736329062,A,true,
oz_acc1,3736329987,A,true,
oz_acc1,3748174517,A,true,
oz_acc1,3748226628,A,true,
oz_acc1,3760069809,A,true,
oz_acc1,3786332949,A,true,
oz_acc1,3835143477,A,true,
oz_acc1,3848837244,A,true,
oz_acc1,3848842757,A,true,
oz_acc1,3848848051,A,true,
oz_acc1,3855415323,A,true,
oz_acc1,3861479675,A,true,
oz_acc1,3861488830,A,true,
oz_acc1,3864870369,A,true,
oz_acc1,3953676273,A,true,
oz_acc1,3953677152,A,true,
oz_acc1,3953677598,A,true,
oz_acc1,3953682062,A,true,
oz_acc1,3953682157,A,true,
oz_acc1,4199638862,A,true,
oz_acc1,4264733568,A,true,
oz_acc1,4264736694,A,true,
oz_acc1,4280736143,A,true,
oz_acc1,4286927087,A,true,
oz_acc1,4286931304,A,true,
oz_acc1,4287195915,A,true,
oz_acc1,4331981930,A,true,
oz_acc1,4332915139,A,true,
oz_acc1,4332915370,A,true,
oz_acc1,4339325217,A,true,
oz_acc1,4393250811,A,true,
oz_acc1,4403234234,A,true,
oz_acc1,4422370613,A,true,
oz_acc1,4422546860,A,true,
oz_acc1,4422548382,A,true,
oz_acc1,4422548761,A,true,
oz_acc1,4423146786,A,true,
oz_acc1,4423148106,A,true,
oz_acc1,4423148268,A,true,
oz_acc1,4423148725,A,true,
oz_acc1,4423266592,A,true,
oz_acc1,4423659763,A,true,
oz_acc1,4423918270,A,true,
oz_acc1,4423957887,A,true,
oz_acc1,4424995652,A,true,
oz_acc1,4444637968,A,true,
oz_acc1,4444695221,A,true,
oz_acc1,4444696915,A,true,
oz_acc1,4444697722,A,true,
oz_acc1,4444697905,A,true,
oz_acc1,4444787158,A,true,
oz_acc1,4450866527,A,true,
oz_acc1,4450869150,A,true,
oz_acc1,4450870237,A,true,
oz_acc1,4450870421,A,true,
oz_acc1,4450870919,A,true,
oz_acc1,4450871818,A,true,
oz_acc1,4450871849,A,true,
oz_acc1,4450872142,A,true,
