core,sku,offer_id,ad_days_baseline,ad_views_baseline,spend_baseline,units_baseline,stock_baseline,price_baseline,price_swing_baseline,в_когорте,причина_исключения
CORE_A,652454564,0052,13,72,0.0,1.0,1388.0,3919.67,176.0,1,
CORE_A,652454593,0950,13,20,0.0,0.0,1045.0,1115.0,0.0,1,
CORE_A,652454599,0825,12,41,4.86,1.0,6329.0,2332.33,86.0,1,
CORE_A,652454637,0960,13,67,0.0,0.0,1154.0,1297.67,8.0,1,
CORE_A,652456543,0037,13,56,0.0,0.0,7405.0,2440.0,0.0,1,
CORE_A,652456813,0329,13,82,0.0,2.0,538.0,866.0,0.0,1,
CORE_A,652456832,0895,13,35,0.0,0.0,1175.0,837.0,0.0,1,
CORE_A,652456842,0897,13,34,0.0,0.0,1062.0,837.0,0.0,1,
CORE_A,652457440,1277,10,22,0.0,0.0,8.0,4044.0,0.0,1,
CORE_A,652462824,0948,13,90,0.0,0.0,940.0,1511.67,8.0,1,
CORE_A,652468917,0107,11,29,0.0,0.0,1028.0,3942.0,0.0,1,
CORE_A,652468928,2292,13,58,0.0,0.0,1382.0,3271.0,0.0,1,
CORE_A,652470207,2291,13,55,0.0,0.0,1249.0,3271.0,0.0,1,
CORE_A,652474821,0104,13,77,6.52,3.0,1359.0,3855.0,0.0,1,
CORE_A,652487349,3523,11,43,0.0,0.0,735.0,4230.33,13.0,1,
CORE_A,652488021,2186,13,65,0.0,4.0,1359.0,1700.0,0.0,1,
CORE_A,652492337,0203,13,122,15.08,0.0,658.0,5570.67,98.0,1,
CORE_A,652493579,0330,13,72,0.0,0.0,874.0,960.0,0.0,1,
CORE_A,652524483,0295,13,181,5.84,1.0,394.0,697.0,0.0,1,
CORE_A,652531143,0156,11,27,0.0,0.0,1056.0,586.0,0.0,1,
CORE_A,652535762,2607,13,96,0.0,0.0,322.0,837.0,0.0,1,
CORE_A,652547587,2395,13,98,9.3,0.0,660.0,6363.33,16.0,1,
CORE_A,652547591,1253,13,38,0.0,0.0,1632.0,576.0,0.0,1,
CORE_A,652549135,0139,10,24,0.0,0.0,572.0,669.0,0.0,1,
CORE_A,652549173,1489,12,30,7.0,0.0,118.0,1226.0,0.0,1,
CORE_A,652549272,0841,13,161,28.44,1.0,407.0,536.0,9.0,1,
CORE_A,652550333,1449,11,50,0.0,0.0,1371.0,669.0,0.0,1,
CORE_A,652550537,0325,12,39,0.0,0.0,416.0,1115.0,0.0,1,
CORE_A,652550546,0313,13,103,7.37,2.0,812.0,1131.67,26.0,1,
CORE_A,652551532,3756,13,69,8.49,3.0,766.0,669.0,0.0,1,
CORE_A,652554835,0797,9,17,0.0,1.0,615.0,790.0,0.0,1,
CORE_A,652558295,2293,13,68,0.0,6.0,1184.0,3420.0,0.0,1,
CORE_A,652561625,1445,10,22,0.0,1.0,475.0,1235.0,0.0,1,
CORE_A,652576702,0128,13,156,0.0,2.0,30.0,1051.67,17.0,1,
CORE_A,652576729,0820,13,72,13.31,0.0,871.0,784.0,9.0,1,
CORE_A,652576734,1503,13,156,32.06,3.0,65.0,511.0,0.0,1,
CORE_A,652576757,1446,13,43,0.0,1.0,1308.0,663.0,9.0,1,
CORE_A,652576770,1481,13,127,40.97,4.0,118.0,270.0,0.0,1,
CORE_A,652576781,0823,13,88,0.0,1.0,1734.0,818.0,0.0,1,
CORE_A,652576794,1490,13,130,0.0,1.0,104.0,1226.0,0.0,1,
CORE_A,652576806,1484,13,287,0.0,1.0,398.0,1029.0,0.0,1,
CORE_A,652576855,1487,13,70,0.0,0.0,212.0,1897.0,0.0,1,
CORE_A,652576864,1488,13,81,0.0,1.0,138.0,1226.0,0.0,1,
CORE_A,652576912,1482,13,372,22.05,5.0,103.0,270.0,0.0,1,
CORE_A,652576922,1486,13,121,6.84,1.0,479.0,1055.0,0.0,1,
CORE_A,652576989,0821,13,32,0.0,0.0,1465.0,784.0,9.0,1,
CORE_A,652578902,0016,9,17,0.0,0.0,415.0,586.0,0.0,1,
CORE_A,652586720,3049,11,26,0.0,0.0,514.0,909.0,0.0,1,
CORE_A,652591484,0138,13,103,7.75,1.0,429.0,725.0,0.0,1,
CORE_A,652592274,0758,13,169,19.18,6.0,139.0,335.0,0.0,1,
CORE_A,652597871,0927,13,372,57.9,5.0,95.0,781.0,0.0,1,
CORE_A,652599840,0937,13,76,8.27,0.0,47.0,1046.0,0.0,1,
CORE_A,652603172,0135,13,124,0.0,2.0,945.0,762.0,0.0,1,
CORE_A,652608565,0938,13,65,0.0,0.0,27.0,1151.67,8.0,1,
CORE_A,652610794,1267,13,124,6.55,3.0,171.0,737.33,10.0,1,
CORE_A,652617859,0840,13,90,0.0,1.0,360.0,521.0,0.0,1,
CORE_A,652618918,1265,13,56,0.0,2.0,180.0,737.33,10.0,1,
CORE_A,652619078,0928,13,101,6.33,2.0,294.0,651.0,0.0,1,
CORE_A,652620513,1457,13,133,7.94,2.0,431.0,784.0,9.0,1,
CORE_A,652621030,0137,12,57,0.0,0.0,369.0,725.0,0.0,1,
CORE_A,652622412,1266,13,89,6.04,4.0,157.0,725.0,0.0,1,
CORE_A,652626682,1458,13,351,44.14,6.0,1060.0,700.33,10.0,1,
CORE_A,652638204,1448,13,57,22.19,0.0,485.0,651.0,0.0,1,
CORE_A,652687877,2111,11,23,0.0,0.0,88.0,6235.33,16.0,1,
CORE_A,652692141,1447,13,126,8.98,0.0,1206.0,669.0,0.0,1,
CORE_A,652692199,0729,11,39,0.0,0.0,601.0,3483.33,61.0,1,
CORE_A,652692251,1450,13,107,29.4,0.0,1400.0,669.0,0.0,1,
CORE_A,652697920,0136,13,37,0.0,0.0,391.0,725.0,0.0,1,
