кластер,sku_в_кластере,E8_всего,E8_A,доля_A,receivers,моделей_принтеров,наборов,baseline_выручка_receivers_₽,baseline_позиций_receivers,baseline_показы_receivers,baseline_расход_receivers_₽,спрос_receivers
er,11,10,6,0.6,1,22,0,0.0,0,43.0,0.0,162.0
фотопринтер canon,6,5,3,0.6,1,5,0,0.0,0,14.0,0.0,166.0
canon c-exv54,6,5,3,0.6,1,9,0,0.0,0,21.0,0.0,55.0
callback 8020,8,5,3,0.6,1,16,0,0.0,0,14.0,0.0,3130.0
5120x картридж,7,5,3,0.6,1,7,0,0.0,0,20.0,0.0,9407.0
home express,6,5,3,0.6,1,12,0,0.0,0,91.0,21.0,10739.0
мотоцикл tmbk,6,5,3,0.6,1,6,1,0.0,0,0.0,0.0,71.0
fsd,22,17,10,0.588,1,8,0,0.0,0,29.0,0.0,15190.0
cf226x,11,7,4,0.571,4,3,2,0.0,0,48.0,0.0,1855.0
3070,14,7,4,0.571,3,20,2,0.0,0,156.0,8.0,20455.0
картридж 305xl,11,7,4,0.571,3,4,3,0.0,0,0.0,0.0,890.0
цветной принтер струйный,10,7,4,0.571,2,15,0,0.0,0,130.0,7.0,19928.0
651 картридж hp,9,7,4,0.571,2,10,2,0.0,0,0.0,0.0,59.0
canon pixma ix6840,9,7,4,0.571,2,3,1,0.0,0,51.0,0.0,720.0
nap-650,9,7,4,0.571,1,10,0,0.0,0,18.0,0.0,2179.0
32f5000,8,7,4,0.571,1,4,1,0.0,0,0.0,0.0,73.0
cf259x,28,16,9,0.562,10,12,6,0.0,0,54.0,0.0,18315.0
краска для принтера epson,24,16,9,0.562,8,22,0,1698.0,2,472.0,25.0,11237.0
epson l8050,32,18,10,0.556,14,33,3,635.0,1,1890.0,65.0,49321.0
принтер hp,20,9,5,0.556,7,39,3,0.0,0,128.0,30.0,9434.0
511,25,18,10,0.556,5,29,0,2551.0,1,260.0,19.0,39472.0
brother hl-l2405w,15,9,5,0.556,5,0,0,0.0,0,0.0,0.0,1259.0
epson l1250,10,9,5,0.556,1,6,1,0.0,0,0.0,0.0,28.0
dymo принтер,25,11,6,0.545,14,15,10,0.0,0,77.0,18.0,19282.0
106r01379,18,11,6,0.545,7,16,6,0.0,0,53.0,19.0,20270.0
jet,16,11,6,0.545,5,20,0,0.0,0,148.0,0.0,23572.0
canon pixma g3410,16,11,6,0.545,4,6,3,0.0,0,48.0,0.0,11823.0
мфу canon,12,11,6,0.545,1,1,0,0.0,0,22.0,0.0,4891.0
spc,28,24,13,0.542,1,23,0,0.0,0,29.0,0.0,1012.0
xerox workcentre 3025,16,13,7,0.538,3,3,3,0.0,0,0.0,0.0,3569.0
canon 725,16,13,7,0.538,1,32,0,0.0,0,39.0,0.0,178.0
mx500,18,15,8,0.533,3,21,2,0.0,0,46.0,0.0,2236.0
w212,20,15,8,0.533,3,12,0,0.0,0,59.0,0.0,18549.0
оки,25,17,9,0.529,4,48,1,0.0,0,201.0,0.0,13142.0
cf289x,24,4,2,0.5,18,3,15,0.0,0,52.0,0.0,43234.0
hp laserjet m111w,24,10,5,0.5,12,13,12,0.0,0,0.0,0.0,10742.0
принтер пантум,18,8,4,0.5,9,0,0,0.0,0,0.0,0.0,14698.0
006r04404,14,4,2,0.5,7,22,5,0.0,0,195.0,6.0,8786.0
w1510x,10,2,1,0.5,6,8,5,0.0,0,48.0,0.0,31808.0
canon mf 3010,11,4,2,0.5,6,15,6,0.0,0,0.0,0.0,5174.0
tk-4105,10,4,2,0.5,6,15,5,0.0,0,15.0,0.0,7977.0
106r04348,8,2,1,0.5,6,9,4,0.0,0,20.0,0.0,8450.0
лазерный,14,4,2,0.5,5,33,0,0.0,0,142.0,20.0,31483.0
