nm_id;arm;advert_id;cpc_now;clicks14;views14;orders14;margin;stock
886532080;seed;35501886;7.3;2;65;0;26.7;3
886532724;seed;35501886;7.3;4;94;0;38.9;3
886533128;control;35501886;7.3;7;78;0;27.7;3
886535322;control;35501886;7.3;6;121;1;38.9;3
886537084;control;35501886;11.7;6;110;2;29.9;3
886537757;seed;36462624;7.3;8;125;1;41.3;3
886542614;control;36462624;7.3;14;230;2;42.2;3
886543848;control;36462624;8.0;5;79;3;38.9;3
886597550;control;35501886;7.3;1;11;0;37.2;45
886624402;seed;35501886;7.3;1;12;0;36.1;14
886671642;control;35497916;7.3;3;37;0;35.8;45
886679088;control;35501683;7.3;1;14;0;29.6;14
887115300;control;35501683;7.3;2;43;0;42.4;21
887205861;seed;35501509;7.3;2;16;0;39.1;4
887208903;seed;35501509;7.3;1;7;0;25.1;1
887215497;seed;35501509;7.3;3;18;0;36.9;45
887225070;control;35501509;7.3;4;6;1;34.4;2
887299816;seed;35501509;7.3;1;22;0;38.7;1
887384716;seed;35501509;8.0;3;103;0;35.3;1
887700426;control;35501509;7.3;1;23;0;37.3;4
887707970;seed;35501509;7.3;1;19;0;36.6;1
888188156;seed;35501262;7.3;1;35;0;31.2;2
909177264;seed;35500111;7.3;1;106;0;28.4;45
912703995;seed;35500111;7.3;1;14;0;40.3;24
913003668;seed;35498462;7.3;1;68;0;33.7;2
913003852;control;35498621;7.3;1;106;0;33.7;2
913005076;seed;35498621;7.3;3;28;0;33.7;2
913064625;seed;35498926;7.3;1;22;0;29.5;21
913064661;control;35498926;7.3;2;27;0;29.5;21
913090174;seed;35499491;7.3;1;45;0;25.9;45
915247960;seed;35498839;7.3;1;9;0;31.7;13
915311395;control;35498781;7.3;6;48;0;43.9;5
915311897;control;35498621;7.3;1;41;0;40.2;2
915330443;control;35498781;7.3;1;36;0;37.4;1
915854821;seed;35498671;7.3;2;62;0;27.1;26
915909458;control;35498671;8.0;1;15;0;29.7;45
915909515;seed;35498671;7.3;1;32;0;29.7;45
915921831;seed;35498671;7.3;1;4;0;25.9;1
915925716;control;35498671;7.3;7;41;0;36.0;1
915959052;control;35498671;8.0;2;20;0;30.7;45
915969560;seed;35497916;7.3;1;3;0;37.1;3
923295851;control;35497479;7.3;1;62;0;28.2;35
923393568;control;35497916;7.3;4;74;1;28.9;45
923489184;control;35497681;7.3;1;24;0;39.3;1
923490893;seed;35497916;7.3;1;10;0;31.1;1
923512542;seed;35497681;7.3;3;20;0;41.9;9
923514569;control;35497916;7.3;1;2;0;41.9;9
923515069;seed;35497681;7.3;1;4;0;41.9;9
923517281;seed;35497681;7.3;5;66;0;41.9;9
923518212;seed;35497681;7.3;1;3;0;41.9;9
923519599;seed;35497681;7.3;3;19;0;41.9;9
923536138;control;35497916;7.3;1;23;0;31.0;45
923579578;seed;35497681;4.47;2;95;0;31.2;1
923579670;control;35497681;4.47;1;114;0;31.2;1
923580000;control;35497681;4.47;2;130;1;31.2;1
923580103;seed;35497681;4.47;2;78;0;31.2;1
923581762;control;35497681;4.47;1;29;0;31.2;1
923595453;seed;35497916;4.47;2;76;1;31.2;1
923600299;seed;35497681;4.47;1;33;0;35.5;1
923600630;seed;35497681;4.47;2;73;0;35.5;1
923628963;control;35497681;4.47;1;68;0;39.1;21
923629174;control;35497681;4.47;1;95;0;39.1;21
923641199;seed;35497681;4.47;1;117;0;39.0;1
923641341;seed;35497681;4.47;1;130;0;39.0;1
966911834;control;36463324;7.3;1;6;0;37.5;21
982281057;seed;36462835;7.3;1;34;0;26.3;45
982418021;seed;36462835;7.3;1;19;0;26.4;15
1000473962;control;36462835;7.3;2;322;0;33.4;45
1002672336;control;36462835;7.3;1;20;0;34.3;1
1010911984;control;36462624;7.3;2;40;0;25.1;45
