# oz_acc1: реклама 2026-07-27..2026-08-17 (22 дн), поиск 4 нед с 2026-07-13, продажи вся история, маржа: margin_safe = margin_own_live - 4.6 п.п.; построено 2026-08-18 — кандидаты на подъём ставки
sku,offer_id,name,in_ads,bid,n_camp,camp_titles,ad_views,ad_clicks,ctr,cpc,ad_spend,spend_30d,ad_orders,ad_rev,ad_drr,ad_cr,ad_days_shown,clicks14,spend14,ad_orders14,ad_rev14,s_demand,s_views,s_orders,s_gmv,pos_avg,pos_best,s_views_all,s_orders_all,s_demand_all,s_weeks,qty30,rev30,qty90,rev90,qty_all,rev_all,n_post,canc,cancel_share,last_sale,days_since_sale,free_fbo,our_price,buyer_price,margin_own_live,margin_safe,net_live,cr_bucket,ceiling_live,ceiling_safe,headroom,segment,tier,note
1261562784,5247,"Фотобарабан DR-321CL для принтеров Brother HL-L8250, HL L9200, MFC-L8650CDW, MFCL9550",True,19.33,1,от 10000 до 500 тыс,110,5,4.55,7.6,37.83,52,1.0,25381.0,0.1,20.0,18,2,14.86,1.0,25381.0,217,137,0,14318,59.5000000000000000,31,209,0,347,7,1,25381.0000,1,25381.0000,1,25381.0000,1,0,0.0,2026-08-04,14,0,26013.0,,23.16,18.6,6024.0,0.0565,267.1,200.0,180.7,bid_up,A,реклама окупается (ДРР 0.1 %); сам продаёт 25 381 ₽/90 дн
3557210660,6850,"Картридж 40STB06 для принтеров F+ Imaging M40adn, M40adn20, P40dn черный",True,12.89,1,Эксперимент1,269,5,1.86,4.4,21.79,30,1.0,17016.0,0.1,20.0,20,1,1.0,1.0,17016.0,270,195,0,7673,20.5000000000000000,18,332,0,446,7,2,33117.0000,2,33117.0000,2,33117.0000,3,1,33.3,2026-08-13,5,0,16633.0,,23.65,19.0,3934.39,0.0565,175.4,131.6,118.7,bid_up,A,реклама окупается (ДРР 0.1 %); сам продаёт 33 117 ₽/90 дн; позиция 20 при спросе 270
864225280,0898,"Картриджи 655 для принтеров HP DeskJet Ink Advantage 4625, DJ 3525, DJ 4615, DJ 5525, DJ 6525",True,12.89,1,Эксперимент1,1370,28,2.04,10.6,297.34,405,1.0,2689.0,11.1,3.57,22,17,190.50,0.0,0.0,40965,710,0,1756,57.2500000000000000,38,1725,0,42329,7,2,5378.0000,21,44673.0000,25,53123.0000,25,0,0.0,2026-08-05,13,0,2741.0,,32.78,28.2,898.53,0.0407,31.0,25.9,13.0,bid_up,A,реклама окупается (ДРР 11.1 %); сам продаёт 44 673 ₽/90 дн
930626500,3176,Картриджи C-EXV54 для принтеров Canon ImageRunner C3025,True,12.89,1,Эксперимент1,255,3,1.18,10.4,31.28,43,1.0,12839.0,0.2,33.33,22,3,31.28,1.0,12839.0,1364,59,0,0,106.7500000000000000,75,181,0,4507,7,1,12839.0000,3,34016.0000,3,34016.0000,3,0,0.0,2026-08-17,1,0,12287.0,,24.37,19.8,2994.13,0.0565,134.6,102.8,89.9,bid_up,A,реклама окупается (ДРР 0.2 %); сам продаёт 34 016 ₽/90 дн
874373606,4479,Картриджи TK-8365 для принтеров Kyocera TASKalfa 2554,True,22.54,1,от 10000 до 500 тыс,230,7,3.04,16.2,113.11,154,1.0,15360.0,0.7,14.29,21,3,80.49,1.0,15360.0,6810,202,0,0,36.7500000000000000,18,284,0,7109,7,1,15360.0000,2,30583.0000,5,68302.0000,4,0,0.0,2026-08-04,14,0,16040.0,,22.49,17.9,3607.71,0.0565,158.6,117.0,94.5,bid_up,A,реклама окупается (ДРР 0.7 %); сам продаёт 30 583 ₽/90 дн
1261466566,4702,"Картридж №761 для принтеров HP DesignJet T7100, DJ T7200 серый",True,12.89,1,Эксперимент1,261,2,0.77,7.7,15.35,21,1.0,21583.0,0.1,50.0,22,0,0.0,0.0,0.0,3717,114,0,21246,75.0000000000000000,26,162,0,3772,7,1,21583.0000,1,21583.0000,1,21583.0000,1,0,0.0,2026-08-03,15,0,22140.0,,24.14,19.5,5343.5,0.0565,239.6,181.5,168.6,bid_up,A,реклама окупается (ДРР 0.1 %); сам продаёт 21 583 ₽/90 дн
3557211128,6809,"Картридж 055H BK для принтеров HP Color LaserJet M454dn, LJ Pro M454dw, M480f, M479dw, M479fdw, i-SENSYS LBP663cdw, MF 741, MF 743 черный",True,19.33,1,от 2000 до 5000,439,14,3.19,8.3,116.56,159,5.0,19062.0,0.6,35.71,21,5,40.04,2.0,7608.0,20520,336,0,13736,43.5000000000000000,31,376,0,20562,7,5,19062.0000,6,23903.0000,6,23903.0000,6,0,0.0,2026-08-17,1,0,4637.0,,31.99,27.4,1483.28,0.0407,50.9,42.3,23.0,bid_up,A,реклама окупается (ДРР 0.6 %); сам продаёт 23 903 ₽/90 дн
863383263,03066,"Картридж для HP DeskJet 1280, Copier 180, Copier 190, DeskJet 1180",True,19.33,1,от 2000 до 5000,687,21,3.06,10.6,222.80,304,2.0,12676.0,1.8,9.52,22,13,147.16,2.0,12676.0,21281,461,0,6035,85.5000000000000000,61,537,0,29108,6,2,12676.0000,6,29942.0000,9,43453.0000,10,1,10.0,2026-08-08,10,0,6666.0,,30.77,26.2,2050.97,0.0394,67.7,55.7,36.4,bid_up,A,реклама окупается (ДРР 1.8 %); сам продаёт 29 942 ₽/90 дн
1719304223,5698,"Картридж 070H для принтеров LBP243dw, LBP246dw, MF461dw, MF465dw, MF463dw",True,17.71,1,Эксперимент1,284,3,1.06,5.8,17.35,24,1.0,4366.0,0.4,33.33,22,3,17.35,1.0,4366.0,1939,74,0,0,95.7500000000000000,62,225,0,8318,7,4,17194.0000,9,37188.0000,16,64965.0000,10,0,0.0,2026-08-16,2,0,4896.0,,28.01,23.4,1371.23,0.0407,45.8,36.7,19.0,bid_up,A,реклама окупается (ДРР 0.4 %); сам продаёт 37 188 ₽/90 дн
1692504266,5621,Картридж TK-5370K для принтеров Kyocera ECOSYS MA3500cifx черный,True,19.33,2,от 2000 до 5000 / Эксперимент1,409,5,1.22,16.0,80.07,109,1.0,4107.0,1.9,20.0,22,4,71.43,1.0,4107.0,1612,213,0,2960,39.0000000000000000,26,439,0,7613,7,3,12365.0000,10,37419.0000,14,58049.0000,16,3,18.8,2026-08-12,6,0,4364.0,,30.31,25.7,1322.53,0.0407,44.9,36.8,17.5,bid_up,A,реклама окупается (ДРР 1.9 %); сам продаёт 37 419 ₽/90 дн
