sku,offer_id,name,qty90,rev90,canc,cancel_share,last_sale,margin_own_live,our_price,net_live
3847065277,13721ND7X9BK,Картридж для Xerox WorkCentre 3335 15000 страниц,1,3602.0000,0,0.0,2026-05-28,25.24,4428.0,1117.47
3834430428,05611JBODUPN,Картридж для Kyocera FS-6025MFP 15000 страниц,1,3574.0000,0,0.0,2026-08-03,26.5,4022.0,1065.77
3847073070,13844DELZH21,Картридж для Canon i-SENSYS MF628Cw 2400 страниц,1,3560.0000,0,0.0,2026-05-27,29.22,4064.0,1187.36
3847048470,11915OMHVKNX,Картридж для HP LaserJet Pro M426fdn 9000 страниц,1,3554.0000,0,0.0,2026-07-17,29.5,4022.0,1186.32
3853434322,23557QVUMBIO,Картридж для Canon i-SENSYS MF429x 9200 страниц,1,3497.0000,0,0.0,2026-07-29,30.73,4109.0,1262.64
3853903052,54392L7DIOPK,Картридж для Brother MFC-J2340DW 3000 страниц,1,3494.0000,0,0.0,2026-05-27,29.57,4853.0,1434.97
3847295154,14876YT087RL,Картридж для Canon MAXIFY MB5440 2500 страниц,2,3422.0000,0,0.0,2026-07-15,29.28,1943.0,568.9
3840651145,22121TYY3B2Q,Картридж для Epson LX-300+ 3200000 знаков,2,3346.0000,0,0.0,2026-08-10,24.96,1673.0,417.58
3846836094,03086VI55VOP,Картридж для HP PhotoSmart 375 260 страниц,1,3335.0000,0,0.0,2026-08-11,28.88,4077.0,1177.48
1883137412,3706R3WEA5YR,"Фотобарабан DS 029 для принтеров Canon LBP-7010, LBP-7018 черный",1,3318.0000,0,0.0,2026-06-15,26.67,4105.0,1094.93
3853439355,267114OOT209,Картридж для Brother HL-L5100 3000 страниц,1,3296.0000,0,0.0,2026-07-10,24.29,3677.0,893.11
3841265483,14251SDPHI3S,Картридж для OKI MB472dnw 7000 страниц,1,3279.0000,0,0.0,2026-05-28,25.12,4312.0,1083.13
1883137789,0826E1TFQC9Q,"Картридж DS MLT-D117S для принтеров Samsung SCX-4650, SCX4655 черный",1,3276.0000,0,0.0,2026-08-10,26.38,3948.0,1041.59
3853923251,00394I3D8JJ0,Картридж для Samsung CLX-2160 2000 страниц,1,3235.0000,0,0.0,2026-07-14,29.74,3502.0,1041.43
3840257444,53395FPDPNX6,Картридж для HP LaserJet P2015D 3500 страниц,1,3076.0000,0,0.0,2026-06-20,29.03,3663.0,1063.19
3862506419,08524B3ZINHY,Фотобарабан для Brother DCP-L2560 12000 страниц,1,3012.0000,0,0.0,2026-07-15,28.44,2826.0,803.79
3853913349,55194FVRILNT,Картридж для HP LaserJet M110we 950 страниц,1,2988.0000,0,0.0,2026-07-22,28.17,3386.0,953.92
3847056068,12858LXOM7Q9,Картридж для Brother MFC-L5750dw 8000 страниц,1,2988.0000,0,0.0,2026-08-11,27.25,3277.0,893.03
3846941320,08662N9LGCVQ,Картридж для Kyocera TASKalfa 1801 15000 страниц,1,2982.0000,0,0.0,2026-08-07,25.93,3614.0,937.14
3853724595,43332CYNPEMZ,Картридж для M6502W 1600 страниц,1,2976.0000,0,0.0,2026-05-22,29.06,3147.0,914.57
1873140829,1275R3F4JC4Z,"Картриджи DS LC569XL-LC565XL для принтеров Brother MFC-J3520, MFC-J3720",1,2959.0000,0,0.0,2026-05-22,28.24,3462.0,977.52
3862358340,326213BWWPL0,Картридж для P2518 1600 страниц,1,2959.0000,0,0.0,2026-05-22,29.05,3285.0,954.33
3835352024,18354ACZYCMC,Картридж для Ricoh Aficio SP3510SF 6400 страниц,1,2940.0000,0,0.0,2026-05-27,25.98,4438.0,1153.07
1822597426,0034QTMTJ5MJ,"Картриджи DS PGI-1400XL для принтеров Canon MAXIFY MB2040, MB2050",1,2886.0000,0,0.0,2026-07-01,28.99,3614.0,1047.77
3841454285,02517PJ97ARV,Картридж для Brother MFC-8370DN 8000 страниц,1,2870.0000,0,0.0,2026-05-26,29.65,3027.0,897.61
3835335792,12851FKJ70XY,Картридж для Brother HL-L5100dnt 8000 страниц,1,2836.0000,0,0.0,2026-06-14,29.25,3277.0,958.57
3853923384,54955YOJKD5V,Картридж для HP LaserJet Tank 2602sdw 2500 страниц,2,2782.0000,0,0.0,2026-07-25,33.45,1382.0,462.3
3846846686,05011W609AVF,Картридж для Lexmark E120 2000 страниц,1,2776.0000,0,0.0,2026-05-21,27.42,4613.0,1264.81
3853724062,41596QAT22R1,Картридж для BM5100ADW 6000 страниц,1,2770.0000,0,0.0,2026-05-19,26.49,2618.0,693.59
