account,offer_id,sku,rev,net,margin_pct,price,new_price,market_min,index,cut,cut_pct,net_loss_2m,net_after,survives
oz_acc1,5770,1263507650,10137.25,3627.8925000000013,35.78773829194309,6432.0,5976.637168141594,3170.0,1.13,455.36283185840637,7.079646017699104,459.31610619468955,3168.576393805312,True
oz_acc1,5769,1263498159,10137.25,3627.8925000000013,35.78773829194309,6432.0,5976.637168141594,3170.0,1.13,455.36283185840637,7.079646017699104,459.31610619468955,3168.576393805312,True
oz_acc1,5773,1273344412,10098.0,3665.32,36.29748465042583,3996.0,3496.5000000000005,1667.0,1.2,499.49999999999955,12.49999999999999,807.8399999999992,2857.480000000001,True
oz_acc1,5404,1216109593,9903.0,3369.83,34.02837523982632,4332.0,3498.923076923077,2098.0,1.3,833.076923076923,19.23076923076923,1218.8307692307692,2150.999230769231,True
oz_acc1,1377,329440947,9818.0,3537.513333333333,36.03089563386976,2299.0,1567.5,729.0,1.54,731.4999999999999,31.818181818181813,1999.301818181818,1538.211515151515,True
oz_acc2,63833IWWF7B8,4002676832,9609.0,3969.569999999999,41.31095847642834,8461.0,7342.190082644629,4222.0,1.21,1118.809917355371,13.223140495867758,813.191404958677,3156.3785950413217,True
oz_acc1,1670,453347939,9594.0,3521.2800000000007,36.70293933708569,9192.0,8695.135135135135,4935.0,1.11,496.8648648648649,5.405405405405405,331.90054054054053,3189.37945945946,True
oz_acc1,5808,1378678218,9566.0,3153.7800000000016,32.968638929542145,8793.0,8393.318181818182,4577.0,1.1,399.6818181818188,4.545454545454552,278.2836363636368,2875.4963636363645,True
oz_acc2,4278Q2SP8RWC,1405556567,9417.0,3428.76,36.410321758521825,9637.0,8723.14655172414,5252.0,1.16,913.8534482758612,9.482758620689646,571.5144827586201,2857.24551724138,True
oz_acc1,02772,4759341948,9389.0,3463.9699999999993,36.89391841516668,3782.0,3394.1025641025644,1766.0,1.17,387.89743589743534,10.256410256410241,616.3035897435889,2847.6664102564105,True
oz_acc1,2185,329440945,9376.933333333332,3231.0286666666657,34.45719993743512,2243.0,1979.1176470588236,1142.0,1.19,263.8823529411763,11.764705882352933,706.0279215686269,2525.000745098039,True
oz_acc1,3967,457221962,9252.666666666666,3231.5199999999995,34.92528280135456,8109.0,7403.869565217392,4277.0,1.15,705.1304347826082,8.695652173913038,514.9310144927532,2716.5889855072464,True
oz_acc1,4749,694890419,9215.0,3020.4900000000002,32.77797069994574,9826.0,7586.25,3884.0,1.36,2239.7499999999995,22.79411764705882,1344.305882352941,1676.1841176470593,True
oz_acc1,2641,455888643,8872.333333333332,3038.643333333334,34.2485253785175,6175.0,5638.04347826087,3042.0,1.15,536.95652173913,8.695652173913038,493.764637681159,2544.878695652175,True
oz_acc1,21352,4808419532,8816.0,3393.5,38.492513611615244,2576.0,2551.698113207547,1552.0,1.06,24.301886792452827,0.9433962264150941,53.22867924528301,3340.271320754717,True
oz_acc1,52877,4848630064,8812.0,2887.3999999999996,32.76668179754879,4552.0,4120.344827586207,2239.0,1.16,431.6551724137927,9.482758620689646,534.7972413793099,2352.6027586206897,True
oz_acc1,1835,453348283,8796.0,3182.9699999999993,36.18656207366984,4314.0,3566.6929133858266,2126.0,1.27,747.3070866141734,17.322834645669293,975.1785826771655,2207.7914173228337,True
oz_acc1,0833,452138457,8596.0,3007.3100000000004,34.98499302000931,8949.0,8242.5,4586.0,1.14,706.4999999999992,7.894736842105255,434.3242105263153,2572.985789473685,True
oz_acc2,5892AIOMGWL8,1574105320,8521.0,4532.360000000001,53.19047060204202,8628.0,5490.545454545456,1611.0,1.65,3137.4545454545446,36.36363636363635,1983.0690909090904,2549.29090909091,True
oz_acc1,5377,2915876590,8497.666666666666,2985.723333333333,35.13580198485859,4710.0,4226.923076923078,2351.0,1.17,483.0769230769224,10.256410256410241,557.7955555555548,2427.927777777778,True
oz_acc1,5892,1574105266,8450.0,3146.9700000000003,37.242248520710056,8398.0,5376.7682926829275,1611.0,1.64,3021.231707317073,35.97560975609756,1945.5609756097563,1201.409024390244,True
oz_acc1,4641,600125225,8441.0,3184.900000000001,37.73131145598864,8650.0,7967.105263157895,4362.0,1.14,682.8947368421045,7.894736842105255,426.4926315789469,2758.4073684210543,True
oz_acc1,0832,452138455,8400.0,2640.4699999999993,31.43416666666666,8375.0,7452.330508474577,4291.0,1.18,922.6694915254232,11.016949152542367,592.2711864406775,2048.198813559322,True
oz_acc2,6278RTT063C4,2693362028,8394.0,1491.3599999999997,17.766976411722656,8044.0,7820.555555555556,3943.0,1.08,223.44444444444454,2.777777777777779,149.22666666666674,1342.133333333333,True
oz_acc1,2171,453348888,8368.0,2287.02,27.330544933078393,6306.0,6074.587155963302,3107.0,1.09,231.41284403669727,3.669724770642202,196.53284403669724,2090.487155963303,True
oz_acc1,4722,694889147,8299.5,3007.6050000000005,36.238387854690046,8189.0,7961.527777777777,4522.0,1.08,227.4722222222223,2.777777777777779,147.54666666666674,2860.058333333334,True
oz_acc1,4721,694888094,8299.5,3007.6050000000005,36.238387854690046,8300.0,7578.260869565218,3918.0,1.15,721.7391304347822,8.695652173913038,461.885217391304,2545.7197826086963,True
oz_acc1,4308,457712717,8232.0,2849.680000000001,34.617103984450935,7742.0,6831.176470588236,3912.0,1.19,910.8235294117641,11.764705882352933,619.8211764705878,2229.8588235294133,True
oz_acc1,5375,2925583999,8091.666666666666,1265.353333333333,15.637734294541707,5020.0,4285.365853658537,2550.0,1.23,734.634146341463,14.634146341463406,757.8536585365848,507.4996747967482,True
oz_acc1,5447,1031989106,8089.0,2707.05,33.46581777722834,8161.0,7861.51376146789,4401.0,1.09,299.4862385321101,3.669724770642202,189.98018348623853,2517.0698165137615,True
oz_acc1,3876,457221864,8032.0,2482.6499999999996,30.909487051792826,8698.0,8082.212389380532,4669.0,1.13,615.7876106194681,7.079646017699104,363.9277876106189,2118.7222123893807,True
oz_acc1,13243,330002034,7975.0,1642.3,20.593103448275862,4918.0,4339.411764705883,2592.0,1.19,578.5882352941172,11.764705882352933,600.4705882352937,1041.8294117647063,True
oz_acc1,08602,4793383691,7943.0,2632.6100000000006,33.1437743925469,9688.0,8923.157894736843,5184.0,1.14,764.842105263157,7.894736842105255,401.33052631578903,2231.2794736842116,True
oz_acc1,0981,452138648,7917.0,2574.8999999999996,32.52368321333838,8013.0,7011.375000000001,3978.0,1.2,1001.6249999999991,12.49999999999999,633.3599999999994,1941.5400000000002,True
