nm_id;advert_id;цвет;действие;причина;ставка_₽;маржа_live_%;ДРР_профиля_%;ДРР_потолок_%;расход_₽;выручка_ВСЯ_₽;выручка_органика_₽;заказы_всего;заказы_реклама;заказы_органика;заказы_прошлая_неделя;в_корзину;показы_рекл;клики_рекл;открытия_всего;орг_позиция
216422241;35697812;🟢 зелёный;+10%;ДРР профиля 1.7% при потолке 4.7%;14.51;29.7;1.7;4.7;126.33;7267;2425;3;2;1;0;3;64;11;24;5
199570149;35282079;🟢 зелёный;+10%;ДРР профиля 0.6% при потолке 7.4%;17.20;32.4;0.6;7.4;44.08;6878;6878;2;0;2;0;2;75;3;9;14
199332649;35700300;🟢 зелёный;+10%;ДРР профиля 0.2% при потолке 6.5%;14.51;31.5;0.2;6.5;10.90;6734;0;1;1;0;0;1;5;1;4;15
199572492;35697812;🟢 зелёный;+10%;ДРР профиля 0.2% при потолке 6.2%;14.22;31.2;0.2;6.2;12.93;6672;6672;3;0;3;1;5;29;1;5;3
1003627246;36873716;🟢 зелёный;+10%;ДРР профиля 0.2% при потолке 0.3%;14.51;25.3;0.2;0.3;10.90;6314;6314;1;0;1;0;1;8;1;6;2
200166276;35697812;🟢 зелёный;+10%;ДРР профиля 0.7% при потолке 7.7%;14.22;32.7;0.7;7.7;36.54;5304;2659;2;1;1;0;2;85;3;11;5
200166660;35282079;🟢 зелёный;+10%;ДРР профиля 0.5% при потолке 5.7%;14.22;30.7;0.5;5.7;25.86;4833;0;2;3;0;0;3;68;2;11;2
192228655;35277369;🟢 зелёный;+10%;ДРР профиля 1.0% при потолке 29.3%;14.51;54.3;1.0;29.3;45.78;4490;4490;1;0;1;0;1;10;4;18;108
216341479;35277054;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 10.0%;14.22;35.0;0.0;10.0;0.00;4449;4449;1;0;1;0;0;47;0;5;8
216422239;35700718;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 9.2%;12.93;34.2;0.0;9.2;0.00;4326;4326;2;0;2;0;2;52;0;3;
267856815;35699026;🟢 зелёный;+10%;ДРР профиля 0.3% при потолке 7.3%;14.51;32.3;0.3;7.3;10.90;4289;4289;1;0;1;0;0;108;1;3;4
199572586;36874914;🟢 зелёный;+10%;ДРР профиля 0.5% при потолке 8.0%;8.03;33.0;0.5;8.0;21.90;4106;0;1;1;0;0;1;39;3;11;7
192228377;35698510;🟢 зелёный;+10%;ДРР профиля 0.3% при потолке 29.4%;8.03;54.4;0.3;29.4;10.65;3930;3930;1;0;1;1;0;11;1;5;1
253955516;35277369;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 15.6%;14.22;40.6;0.0;15.6;0.00;3836;3836;1;0;1;0;1;51;0;5;
964953109;36879576;🟢 зелёный;+10%;ДРР профиля 4.5% при потолке 15.6%;18.88;40.6;4.5;15.6;166.34;3684;0;2;2;0;2;6;132;11;15;13
859952878;36874308;🟢 зелёный;+10%;ДРР профиля 0.7% при потолке 8.1%;14.51;33.1;0.7;8.1;23.98;3672;0;1;1;0;0;2;51;2;4;1
257945613;35699026;🟢 зелёный;+10%;ДРР профиля 1.2% при потолке 11.6%;14.51;36.6;1.2;11.6;42.29;3654;0;2;2;0;0;2;58;4;3;8
180944674;36877586;🟢 зелёный;+10%;ДРР профиля 2.2% при потолке 3.4%;14.51;28.4;2.2;3.4;79.14;3602;0;1;1;0;0;2;95;6;6;5
326848543;35277369;🟢 зелёный;+10%;ДРР профиля 1.3% при потолке 13.0%;14.22;38.0;1.3;13.0;45.93;3439;0;1;1;0;0;2;84;4;8;11
181116627;35277369;🟢 зелёный;+10%;ДРР профиля 0.3% при потолке 27.1%;14.22;52.1;0.3;27.1;10.68;3249;3249;1;0;1;0;3;9;1;11;3
200163052;35701344;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 1.2%;15.60;26.2;0.0;1.2;0.00;3215;3215;1;0;1;0;3;28;0;2;1
181116638;35706311;🟢 зелёный;+10%;ДРР профиля 0.3% при потолке 11.4%;8.03;36.4;0.3;11.4;10.68;3080;0;2;2;0;0;2;9;1;4;3
200166364;35697812;🟢 зелёный;+10%;ДРР профиля 5.9% при потолке 12.5%;14.51;37.5;5.9;12.5;179.55;3034;0;1;1;0;2;2;123;13;27;10
497233585;35698099;🟢 зелёный;+10%;ДРР профиля 3.1% при потолке 9.2%;14.51;34.2;3.1;9.2;94.07;3008;3008;1;0;1;0;2;68;8;11;5
216341330;35697812;🟢 зелёный;+10%;ДРР профиля 0.8% при потолке 9.5%;14.51;34.5;0.8;9.5;25.18;2982;1478;2;1;1;0;2;26;2;8;3
199573345;35700718;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 5.7%;14.22;30.7;0.0;5.7;0.00;2964;2964;1;0;1;0;1;4;0;1;
192567975;35408957;🟢 зелёный;+10%;ДРР профиля 0.4% при потолке 28.6%;14.51;53.6;0.4;28.6;10.90;2870;2870;1;0;1;1;2;39;1;11;6
199566531;35697812;🟢 зелёный;+10%;ДРР профиля 1.6% при потолке 8.8%;14.22;33.8;1.6;8.8;47.00;2856;2856;2;0;2;0;2;56;4;5;2
551305803;35698366;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 8.6%;11.75;33.6;0.0;8.6;0.00;2729;2729;1;0;1;0;1;5;0;1;7
199574646;35697812;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 11.9%;14.51;36.9;0.0;11.9;0.00;2678;2678;1;0;1;0;1;47;0;12;
216422201;35697812;🟢 зелёный;+10%;ДРР профиля 1.9% при потолке 6.0%;14.51;31.0;1.9;6.0;50.36;2643;0;1;1;0;1;1;106;4;8;10
1003224475;36873788;🟢 зелёный;+10%;ДРР профиля 1.0% при потолке 4.9%;14.22;29.9;1.0;4.9;25.86;2630;0;1;1;0;0;1;73;2;1;5
192228649;35277054;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 15.2%;11.75;40.2;0.0;15.2;0.00;2560;2560;2;0;2;0;2;17;0;1;3
192228203;35282981;🟢 зелёный;+10%;ДРР профиля 1.2% при потолке 13.4%;17.16;38.4;1.2;13.4;31.20;2539;2539;1;0;1;1;0;5;2;3;3
199565866;35282079;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 5.6%;14.22;30.6;0.0;5.6;0.00;2350;2350;1;0;1;0;1;6;0;3;
192228643;35706311;🟢 зелёный;+10%;ДРР профиля 0.5% при потолке 3.1%;14.22;28.1;0.5;3.1;11.75;2344;2344;1;0;1;0;1;2;1;2;19
216422130;35697812;🟢 зелёный;+10%;ДРР профиля 1.1% при потолке 7.9%;7.30;32.9;1.1;7.9;25.50;2242;2242;1;0;1;1;0;143;3;7;10
888187718;39087266;🟢 зелёный;+10%;ДРР профиля 0.5% при потолке 13.4%;7.30;38.4;0.5;13.4;11.99;2224;2224;1;0;1;0;1;37;1;11;6
267893229;35408957;🟢 зелёный;+10%;ДРР профиля 0.6% при потолке 14.3%;14.22;39.3;0.6;14.3;12.93;2194;0;1;1;0;0;1;27;1;0;2
847860230;35282447;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 2.7%;14.51;27.7;0.0;2.7;0.00;2169;2169;1;0;1;0;1;13;0;6;4
236322535;35277054;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 27.4%;14.22;52.4;0.0;27.4;0.00;2135;2135;1;0;1;0;3;11;0;1;
199335424;35282981;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 16.1%;14.22;41.1;0.0;16.1;0.00;1975;1975;1;0;1;1;1;4;0;2;3
181104959;35697812;🟢 зелёный;+10%;ДРР профиля 1.8% при потолке 28.4%;14.22;53.4;1.8;28.4;35.57;1942;0;1;1;0;1;1;24;3;11;13
200166009;36879576;🟢 зелёный;+10%;ДРР профиля 0.6% при потолке 10.6%;14.22;35.6;0.6;10.6;11.75;1936;0;1;1;0;0;1;35;1;2;8
964952647;36879576;🟢 зелёный;+10%;ДРР профиля 0.6% при потолке 13.3%;14.51;38.3;0.6;13.3;10.90;1842;0;1;1;0;0;0;69;1;1;27
566797602;35282447;🟢 зелёный;+10%;ДРР профиля 3.3% при потолке 26.7%;18.88;51.7;3.3;26.7;61.12;1828;1828;1;0;1;2;2;75;4;12;12
200166187;35278992;🟢 зелёный;+10%;ДРР профиля 0.7% при потолке 12.7%;14.51;37.7;0.7;12.7;10.90;1669;0;1;1;0;0;2;37;1;4;3
261171451;35408957;🟢 зелёный;+10%;ДРР профиля 0.7% при потолке 5.2%;14.51;30.2;0.7;5.2;10.90;1617;1617;1;0;1;0;3;57;1;4;9
326847167;35699129;🟢 зелёный;+10%;ДРР профиля 2.9% при потолке 7.1%;14.51;32.1;2.9;7.1;45.67;1587;0;1;1;0;0;3;47;4;22;7
181105204;35282447;🟢 зелёный;+10%;ДРР профиля 1.7% при потолке 26.1%;14.51;51.1;1.7;26.1;26.38;1561;1561;1;0;1;0;1;25;2;16;6
437221664;35697812;🟢 зелёный;+10%;ДРР профиля 2.6% при потолке 9.4%;14.51;34.4;2.6;9.4;39.99;1548;1548;1;0;1;1;1;58;3;4;2
200166019;35701344;🟢 зелёный;+10%;ДРР профиля 1.4% при потолке 4.0%;14.22;29.0;1.4;4.0;21.36;1512;1;1;1;0;1;2;43;2;3;5
192228107;35706311;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 12.6%;14.51;37.6;0.0;12.6;0.00;1446;1446;1;0;1;0;0;8;0;3;1
209663304;35282447;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 13.4%;14.22;38.4;0.0;13.4;0.00;1360;1360;1;0;1;0;1;10;0;4;
270394778;35282981;🟢 зелёный;+10%;ДРР профиля 3.8% при потолке 12.5%;14.22;37.5;3.8;12.5;49.36;1287;0;1;1;0;1;1;45;4;8;2
181115779;35706311;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 16.0%;14.51;41.0;0.0;16.0;0.00;1194;1194;1;0;1;0;0;9;0;7;1
181115789;35706311;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 15.6%;14.51;40.6;0.0;15.6;0.00;1168;1168;1;0;1;0;0;7;0;3;1
181104916;35700300;🟢 зелёный;+10%;ДРР профиля 1.0% при потолке 7.9%;8.03;32.9;1.0;7.9;11.75;1165;1165;1;0;1;0;1;56;1;1;11
209753786;35282079;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 13.9%;15.60;38.9;0.0;13.9;0.00;1089;1089;1;0;1;0;1;3;0;2;2
192228130;35706311;🟢 зелёный;+10%;ДРР профиля 1.2% при потолке 11.9%;14.22;36.9;1.2;11.9;12.93;1080;0;1;1;0;0;1;29;1;1;8
181115822;35706311;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 13.7%;13.19;38.7;0.0;13.7;0.00;1064;0;1;1;0;0;1;7;0;8;1
200165560;35701344;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 11.1%;14.51;36.1;0.0;11.1;0.00;899;899;1;0;1;0;0;50;0;0;
192228101;35282981;🟢 зелёный;+10%;ДРР профиля 2.7% при потолке 19.8%;14.22;44.8;2.7;19.8;23.61;879;0;1;1;0;0;1;34;2;4;3
272510267;35282981;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 14.0%;14.22;39.0;0.0;14.0;0.00;859;859;1;0;1;0;1;21;0;11;
181115827;35700551;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 13.2%;14.22;38.2;0.0;13.2;0.00;719;719;1;0;1;0;0;78;0;1;1
263821899;35698099;🟢 зелёный;+10%;ДРР профиля 8.6% при потолке 15.0%;12.93;40.0;8.6;15.0;55.64;649;1;1;1;0;0;4;125;5;4;14
209663659;35697951;🟢 зелёный;+10%;ДРР профиля 5.7% при потолке 6.4%;14.51;31.4;5.7;6.4;37.17;647;0;1;1;0;0;1;93;3;4;6
199565782;35706004;🟢 зелёный;+10%;ДРР профиля 1.9% при потолке 4.4%;17.20;29.4;1.9;4.4;11.75;629;0;1;1;0;0;1;81;1;1;1
199331066;35282981;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;22.2;0.0;0.0;0.00;3847;3847;1;0;1;0;1;9;0;4;2
265275962;36873660;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;13.19;16.6;0.0;0.0;0.00;2902;2902;1;0;1;0;1;12;0;2;
199570100;35408957;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;22.3;0.0;0.0;0.00;2440;2440;1;0;1;0;1;11;0;1;
