код МС;артикул;внешний код;наименование;категория;архив;штук всего;последнее оприходование;дата
;EFCN0C5840050;fK8hvKBMjpDAWMNGNyeXh3;Тонер-картридж БУЛАТ s-Line C-EXV58L для Canon iR DX C5840i (Голубой, 26000 стр.);;;20.0;bulat_2026-08-17_p16;2026-08-17
;EFCN0C5840060;37rwIuHXi4i2TBz9kgjo01;Тонер-картридж БУЛАТ s-Line C-EXV58L для Canon iR DX C5840i (Пурпурный, 26000 стр.);;;20.0;bulat_2026-08-17_p16;2026-08-17
;EFCN0C5840070;VIYZSg48ijBlYC1PkxrYq2;Тонер-картридж БУЛАТ s-Line C-EXV58L для Canon iR DX C5840i (Жёлтый, 26000 стр.);;;20.0;bulat_2026-08-17_p16;2026-08-17
;EFCNIR1225050;vRNfITP7iTq6kYxfcol-y3;Драм-картридж БУЛАТ s-Line 034K для Canon iR C1225 (Чёрный, 34000 стр.), ref.;;;50.0;bulat_2026-08-17_p9;2026-08-17
;EFKM00C258070;CTW6-iLhiTOCW7AZsLc7q1;Блок проявки БУЛАТ s-Line DV313K для Konica Minolta bizhub C258 (Чёрный, 600000 стр.), ref.;;;20.0;bulat_2026-08-17_p7;2026-08-17
;EFKM00C258080;z6qNLCC0gTZ2f3qH4Gs5q3;Блок проявки БУЛАТ s-Line DV313C для Konica Minolta bizhub C258 (Голубой, 600000 стр.), ref.;;;20.0;bulat_2026-08-17_p7;2026-08-17
;EFKM00C258100;fVt7mU3KhdzvL-nCedaCz3;Блок проявки БУЛАТ s-Line DV313Y для Konica Minolta bizhub C258 (Жёлтый, 600000 cтр.), ref.;;;50.0;bulat_2026-08-17_p7;2026-08-17
;EFKMBZ3351050;MUtMqGhdhSRqec66PIDh90;Драм-картридж БУЛАТ IUP-24(A95X01D) для Konica Minolta bizhub C3351 (Чёрный, 60000 стр.), ref.;;;20.0;bulat_2026-08-17_p13;2026-08-17
;EFKMBZ3351070;k7PybIwFjTehhYSS6pF5N0;Драм-картридж БУЛАТ IUP-24 (A95X0CD) для Konica Minolta bizhub C3351 (Пурпурный, 50000 стр.), ref.;;;20.0;bulat_2026-08-17_p13;2026-08-17
;EFKMBZ3351080;Dq1OU4SJi7VyEXXFMK3mJ3;Драм-картридж БУЛАТ IUP-24(A95X06D) для Konica Minolta bizhub C3351 (Жёлтый, 50000 стр.), ref.;;;20.0;bulat_2026-08-17_p13;2026-08-17
;EFKMBZC659030;i74jVPPAiCdSRJtqdsv-P2;Тонер-картридж БУЛАТ s-Line TN713M для Konica Minolta bizhub C659 (Пурпурный, 33200 стр.);;;20.0;bulat_2026-08-17_p11;2026-08-17
;EFKMBZC659040;9CPSvcEQiDakzH7lH3QHE0;Тонер-картридж БУЛАТ s-Line TN713Y для Konica Minolta bizhub C659 (Жёлтый, 33200 стр.);;;20.0;bulat_2026-08-17_p11;2026-08-17
;EFKYEP8060170;87iIs6m9gDujkJPFjeIwb2;Драм-картридж БУЛАТ DK-8550 для Kyocera ECOSYS P8060c, TASKalfa 4052ci, ref.;;;50.0;bulat_2026-08-17_p13;2026-08-17
;EFLX0CS923060;lOTaAo2RigOJZ19qi6MlA0;Драм-картридж БУЛАТ s-Line 76C0PV0 для Lexmark CS, CX923 (Цветной, 90000 стр.), совместимый, под заказ;;;20.0;bulat_2026-08-17_p12;2026-08-17
;EFRC0C2030010;o5daEJK5iTOFumtWmSayU3;Блок фотобарабана в сборе с блоком проявки БУЛАТ s-Line MP C2030, MP C2051 (D0392040 + D8093001) для Ricoh Aficio MP C2030, MP C2051 (Чёрный, 240000 стр.), универсальный, ref.;;;20.0;bulat_2026-08-17_p6;2026-08-17
;EFRC0C2030020;M3Nl8UXqiwjnRrplWI6un2;Блок фотобарабана в сборе с блоком проявки БУЛАТ s-Line MP C2030, MP C2051 (D0392040 + D8093002) для Ricoh Aficio MP C2030, MP C2051 (Голубой, 240000 стр.), универсальный, ref.;;;20.0;bulat_2026-08-17_p6;2026-08-17
;EFRCMC2000050;geZ3zS-SiqpGcqPdkKnes1;Блок фотобарабана в сборе с блоком проявки БУЛАТ D0BK2200, IM C2500 для Ricoh M C2000, IM C2000 (Чёрный), ref.;;;20.0;bulat_2026-08-17_p13;2026-08-17
;EFRCMC2000070;AaduVGPxiKldsibN-llOJ3;Блок фотобарабана в сборе с блоком проявки БУЛАТ D0BK2202, IM C2500 для Ricoh M C2000, IM C2000 (Пурпурный), ref.;;;20.0;bulat_2026-08-17_p13;2026-08-17
;EFRCMC2000080;LHMogbZ2jAW1XWffp3cnV3;Блок фотобарабана в сборе с блоком проявки БУЛАТ D0BK2203, IM C2500 для Ricoh M C2000, IM C2000 (Жёлтый), ref.;;;20.0;bulat_2026-08-17_p13;2026-08-17
;EFRCMP2004050;lkMOdCQBg-RzRfXoBW2b41;Блок фотобарабана БУЛАТ s-Line PCDU (D2442207, D2442227) в сборе с блоком проявки для Ricoh MP C2004 (Жёлтый), ref.;;;20.0;bulat_2026-08-17_p14;2026-08-17
;EFRCMP3003020;26DqstxvgZ4OniKXqALyA0;Блок фотобарабана БУЛАТ D1862219, D1862229 для Ricoh MP C3003 (Цветной), ref.;;;50.0;bulat_2026-08-17_p13;2026-08-17
;EFRCMP3003030;1DbyqvgviSxiRb4yRyeve0;Блок фотобарабана в сборе с блоком проявки D1862275 для Ricoh MP C3003 (Чёрный), ref.;;;20.0;bulat_2026-08-17_p13;2026-08-17
;EFRCMP3004020;mWPAuwYHhOdHEYOpdEoao1;Блок фотобарабана в сборе с блоком проявки БУЛАТ для Ricoh MP C3004 (D2392285) Голубой, ref.;;;20.0;bulat_2026-08-17_p16;2026-08-17
;EFRCMP3004030;d6OrtYTBg6I7x59kwNuMb1;Блок фотобарабана в сборе с блоком проявки БУЛАТ для Ricoh MP C3004 (D2392286) Пурпурный, ref.;;;20.0;bulat_2026-08-17_p16;2026-08-17
;EFRCMP3004040;ZFSSed00ic7ECY3N37PmY3;Блок фотобарабана в сборе с блоком проявки БУЛАТ для Ricoh MP C3004 (D2392287) Жёлтый, ref.;;;20.0;bulat_2026-08-17_p16;2026-08-17
;EFRX00VS80060;GwjxaqlHinp-qQuM6wYZs3;Блок проявки БУЛАТ 948K16840 Цветной для  Xerox Versant 80, 2100 (Developer Housing Assembly), ref.;;;20.0;bulat_2026-08-17_p15;2026-08-17
