sku,offer_id,queries,demand,best_pos,own_orders,leader_orders,ad_spend_30d,kind,verdict
4489623341,13772,7,32,3,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4489625477,13775,5,32,3,1.0,0.0,0.0,дубли_одного_товара,оставить — сама продаёт
4527376559,44338,9,32,13,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4527410328,55192,6,31,5,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
874373710,4481,6,31,13,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
906877459,3262,4,30,7,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4451978146,02025,7,29,4,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4450878845,00184,10,29,11,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4444699662,00024,3,27,13,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4515703504,32621,3,26,8,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4807276926,22084,11,26,3,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
652353545,085111,4,25,19,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4527379778,44816,5,25,12,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4527395045,55215,3,25,17,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4527380217,443310,5,24,5,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4451994028,02772,10,24,5,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
653317592,1367,5,24,6,0.0,1.0,0.0,дубли_одного_товара,снять с рекламы
5259397653,3617X2,1,22,9,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
4480825919,08514,4,22,16,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
874373637,44813,6,22,11,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4527379892,44337,9,22,10,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4450870372,001812,9,21,5,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
873314556,3257,1,20,27,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
5259666189,3641X6,3,19,7,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
5259666747,3641X2,3,19,6,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
4507522657,31991,9,19,3,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
873312859,3199,12,19,3,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4527409650,57675,6,18,10,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4515705073,32573,1,17,16,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
5278052028,5374X6,2,17,19,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
4527409163,57673,4,17,22,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4451984487,020238,3,17,6,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4481053375,10425,4,17,6,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4463527598,04816,16,17,4,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4480826019,08251,3,16,2,1.0,0.0,0.0,дубли_одного_товара,оставить — сама продаёт
3953676250,6409,3,16,4,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4527381382,45428,10,16,8,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4451992458,02743,5,16,4,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
1999376047,5953,3,16,5,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
