code,offers_in_ads,offers_with_sales,ad_spend_july,revenue_180d,offer_ids,name
1761,3,1,0,29739,1761; 1761X2; 1761X6,"Фотобарабан 44574307 DU для принтеров OKI B401dn, MB441dn, M"
1320,3,1,0,42060,1320; 1320X2; 1320X6,"Картридж 45807111/45807121 для принтеров OKI B412, B412dn, D"
0980,3,1,0,18714,0980; 0980X2; 0980X6,"Картридж 44992404 для принтеров OKI MB451w, B401, MB441"
2439,3,1,0,58662,2439; 2439X2; 2439X6,"Картридж C-EXV49Bk для принтеров Canon iR Advance C3320, iR "
5715,3,1,0,57931,5715; 5715X2; 5715X6,Картридж TK-7235 для принтеров Kyocera и TASKalfa MZ4000i че
3958,3,1,0,22834,3958; 3958X2; 3958X6,"Картридж для HP LaserJet Pro M430f, LJ M406, LJ Pro M304, LJ"
5229,3,1,0,43465,5229; 5229X2; 5229X6,"Картридж 067H для принтеров Canon i-SENSYS LBP631CW, LBP633,"
5374,3,1,0,233606,5374; 5374X2; 5374X6,"Картридж 069H для принтеров Canon i-SENSYS LBP673Cdw, MF752C"
2355,3,3,0,30969,23554; 23554del1; 23555,"Картридж для Canon i-SENSYS MF-421dw, MF-426dw, MF 428x, MF4"
4274,3,1,0,52166,4274; 4274X2; 4274X6,"Картридж W2410A для принтеров HP Color LaserJet Pro M155a, C"
1425,3,1,0,41899,1425; 1425X2; 1425X6,"Картридж 45807120 для принтеров OKI B412, Data B432, B432dn,"
3717,3,1,0,130355,3717; 3717X2; 3717X6,"Картридж 418481 для принтеров Ricoh IM 600, IM-550, P 801, P"
