sku,offer_id,name,card_dims,card_vol,real_vol,delta_l,suppliers,qty90,revenue90,stock,loss90
1261576661,5269,"Картридж №981X для принтеров HP PageWide Color 556, PW Color MFP 586 d",215x47x35,0.354,0.394,-0.04,cactus,0,0,0,0
1261563372,5267,"Картридж №981A для принтеров HP PageWide Color 556, PW Color MFP 586 d",215x47x35,0.354,0.394,-0.04,cactus,0,0,0,0
1261573315,5270,"Картридж №981X для принтеров HP PageWide Color 556, PW Color MFP 586 d",215x47x35,0.354,0.394,-0.04,cactus,0,0,0,0
1261573692,5272,"Картридж №981X для принтеров HP PageWide Color 556, PW Color MFP 586 d",220x48x52,0.549,0.675,-0.126,cactus,0,0,0,0
4450872868,001823,Картридж для Canon FC-100,348x160x120,6.682,,,,0,0,0,0
1261573913,5273,"Картриджи №981X для принтеров HP PageWide Color 556, PW Color MFP 586 ",435x95x87,3.595,,,,0,0,0,0
1261563659,5271,"Картридж №981X для принтеров HP PageWide Color 556, PW Color MFP 586 d",215x47x35,0.354,0.394,-0.04,cactus,0,0,0,0
1282367579,5268,"Картриджи №981A для принтеров HP PageWide Color 556, PW Color MFP 586 ",430x63x96,2.601,,,,0,0,0,0
1261563421,5274,Картридж 478XL для принтеров Epson и Expression XP 15000 красный,150x40x100,0.6,0.225,0.375,cactus,0,0,0,0
1261573362,5275,Картридж 478XL для принтеров Epson и Expression XP 15000 серый,150x40x100,0.6,0.225,0.375,cactus,0,0,0,0
1261573378,5279,"Картридж 378XL для принтеров Epson и Expression XP 15000, XP 8500, XP-",150x40x100,0.6,0.173,0.427,cactus,0,0,0,0
1261565877,5278,"Картридж 378XL для принтеров Epson и Expression XP 15000, XP 8500, XP-",150x40x100,0.6,0.211,0.389,cactus,0,0,0,0
1261564116,5280,"Картриджи 378XL-478XL для принтеров Epson Expression XP 15000, XP 8500",152x96x96,1.401,,,,1,7822,5,0
1261570517,5284,"Картридж T741X для принтеров Epson SureColor F6000, SureColorF6070 чер",65x170x275,3.039,2.949,0.09,cactus,0,0,0,0
1261571659,5283,"Картридж T7414 для принтеров Epson SureColor F6000, SureColorF6070 жел",65x170x275,3.039,2.949,0.09,cactus,0,0,0,0
1261564200,5282,"Картридж T7413 для принтеров Epson SureColor F6000, SureColorF6070 пур",65x170x275,3.039,2.949,0.09,cactus,0,0,0,0
1261573168,5281,"Картридж T7412 для принтеров Epson SureColor F6000, SureColorF6070 гол",65x170x275,3.039,2.949,0.09,cactus,0,0,0,0
1261564063,5285,"Картриджи T7412-T741X для принтеров Epson SureColor F6000, SureColorF6",130x340x275,12.155,,,,0,0,0,0
1261566085,5293,"Лента S0720780 для принтеров Dymo Label Manager 160, LM 210D, LM 280, ",65x65x20,0.085,0.131,-0.046,cactus,0,0,0,0
1261565078,5295,"Лента S0720530 для принтеров Dymo Label Manager 160, LM 210D, LM 280, ",65x65x20,0.085,0.131,-0.046,cactus,0,0,0,0
