article;cards_in_group;distinct_external_codes;code;external_code;name;buy_price_rub;ms_id
CB304AE;2;2;0947cs;0947;Картридж HP 110 Col Cactus;0.0;36ace742-75ab-11e6-7a69-97110006bcbf
CB304AE;2;2;;YG5e1oBQg9bGZWmHEwTT80;К-ж HP CB304AE PhotoSmart A430 (№ 110) цветной оригинал;0.0;a225e0be-3530-11eb-0a80-06530015b585
CB335HE;2;2;0198-or;0198;Картридж hp 140xl HP;27.0674;b84a738d-4473-11e8-9ff4-31500003fed8
CB335HE;2;2;3624-or;3624;К-ж HP CB335HE OfficeJet J5783 № 140 стандартный черный;35.2888;a236b599-3530-11eb-0a80-06530015b5c1
CB337HE;2;2;0199-or;0199;Картридж HP 141XL HP;43.3732;505a2ed8-4474-11e8-9109-f8fc000385fe
CB337HE;2;2;3625-or;3625;К-ж HP CB337HE OfficeJet J5783 № 141 стандартный цветной;33.2685;a238ee72-3530-11eb-0a80-06530015b5c9
CC656AE;2;2;;gxcCAJ03h6cnmrLETtLbv3;К-ж HP CC656AE J4580/4660/4680 № 901 цветной;32.9634;09ee2fdd-1487-11ec-0a80-0d9c00324d4b
CC656AE;2;2;ORIG0847;ORIG0847;К-ж HP CC656AE J4580/4660/4680 № 901 цветной;42.9755;a24538fd-3530-11eb-0a80-06530015b5f1
CE400X;2;2;0347pl;0347;Картридж CE400X BK PL;268.6112;b6cf34b8-4884-11e3-ca29-7054d21a8d1e
CE400X;2;2;;A3g7cY09hw3i5LdcZcY6k2;CE400X К-ж HP 507X CLJ Color M551 черный, увеличенный, оригинал;245.784;97568c12-3530-11eb-0a80-065300158c3d
CE740A;2;2;0777ct;0777;Картридж CE740A BK CP;209.496;7c6b20c2-f226-11e8-9107-5048002c0745
CE740A;2;2;;yJkmMhRgiTOh6QWWqQ1C61;CE740A К-ж HP CLJ CP5220/CP5225 черный, оригинал;214.6;976e551d-3530-11eb-0a80-065300158ca5
CE741A;2;2;0778ct;0778;Картридж CE741A C CP;344.3112;7e8ad6ea-f227-11e8-9109-f8fc002bd661
CE741A;2;2;;Nk1yJ-75hKJzz2H2k8sx41;CE741A К-ж HP CLJ CP5220/CP5225 голубой, оригинал;282.125;976f44e5-3530-11eb-0a80-065300158ca9
CE742A;2;2;0779ct;0779;Картридж CE742A Y CP;282.125;952e8121-f227-11e8-9107-5048002c2d78
CE742A;2;2;;0IkmMYYZhA3WH9f62WTei2;CE742A К-ж HP CLJ CP5220/CP5225 желтый, оригинал;296.34;97702c19-3530-11eb-0a80-065300158cad
CE743A;2;2;0780ct;0780;Картридж CE743A M CP;261.87;b3534264-f227-11e8-9ff4-34e8002b4ffc
CE743A;2;2;;XIHvJ-f1h-tJrFiNPn13u2;CE743A К-ж HP CLJ CP5220/CP5225 пурпурный, оригинал;282.125;977125f6-3530-11eb-0a80-065300158cb1
C-EXV-33/2785B002;2;2;0830-or;0830;Картридж C-EXV33 OR;32.45;a8678f5e-b673-11e8-9109-f8fc000fa868
C-EXV-33/2785B002;2;2;;FdlA1c-xhX2Dj6HGyFF9F0;Тонер Canon C-EXV-33 IR2520/20i/25/25i/30/30i 2785B002;54.2;98d2539a-3530-11eb-0a80-0653001592b4
CF256A;2;2;;HmV3Nmx8gm9QTg-8RvEi00;Картридж CF256A OR;49.1206;d5f064cf-248a-11e9-9109-f8fc0006a420
CF256A;2;2;;iH2UI9YRiWY5gwPDBblWm1;CF256A К-ж HP 56A лазерный (7400 стр), оригинал;50.5975;9790a175-3530-11eb-0a80-065300158d35
CF283XF;2;2;;7naGVCQij-hTonrDNV1ai3;CF283XF К-ж HP LJ M225 MFP/M201, двойная упаковка, увелич.ресурс, оригинал;198.2182;97a1c47e-3530-11eb-0a80-065300158d81
CF283XF;2;2;;vYMfVGdbgAfA0dN4M4kQe2;CF283XF / XD К-ж HP LJ M225 MFP/M201, двойная упаковка, увелич.ресурс, оригинал;193.5039;be694d96-bc78-11eb-0a80-0053002a7842
CF530A;2;2;;QS2LOwMPghDqWm1r9zTRN0;CF530A K-ж HP 205A Black CLJ Pro MFP M180/181, оригинал;54.9576;97f51d34-3530-11eb-0a80-065300158f0d
CF530A;2;2;;yeASzsysgZUAOlmuKMPWN3;Чип HP CF530A;56.61;c7cd779e-aa0f-11e9-9ff4-34e800049b0d
CH565A;2;2;0320pl;0320;Картридж HP 82 Black  PL;76.8305;afe03980-5155-11e5-90a2-8ecb001680d6
CH565A;2;2;;x7-hzECthYjIzvgs9hYer1;К-ж HP CH565A Картридж HP № 82 черный емкость 69 мл.;58.9311;a2531161-3530-11eb-0a80-06530015b621
CL-41/0617B025;2;2;0183-or;0183;Картридж CL-41 Col OR;16.9;8aded06d-a4ab-11ea-0a80-05080032e79c
CL-41/0617B025;2;2;;UQn5s9iLiOUxKjFhWzNly3;К-ж CANON CL-41 к Pixma MP150/170 цветной;16.9;a303361f-3530-11eb-0a80-06530015b891
CL-446XL;2;2;CL-446XL/8284B001;4IJuqoyniisMRKWffai453;Картридж CL-446XL Col OR;23.6;0526ec54-b2a9-11e8-9ff4-31500012f72c
CL-446XL;2;2;CL-446XL/8284B001;qJo0k7rqhgq2t5yCnZcOx1;К-ж CANON CL-446XL к Pixma MG2440/2540 увеличенный цветной;27.0;a3073000-3530-11eb-0a80-06530015b8a1
