# oz_acc2: неделя 10.08–16.08 против 03.08–09.08; органика — неделя 03.08 (лаг Ozon); шаг ±10 %, ДРР-предел 15.0 %, пол 6.0 ₽
tier,action,sku,offer_id,name,camp,bid,bid_new,d_bid,ceiling,headroom,margin_safe,our_price,cr_used,cr_src,w_views,w_clicks,w_spend,w_orders,w_rev,cpc,ctr,drr,p_clicks,p_spend,p_orders,p_cpc,o_pos,op_pos,d_pos,o_views,d_org_views,o_gmv,o_demand,ph_best,ph_top10,ph_n,qty_w,rev_w,qty_p,qty_all,c_clicks,c_spend,c_orders,ms_stock,free_fbo,reason
watch,hold,1903650705,5791XEEPJPBD,"Блок проявки DS DV-1140 для принтеров Kyocera FS-1035, FS-1135MFP черный",5000-10000,13.0,13.0,0.0,19.0,6.0,10.3,17948.0,0.02,справочная,76,3,36.87,0.0,0.0,12.3,3.95,,1,2.01,0.0,2.0,80.0000000000000000,34.0000000000000000,46.0,77,3,0,159,7,2,10,0,0,0,2,5,51.34,0.0,0,0,"кликов за неделю 3 (за всё время 5), расход 37 ₽ (накоплено 51 ₽) — судить не о чем, наблюдаем"
watch,hold,2138962079,6205K4NSYG96,"Картридж DS №62XL для принтеров HP Envy 5540, Envy5541, Officejet 200 Mobile, OfficeJet 202 цветной",Все,8.0,8.0,0.0,28.7,20.7,16.5,8322.0,0.03,справочная,131,5,36.27,1.0,7818.0,7.3,3.82,0.5,2,2.0,0.0,1.0,64.0000000000000000,68.0000000000000000,-4.0,111,84,0,1154,10,1,12,1,7818.0000,0,2,7,38.27,1.0,0,0,"кликов за неделю 5 (за всё время 7), расход 36 ₽ (накоплено 38 ₽) — судить не о чем, наблюдаем"
bordeaux,floor,1916256253,2986FYFYBLUB,"Фотобарабан DS CLT-R406 DU для принтеров Samsung CLP-360, CLP 365, CLX-3300, CLX3305, SL-C410, SL-C460",Все,8.0,6.0,-2.0,20.1,12.1,14.1,7376.0,0.03,справочная,117,5,35.55,0.0,0.0,7.1,4.27,,1,2.11,0.0,2.1,45.0000000000000000,26.0000000000000000,19.0,75,32,0,105,3,4,15,0,0,0,0,9,64.19,0.0,0,0,"ни одной продажи за всю доступную историю (не только реклама): 9 кликов, 64 ₽ рекламы впустую. В пол и на снятие"
watch,hold,1873179807,0992NWJBJKPG,"Картридж DS 44469809 для принтеров OKI C310dn, c310n, c330, C330dn, C331, c331dn, C510, C511 c511dn C530 C531 c531dn mc351 MC351dn MC352dn MC561dn MC562dn черный",от 0 до 3000,14.0,14.0,0.0,15.0,1.0,17.7,2957.0,0.04,справочная,81,3,35.21,0.0,0.0,11.7,3.7,,1,14.96,0.0,15.0,51.0000000000000000,58.0000000000000000,-7.0,39,7,0,583,12,0,8,0,0,0,3,5,65.17,0.0,0,0,"кликов за неделю 3 (за всё время 5), расход 35 ₽ (накоплено 65 ₽) — судить не о чем, наблюдаем"
watch,hold,1822908585,0232R4A7QRC4,"Картридж DS KX-FAT92A для принтеров Panasonic KX-MB261, KX MB262, KXMB263, KX-MB271, KXMB281, KX MB283 черный",от 0 до 3000,14.0,14.0,0.0,0.0,-14.0,-11.5,478.0,0.06,справочная,200,2,35.05,1.0,478.0,17.5,1.0,7.3,3,38.69,0.0,12.9,46.0000000000000000,46.0000000000000000,0.0,164,26,0,3882,10,1,15,2,956.0000,0,12,6,86.42,1.0,0,0,"кликов за неделю 2 (за всё время 6), расход 35 ₽ (накоплено 86 ₽) — судить не о чем, наблюдаем"
watch,hold,2241789806,5624H6CW3Y6Y,Картриджи DS TK-5370 для принтеров Kyocera ECOSYS MA3500cifx,Все,10.0,10.0,0.0,38.3,28.3,20.0,12770.0,0.02,справочная,67,3,34.51,0.0,0.0,11.5,4.48,,1,8.88,0.0,8.9,29.0000000000000000,21.0000000000000000,8.0,54,-93,0,241,15,0,6,0,0,0,13,6,61.35,0.0,0,0,"кликов за неделю 3 (за всё время 6), расход 35 ₽ (накоплено 61 ₽) — судить не о чем, наблюдаем"
watch,hold,1822908585,0232R4A7QRC4,"Картридж DS KX-FAT92A для принтеров Panasonic KX-MB261, KX MB262, KXMB263, KX-MB271, KXMB281, KX MB283 черный",Все,7.0,7.0,0.0,0.0,-7.0,-11.5,478.0,0.06,справочная,149,5,34.20,0.0,0.0,6.8,3.36,,5,34.46,0.0,6.9,46.0000000000000000,46.0000000000000000,0.0,164,26,0,3882,10,1,15,2,956.0000,0,12,15,105.51,0.0,0,0,"кликов за неделю 5 (за всё время 15), расход 34 ₽ (накоплено 106 ₽) — судить не о чем, наблюдаем"
watch,hold,2241828171,5291M9DZM0QT,"Лента DS S0720670 для принтеров Dymo Label Manager 160, LM 210D, LM 280, LM 420P, LM 500TS, LM PnP, Rhino 5200, Rhino Pro 4200",от 0 до 3000,11.0,11.0,0.0,39.5,28.5,53.2,1637.0,0.05,справочная,46,2,34.09,0.0,0.0,17.0,4.35,,1,8.09,0.0,8.1,88.0000000000000000,38.0000000000000000,50.0,92,-82,0,170,11,0,15,0,0,0,3,6,67.03,0.0,0,0,"кликов за неделю 2 (за всё время 6), расход 34 ₽ (накоплено 67 ₽) — судить не о чем, наблюдаем"
watch,hold,1873181823,1425D6DH9C5E,"Картридж DS 45807120 для принтеров OKI B412, Data B432, B432dn, B512, Kraftway KRP432, MB472dnw, MB492, MB562 MB562dnw черный",Все,8.0,8.0,0.0,18.5,10.5,15.7,4312.0,0.04,справочная,132,5,32.88,0.0,0.0,6.6,3.79,,4,4.43,0.0,1.1,21.0000000000000000,21.0000000000000000,0.0,82,18,0,164,7,1,8,0,0,0,3,11,44.15,0.0,0,0,"кликов за неделю 5 (за всё время 11), расход 33 ₽ (накоплено 44 ₽) — судить не о чем, наблюдаем"
bordeaux,floor,1888949146,4650BFKOYRSE,Картриджи DS TK-8545 для принтеров Kyocera TASKalfa 4054ci,10000-500000,13.0,6.0,-7.0,39.6,26.6,10.5,35992.0,0.02,справочная,66,3,32.56,0.0,0.0,10.9,4.55,,5,39.72,0.0,7.9,,61.0000000000000000,,0,-172,0,0,,0,0,1,35992.0000,0,5,19,193.44,0.0,0,0,"за все 18 дн наблюдения ни одного заказа: 19 кликов, 193 ₽ впустую (уже понижали — не реабилитировался). Ставка в пол, через неделю — снятие, если не оживёт"
watch,hold,2699040524,6456RNAWZQW0,"Чернила DS 115PBK для принтеров Epson EcoTank L8160, EcoTank L8180 фото-черный",Все,8.0,8.0,0.0,0.0,-8.0,-25.0,640.0,0.06,справочная,328,4,32.00,1.0,650.0,8.0,1.22,4.9,3,29.34,0.0,9.8,98.0000000000000000,71.0000000000000000,27.0,104,30,0,4151,16,0,15,1,650.0000,0,9,12,100.93,1.0,0,0,"кликов за неделю 4 (за всё время 12), расход 32 ₽ (накоплено 101 ₽) — судить не о чем, наблюдаем"
watch,hold,2681730433,6400WSWJYDDR,"Картридж DS W2300A для принтеров HP Color LaserJet Pro 4203cdn, 4303dw черный",Все,9.0,9.0,0.0,21.7,12.7,17.4,4373.0,0.04,справочная,177,4,31.72,1.0,3553.0,7.9,2.26,0.9,5,44.98,0.0,9.0,63.0000000000000000,46.0000000000000000,17.0,66,37,0,3308,10,1,15,1,3553.0000,0,12,9,76.70,2.0,0,0,"кликов за неделю 4 (за всё время 9), расход 32 ₽ (накоплено 77 ₽) — судить не о чем, наблюдаем"
watch,hold,1883128548,0817EO9WGWF6,"Картриджи DS №177XL для принтеров HP PhotoSmart 3110, PhotoSmart 3200 набор cmyk lclm",Все,8.0,8.0,0.0,18.8,10.8,16.9,3955.0,0.04,справочная,231,4,31.50,0.0,0.0,7.9,1.73,,3,28.31,0.0,9.4,,58.0000000000000000,,0,-10,0,0,,0,0,0,0,1,1,8,67.60,0.0,0,0,"кликов за неделю 4 (за всё время 8), расход 32 ₽ (накоплено 68 ₽) — судить не о чем, наблюдаем"
