# oz_acc1: реклама 2026-07-27..2026-08-15 (19 дн), поиск 4 нед с 2026-07-13, продажи вся история, маржа: margin_safe = margin_own_live - 10.6 п.п.; построено 2026-08-17 — трафика нет и не было
sku,offer_id,name,in_ads,bid,n_camp,camp_titles,ad_views,ad_clicks,ctr,cpc,ad_spend,spend_30d,ad_orders,ad_rev,ad_drr,ad_cr,ad_days_shown,clicks14,spend14,ad_orders14,ad_rev14,s_demand,s_views,s_orders,s_gmv,pos_avg,pos_best,s_views_all,s_orders_all,s_demand_all,s_weeks,qty30,rev30,qty90,rev90,qty_all,rev_all,n_post,canc,cancel_share,last_sale,days_since_sale,free_fbo,our_price,buyer_price,margin_own_live,margin_safe,net_live,cr_bucket,ceiling_live,ceiling_safe,headroom,segment,tier,note
652072312,0189,"Картридж T1282 для принтеров Epson Stylus Office BX305 F, BX305fw, Stylus S22 голубой",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,762.0,,16.15,5.5,123.04,0.0673,5.7,0.3,,no_traffic,,вне рекламы; спроса по фразам тоже нет
5280942975,5786X2,"Комплект картриджей 106R02751 (2 шт.) на 24000 страниц для принтеров Xerox WorkCentre 6655, 6655dn",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,45000.0,,,,,0.0539,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
1153403974,1066,"Картридж CLT-Y508S для принтеров Samsung и CLP-620, CLP 620ND, CLX-6220, CLX 6250 желтый",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,7805.0,,,,,0.0389,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
5259020260,3556X6,"Комплект картриджей 1239901 (6 шт.) на 18000 страниц для принтеров OKI MB200, MB260",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,45000.0,,,,,0.0539,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
930632009,1087,"Фотобарабан 101R00435 DU для принтеров Xerox WorkCentre 5222, WC-5225, WC 5230 черный",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0.0673,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
866443496,1405,"Картридж TK-560C для принтеров Kyocera Ecosys P6030cdn, FS-C5300DN голубой",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,8194.0,,26.07,15.5,2135.94,0.0389,67.2,33.5,,no_traffic,,вне рекламы; спроса по фразам тоже нет
1153801217,2967,"Картридж CF294X для принтеров HP LaserJet Pro M118dw, LJ Pro M148dw черный",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,2628.0,,29.37,18.8,771.95,0.0434,27.8,15.7,,no_traffic,,вне рекламы; спроса по фразам тоже нет
5285099071,6230X2,"Комплект фотобарабанов 013R00688 (2 шт.) на 174000 страниц для принтеров Xerox VersaLink C7120, VersaLinkC7125",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,45000.0,,,,,0.0539,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
4527384692,51802,Фотобарабан для Samsung MSYS-835,False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,14524.0,,,,,0.0539,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
4543089578,65952,Картридж для Kyocera FS-2100,False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,5374.0,,,,,0.0389,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
