запрос;nm_id;название;наша_цена;медиана_топ10;множитель;наших_отзывов;отзывов_медиана_соседей;позиция
картридж для принтера phaser 3020;181115998;Картридж 106R02773 для Xerox Phaser 3020, WC 3025 черный;2243;1051;2.13;1;30;99
картридж dymo;267893136;Лента S0720670 для Dymo LM 160, LM 210D, LM 280, LM 420P;1462;686;2.13;1;2;54
tk-5380;261205028;Картридж TK-5380Y для Kyocera MA4000cifx, MA4000cix желтый;3980;1878;2.12;2;0;56
чернила для струйного принтера hp;326847844;Чернила GT51XL для HP DeskJet GT5810, DeskJet GT5820 черный;1155;544;2.12;1;26;50
картридж для принтера pro mfp m227sdn;209763220;Картридж для HP LJ Pro MFP M227fdn;1927;910;2.12;0;10;24
hp 135;964953109;Картридж для HP Laser 135W MFP;2522;1198;2.11;2;3;11
картридж hp 135;964953068;Картридж для HP Laser 135A;2175;1032;2.11;0;6;13
картридж hp 651;400980499;Картридж №651 для HP OfficeJet 202c, OfficeJet 252c цветной;5617;2675;2.1;0;14;17
картридж для принтера lexmark;209728973;Картридж 71B50M0 для Lexmark CS517, CS517, CS517 пурпурный;3096;1474;2.1;2;3;46
tk-5380;261208093;Картридж TK-5380C для Kyocera MA4000cifx, MA4000cix голубой;3918;1878;2.09;2;0;62
картридж на epson xp 33;566797602;Картриджи T1711-T1714 для Epson XP-406, XP-413, XP-406;1656;791;2.09;10;20;7
картридж для принтера ricoh sp150;181123616;Картридж SP150HE для Ricoh SP150, SP150SU, SP150SUw черный;3590;1727;2.08;0;105;48
картридж ricoh sp150;181123616;Картридж SP150HE для Ricoh SP150, SP150SU, SP150SUw черный;3590;1726;2.08;0;2;24
mf752cdw;257945544;Картридж 069H для Canon LBP673Cdw, MF752Cdw черный;4752;2300;2.07;1;0;14
картридж ecosys m2135dn;200166560;Картридж для Kyocera EcoSys M2635dn;1707;836;2.04;6;22;64
картридж для принтера lexmark;209713974;Картридж для Lexmark E460dn;3001;1474;2.04;3;3;71
картридж для принтера lexmark;209665462;Картридж E260A21E для Lexmark E260, E260d, E260dn черный;3001;1474;2.04;2;3;75
картридж для принтера lexmark;209754036;Картридж для Lexmark E360d;3001;1474;2.04;1;3;84
картридж hp 21 черный;200164814;Картридж для HP DeskJet F4140;3026;1488;2.03;0;30;92
hp 135;967516933;Картридж для HP Laser 135A MFP;2428;1198;2.03;0;3;4
hp 135;964953034;Картридж для HP Laser 135R MFP;2428;1198;2.03;0;3;32
hp 135;964953201;Картридж для HP Laser 135WR MFP;2428;1198;2.03;2;3;34
картридж 047;209712338;Картридж 047X для Canon LBP113, MF 113, MF112 черный;1905;942;2.02;3;5;26
xerox 6015;199566560;Картридж для Xerox Phaser 6010;1015;504;2.02;1;209;40
xerox 6015;199566553;Картридж для Xerox Phaser 6000;1015;504;2.02;1;209;47
картридж canon 325;261154358;Картридж 056 для Canon MF542x, MF543x, LBP325 черный;2367;1171;2.02;0;8;15
картридж для принтера canon 325;261154358;Картридж 056 для Canon MF542x, MF543x, LBP325 черный;2367;1171;2.02;0;8;15
pg-460xl;209733355;Картридж PG-460XL для Canon Pixma MG7740 черный;5524;2748;2.01;44;10;27
картридж hp 21 черный;200164668;Картридж для HP DeskJet D2360;2987;1488;2.01;2;30;81
картридж hp 21 черный;200164368;Картридж для HP DeskJet F2110;2987;1488;2.01;2;30;83
картридж hp 21 черный;200164787;Картридж для HP DeskJet D1360;2987;1488;2.01;0;30;98
картридж для принтера lexmark;215240565;Картридж для Lexmark MS410d;2962;1474;2.01;0;3;44
картридж для принтера pro mfp m227sdn;1002744537;Картридж для Canon i-SENSYS MF267dw;1830;910;2.01;0;10;95
