класс;код;внешний код;наименование;лежит;по ТК должно быть
ДРУГОЙ БРЕНД;0234cs;0234;Картридж лазерный G&G GG-FAT411A черный (2000стр.) для Panasonic MB1900/MB2000/MB2010/MB2020/MB2025/MB2030;Картриджи/Картриджи G&G;Картриджи/Картриджи Panasonic
ДРУГОЙ БРЕНД;0237cs;0237;Картридж лазерный G&G GG-TK1140 черный (7200стр.) для Kyocera FS-1035/1135/M2535dn;Картриджи/Картриджи G&G;Картриджи/Картриджи Kyocera Mita
ДРУГОЙ БРЕНД;0248cs;0248;"Картридж лазерный G&G GG-TN2275 TN-450/2220/2275/27J/2250/2280 черный (2600стр.) для Brother HL-2130/2132/2240/2240D/2250DN/2270DW/2220/2270DW/2275DW;DCP-7055/7060/7065DN/7060D;MFC-7360/7460DN/7860D/7240/7360N/7860DW;IntelliFax-2840/2940";Картриджи/Картриджи G&G;Картриджи/Картриджи Brother
ДРУГОЙ БРЕНД;0254cs;0254;Картридж лазерный G&G GG-108R00909 черный (2500стр.) для Xerox Phaser 3140/3155/3160;Картриджи/Картриджи G&G;Картриджи/Картриджи Xerox
ДРУГОЙ БРЕНД;0255cs;0255;Картридж лазерный G&G GG-106R01487 черный (4100стр.) для Xerox WorkCentre 3210/ 3220;Картриджи/Картриджи G&G;Картриджи/Картриджи Xerox
ДРУГОЙ БРЕНД;0274cs;0274;"Картридж лазерный G&G GG-D101S черный (1500стр.) для Samsung Samsung ML-2160/ML-2161/ML-2165W/ML-2162/ML-2165/ML-2166/ML-2168/ML-2164/ML-2164W/ML-2167/ML-2168W; SCX-3400/SCX-3405/SCX-3405W/SCX-3405FW/SCX-3407/SCX-3400F/SCX-3405F/SCX-3405FW; SF-760P";Картриджи/Картриджи G&G;Картриджи/Картриджи Samsung
ДРУГОЙ БРЕНД;0276cs;0276;"Картридж лазерный G&G GG-D105L черный (2500стр.) для Samsung ML-1910/1915/1916K/2525K/1911;SCX-4600/4605K/4610K/4623K";Картриджи/Картриджи G&G;Картриджи/Картриджи Samsung
ДРУГОЙ БРЕНД;0279cs;0279;Картридж лазерный G&G GG-D205L черный (5000стр.) для Samsung ML-3710ND/ML-3712DW/SCX-5639FW/SCX-5637FR;Картриджи/Картриджи G&G;Картриджи/Картриджи Samsung
ДРУГОЙ БРЕНД;0280cs;0280;Картридж лазерный G&G GG-D104S черный (1500стр.) для Samsung ML-1660K, ML-1665K, 1661K, ML-1660, ML-1665, ML-1865W, ML-1666, ML-1860, ML-1673, ML-1674, ML-1673DCS, ML-1865K, ML-1864K, ML-1861K, ML-1865DCS, ML-1865WK, ML-1865EXP, SCX-3200, SCX-3210, S;Картриджи/Картриджи G&G;Картриджи/Картриджи Samsung
ДРУГОЙ БРЕНД;0305cs;0305;Картридж струйный G&G GG-C51645A черный (44мл) для HP DJ 710c/720c/722c/815c/820cXi/850c/870cXi/880c;Картриджи/Картриджи G&G;Картриджи/Картриджи HP/струйные hp
