offer_id,name,queries,demand,best_pos,mg,in_camp,in_ramp
0764X2,"Комплект картриджей CE410X (2 шт.) на 8000 страниц для принтеров HP Color LaserJet Pro 300 M351a, M375nw, HP M451dn, HP-M451dw, HPM451nw, HP MFP M475dn",1,121,24,46.91,False,False
07086,Картридж для Samsung ML-2250,5,121,18,34.74,True,False
02743,Картридж для Samsung SCX-3400,3,119,16,38.73,True,True
0375,"Картриджи 716 для принтеров Canon i-SENSYS LBP-5050, MF-8030CN, MF8040CN, MF-8050CN, MF8080CW",1,104,25,33.6,True,True
63562,Тонер-картридж для Xerox PrimeLink C9070,1,102,18,34.43,True,False
1275,"Картриджи LC569XL-LC565XL для принтеров Brother MFC-J3520, MFC-J3720",5,102,14,42.21,True,True
4527,"Картридж MX-61GTCA для принтеров Sharp и MX-3050, MX 3060, MX3070, MX-3550, MX3560, MX 3570, MX 4060, MX4070 MX5070 MX 6050 голубой",1,94,28,35.5,True,False
2306,"Картриджи 045H для принтеров Canon i-SENSYS LBP-611, LBP613, MF631cn, MF633Cdw",2,93,19,34.66,True,True
5634,Картриджи TK-5440 для принтеров Kyocera ECOSYS MA2100cfx,2,91,13,38.32,True,True
4366X6,"Комплект картриджей №46 (6 шт.) на 9600 страниц для принтеров HP DJ Ink Advantage 2020hc, DJ 2520hc, DJ Ultra 2029, DJ Ultra 2529",2,91,12,54.41,False,False
05257,Картридж для Panasonic KX-B753RU,6,90,11,26.55,True,False
4886,"Картридж 305XL для принтеров HP DeskJet 2120, DeskJet 2320, ENVY 6010, ENVY 6020 черный",1,90,29,35.16,True,False
5430,"Картриджи 305XL для принтеров HP DeskJet 2120, DeskJet 2320, ENVY 6010, ENVY 6020",1,90,30,34.01,True,False
05253,Картридж для Panasonic KX-FL503RU,4,89,12,26.51,True,False
052510,Картридж для Panasonic KX-M551,4,88,11,26.36,True,False
02301,Картридж для Panasonic KX-FL403,6,88,13,29.94,True,False
02304,Картридж для Panasonic KX-FL422,5,87,16,26.22,True,False
052511,Картридж для Panasonic KX-M553RU,3,87,13,26.49,True,False
02308,Картридж для Panasonic KX-FLC423,3,86,14,26.22,True,False
05259,Картридж для Panasonic KX-B758RU,3,86,16,26.57,True,False
05256,Картридж для Panasonic KX-B751RU,2,86,18,26.47,True,False
