nm_id;advert_id;цвет;действие;причина;ставка_₽;маржа_live_%;ДРР_факт_%;ДРР_потолок_%;показы;клики;расход_₽;выручка_₽;закз_реклама;закз_органика;орг_корзина;орг_открытий;орг_позиция
216425348;35698882;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;41.8;;16.8;23;0;0.00;0.00;0;0;0;0;
216361799;35700718;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;19.5;;0.0;14;0;0.00;0.00;0;0;0;0;
199333470;35278992;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;18.8;;0.0;1;0;0.00;0.00;0;0;0;0;
199565323;35278992;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;31.1;;6.1;24;0;0.00;0.00;0;0;0;0;
216403628;35700718;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;15.7;;0.0;13;0;0.00;0.00;0;0;0;0;
200166015;35701344;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;29.0;;4.0;10;0;0.00;0.00;0;0;0;0;
199565925;35278992;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;24.3;;0.0;8;0;0.00;0.00;0;0;0;0;
199566576;35278992;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;38.5;;13.5;56;0;0.00;0.00;0;0;0;0;
199569451;35278992;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;20.3;;0.0;27;0;0.00;0.00;0;0;0;0;
216422393;35700718;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;20.1;;0.0;61;0;0.00;0.00;0;0;0;0;
397270419;35408957;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;36.5;;11.5;16;0;0.00;0.00;0;0;0;0;
209733293;35282447;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;26.6;;1.6;76;0;0.00;0.00;0;0;0;0;
209755386;35704644;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;25.8;;0.8;28;0;0.00;0.00;0;0;0;0;
506640685;35700300;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;41.7;;16.7;3;0;0.00;0.00;0;0;0;0;
439975498;35277054;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;36.5;;11.5;40;0;0.00;0.00;0;0;0;0;
676777600;35699129;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;21.5;;0.0;18;0;0.00;0.00;0;0;0;0;
199334709;35705358;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;40.8;;15.8;18;0;0.00;0.00;0;0;0;1;3
400980164;35698419;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;24.4;;0.0;3;0;0.00;0.00;0;0;0;0;
770383455;35281617;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;52.8;;27.8;6;0;0.00;0.00;0;0;0;0;
681357800;35277369;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;18.3;;0.0;6;0;0.00;0.00;0;0;0;2;30
964442851;36878508;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;51.8;;26.8;21;0;0.00;0.00;0;0;0;0;
944934660;36879647;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;49.2;;24.2;9;0;0.00;0.00;0;0;0;0;
440329866;35698099;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;51.0;;26.0;87;0;0.00;0.00;0;0;0;1;3
264450187;35698882;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;33.4;;8.4;6;0;0.00;0.00;0;0;0;0;
568056262;35700392;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;25.4;;0.4;9;0;0.00;0.00;0;0;0;0;
472911780;35698223;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;37.4;;12.4;7;0;0.00;0.00;0;0;0;1;2
