account,sku,offer_id,name,campaign,bid_now,bid_new,ceiling,margin_pct,qty_90d,revenue_90d
oz_acc1,930614726,0893,"Картридж CF325X для принтеров HP и LaserJet M806DN M806DN, M",от 10000 до 500 тыс,12.0,36,337.0,28.9,2,26586
oz_acc1,930614726,0893,"Картридж CF325X для принтеров HP и LaserJet M806DN M806DN, M",Эксперимент1,8.0,24,337.0,28.9,2,26586
oz_acc1,904483428,3826,"Картриджи SJIC22P для принтеров Epson ColorWorks C3500, TM-C",Эксперимент1,8.0,24,266.6,29.2,2,26442
oz_acc1,3350326076,2411,"Картридж TK-8115BK для принтеров Kyocera Ecosys M8124cidn, M",Эксперимент1,8.0,24,116.2,32.4,7,25793
oz_acc1,863383151,0991,"Картриджи 44973541-44973544 для принтеров OKI C301dn, C321dn",от 5000 до 10000,15.0,31,87.4,32.8,4,25787
oz_acc1,930632176,1156,"Картриджи CF360X-CF363X для принтеров HP Color LJ M552dn, LJ",от 10000 до 500 тыс,12.0,36,608.1,27.0,1,25746
oz_acc1,930632176,1156,"Картриджи CF360X-CF363X для принтеров HP Color LJ M552dn, LJ",Эксперимент1,8.0,24,608.1,27.0,1,25746
oz_acc1,1261562784,5247,"Фотобарабан DR-321CL для принтеров Brother HL-L8250, HL L920",от 10000 до 500 тыс,12.0,36,522.3,26.7,1,25381
oz_acc2,1885398141,1945DB3KIMYO,"Фотобарабан DS DK-170 DU для принтеров Kyocera EcoSys M2035,",Все,8.0,17,48.2,28.5,5,25231
oz_acc2,1885398141,1945DB3KIMYO,"Фотобарабан DS DK-170 DU для принтеров Kyocera EcoSys M2035,",3000-5000,12.0,17,48.2,28.5,5,25231
oz_acc1,874374488,4290,Фотобарабан 108R01151 DU для принтеров Xerox Phaser 7100 чер,от 10000 до 500 тыс,12.0,36,505.8,26.3,1,25110
oz_acc1,874374488,4290,Фотобарабан 108R01151 DU для принтеров Xerox Phaser 7100 чер,Эксперимент1,9.0,27,505.8,26.3,1,25110
oz_acc1,2334951385,6250,"Картридж W2220A для принтеров HP Color LaserJet Pro 3203, LJ",Эксперимент1,8.0,24,94.9,29.7,2,24959
oz_acc1,2512878869,6285,"Картриджи TK-8505 для принтеров Kyocera TASKalfa 4550ci, TAS",от 10000 до 500 тыс,12.0,36,474.8,25.9,1,24863
oz_acc1,2512878869,6285,"Картриджи TK-8505 для принтеров Kyocera TASKalfa 4550ci, TAS",Эксперимент1,8.0,24,474.8,25.9,1,24863
oz_acc1,874374362,4468,"Картридж T41F540 для принтеров Epson SureColor SC-T3400, Sur",от 10000 до 500 тыс,12.0,36,595.1,27.8,1,24757
oz_acc2,1873140399,5418YW8E45SK,"Картридж DS 067H Bk для принтеров Canon i-SENSYS LBP631CW, L",Все,9.0,27,119.0,33.5,7,24617
oz_acc1,873319526,4053,"Картридж PFI-320Bk для принтеров Canon и iPF TM-200, iPF TM ",от 10000 до 500 тыс,13.0,39,308.8,29.2,2,24450
oz_acc2,3248589118,6798QC2UKCH8,Картридж DS TK-8110BK для принтеров Kyocera Ecosys M8124cidn,Все,9.0,27,98.2,29.8,3,24441
oz_acc1,1165086595,2627,Фотобарабан CF358A для принтеров HP Color LaserJet Enterpris,от 10000 до 500 тыс,12.0,36,567.6,26.1,1,24135
oz_acc1,1165086595,2627,Фотобарабан CF358A для принтеров HP Color LaserJet Enterpris,Эксперимент1,8.0,24,567.6,26.1,1,24135
oz_acc2,1885398758,3710L5N91EUE,Фотобарабан DS DK-1200 DU для принтеров Kyocera EcoSys M2235,Все,8.0,16,46.9,26.6,3,24001
oz_acc1,1519359173,5403,"Картридж 056H для принтеров Canon i-SENSYS MF542x, MF543x, L",Эксперимент1,11.0,32,91.9,30.0,5,23379
oz_acc2,1883230435,2960FP532IRZ,Фотобарабан DS C-EXV33 DU для принтеров Canon ImageRunner 25,Все,8.0,24,258.1,27.9,2,23189
oz_acc1,4287210924,3754,"Картриджи 46861324-46861321 для принтеров OKI C834, C844",Эксперимент1,8.0,24,628.0,27.4,1,22872
oz_acc1,3681617451,3902,"Картриджи №912XL для принтеров HP OfficeJet 8012, OfficeJet8",от 5000 до 10000,12.0,26,75.6,32.4,5,22799
oz_acc1,3681617451,3902,"Картриджи №912XL для принтеров HP OfficeJet 8012, OfficeJet8",Эксперимент1,8.0,24,75.6,32.4,5,22799
oz_acc1,1153736550,2043,"Картридж TN-611Y для принтеров Konica Minolta Bizhub C451, B",Пустые РК,12.0,36,716.8,27.4,1,22742
oz_acc1,1153740852,2041,"Картридж TN-611C для принтеров Konica Minolta Bizhub C451, B",Пустые РК,12.0,36,716.8,27.4,1,22742
oz_acc1,1163041118,2042,"Картридж TN-611M для принтеров Konica Minolta Bizhub C451, B",Пустые РК,12.0,36,716.8,27.4,1,22742
oz_acc1,1775320318,5781,"Фотобарабан 013R00691 для принтеров Xerox B225, B230, B235 ч",от 2000 до 5000,13.0,21,59.8,29.9,4,22423
oz_acc1,873319780,3890,"Картриджи LC-3237 для принтеров Brother HL-J6000DW, MFC-J594",от 5000 до 10000,13.0,39,186.4,30.1,3,22315
oz_acc1,873319780,3890,"Картриджи LC-3237 для принтеров Brother HL-J6000DW, MFC-J594",Эксперимент1,10.0,27,78.3,30.1,3,22315
oz_acc1,863431732,0375,"Картриджи 716 для принтеров Canon i-SENSYS LBP-5050, MF-8030",Эксперимент1,8.0,19,54.8,31.0,4,22297
oz_acc1,1769492915,57733,"Картридж для Canon i-SENSYS MF461dw, MF463dw",от 2000 до 5000,12.0,33,94.5,29.2,7,22281
oz_acc1,863383263,03066,"Картридж для HP DeskJet 1280, Copier 180, Copier 190, DeskJe",от 2000 до 5000,12.0,28,81.0,34.3,5,21739
oz_acc1,3199419252,5043,"Печатающая головка C9384A для принтеров HP Designjet T1100, ",от 10000 до 500 тыс,12.0,36,432.9,27.7,1,21657
oz_acc1,1261466566,4702,"Картридж №761 для принтеров HP DesignJet T7100, DJ T7200 сер",Эксперимент1,8.0,24,464.6,27.6,1,21583
oz_acc1,1153793912,2776,"Картридж X746A1CG для принтеров Lexmark и X740s, X746 голубо",Эксперимент1,8.0,24,210.5,27.5,1,21547
oz_acc1,983886007,4542,"Картридж W1106XL для принтеров HP Laser 135WR MFP, HP Laser ",от 2000 до 5000,13.0,39,111.0,37.8,8,21502
oz_acc1,1153416743,1451,Картридж PFI-703Bk для принтеров Canon и iPF iPF810 черный,от 10000 до 500 тыс,13.0,39,394.9,26.6,1,21490
oz_acc1,1153416743,1451,Картридж PFI-703Bk для принтеров Canon и iPF iPF810 черный,Пустые РК,12.0,36,663.6,26.6,1,21490
oz_acc1,873314380,3821,"Картриджи SPC250H для принтеров Ricoh MC250FW, PC301W",от 10000 до 500 тыс,12.0,36,589.7,27.0,1,21433
oz_acc1,1759504556,5751,"Картридж BPGT20BA для принтеров Sharp и BP-10C20EU, BP 20C20",от 5000 до 10000,13.0,30,86.2,33.2,4,21424
oz_acc1,1759504556,5751,"Картридж BPGT20BA для принтеров Sharp и BP-10C20EU, BP 20C20",Эксперимент1,8.0,24,86.2,33.2,4,21424
oz_acc1,2926854950,6716,Фотобарабан + картридж DR-312K+TN-323 для принтеров Konica M,от 10000 до 500 тыс,13.0,39,411.1,26.7,1,21392
oz_acc2,1916271958,4572MC5TQWB4,"Лента DS LK5YBP для принтеров Epson LabelWorks 1000P, LW 400",Все,9.0,27,80.2,30.1,7,21330
oz_acc2,1916271958,4572MC5TQWB4,"Лента DS LK5YBP для принтеров Epson LabelWorks 1000P, LW 400",от 0 до 3000,13.0,28,80.2,30.1,7,21330
oz_acc1,930626500,3176,Картриджи C-EXV54 для принтеров Canon ImageRunner C3025,Эксперимент1,8.0,24,260.5,27.9,2,21177
oz_acc2,1873054000,4746KLO4K79V,"Картридж DS PG-460XL для принтеров Canon Pixma MG5740, Pixma",Все,10.0,17,49.0,30.8,3,21074
oz_acc1,1556486995,5446,"Картридж TK-3430 для принтеров Kyocera ECOSYS MA5500ifx, PA5",от 2000 до 5000,13.0,39,127.0,33.3,6,21065
oz_acc1,1556486995,5446,"Картридж TK-3430 для принтеров Kyocera ECOSYS MA5500ifx, PA5",Эксперимент1,10.0,30,127.0,33.3,6,21065
oz_acc1,653324142,0035,Картридж SCX-4200 для принтеров Samsung SCX-4200 черный,от 2000 до 5000,14.0,37,106.9,36.1,8,20931
oz_acc1,2912097101,6622,Фотобарабан + картридж DR-2085 DU+TN-2085 для принтеров Brot,от 2000 до 5000,14.0,36,102.4,26.2,5,20792
oz_acc1,653139621,0856,"Картридж TN-241BK для принтеров Brother и DCP-9020cdw, HL-31",Эксперимент1,14.0,34,97.0,43.9,10,20756
oz_acc1,874373960,4530,"Картриджи MX-61GTBA - MX-61GTYA для принтеров Sharp MX-3050,",от 10000 до 500 тыс,12.0,36,483.4,25.5,1,20357
oz_acc1,2999115112,5377,"Картридж 069H для принтеров Canon i-SENSYS LBP-673Cdw, MF752",Пустые РК,13.0,39,132.2,33.0,5,20256
oz_acc1,3557211128,6809,"Картридж 055H BK для принтеров HP Color LaserJet M454dn, LJ ",от 2000 до 5000,12.0,36,141.8,35.5,5,20113
oz_acc1,3656444264,6885,Фотобарабан 60IU60S для принтеров F+ Imaging M60ade черный,от 5000 до 10000,13.0,39,212.6,26.8,2,20038
oz_acc1,3656444264,6885,Фотобарабан 60IU60S для принтеров F+ Imaging M60ade черный,Эксперимент1,8.0,24,212.6,26.8,2,20038
oz_acc2,1883219893,4825UPCUFURZ,Фотобарабаны DS A7U40RD-A7U40TD для принтеров Konica Minolta,Все,8.0,24,585.2,25.1,1,20032
oz_acc1,864225830,1279,"Картридж CF410A для принтеров HP LJ Color Pro M377dw, M452dn",от 2000 до 5000,16.0,37,105.5,35.5,6,19947
oz_acc1,864225830,1279,"Картридж CF410A для принтеров HP LJ Color Pro M377dw, M452dn",Эксперимент1,9.0,27,105.5,35.5,6,19947
oz_acc1,653450900,2414,"Картридж TK-8115Y для принтеров Kyocera и Ecosys M8124cidn, ",Эксперимент1,10.0,30,111.9,33.3,6,19909
oz_acc1,873313014,3538,"Картриджи TN-910 для принтеров Brother HL-L9310, MFC-L9570",Эксперимент1,8.0,24,86.2,26.3,2,19783
oz_acc1,2129710726,6082,"Картридж CTL-2200HBK для принтеров CM2200FDW, CP2200DW черны",Пустые РК,12.0,36,612.5,26.3,1,19620
oz_acc2,1999376442,5953HF1AW8VK,Картридж DS THM348 для принтеров Катюша М348 черный,Все,8.0,16,45.3,30.4,3,19553
oz_acc2,1805535579,4485HIDFWRXT,Картриджи DS CTL-1100XK - CTL-1100XY,Все,10.0,30,686.3,61.9,2,19493
oz_acc2,1805535579,4485HIDFWRXT,Картриджи DS CTL-1100XK - CTL-1100XY,5000-10000,14.0,42,686.3,61.9,2,19493
oz_acc1,2704386883,6467,"Картриджи C-EXV34 для принтеров Canon iR Advance C2000, iR A",от 10000 до 500 тыс,12.0,36,440.7,27.0,1,19491
oz_acc2,1916292305,5423BMD3OXRB,Фотобарабан DS DR-312K для принтеров Konica Minolta Bizhub 2,Все,8.0,24,310.8,27.0,1,19198
oz_acc1,1510953436,5421,"Картридж 067H Y для принтеров Canon i-SENSYS LBP631CW, LBP63",Эксперимент1,10.0,30,119.8,35.4,6,19091
oz_acc1,1153752721,2233,"Картридж TN-322 для принтеров Konica Minolta и Bizhub 224, B",от 2000 до 5000,12.0,36,109.3,30.8,4,19038
oz_acc1,1153752721,2233,"Картридж TN-322 для принтеров Konica Minolta и Bizhub 224, B",Эксперимент1,10.0,30,109.3,30.8,4,19038
oz_acc1,906877563,3972,"Картридж 47095706 для принтеров OKI Data C824, Data C834 пур",Эксперимент1,8.0,24,68.1,31.2,3,18948
oz_acc1,1769491634,5773,"Картридж 070 для принтеров Canon i-SENSYS MF461dw, LBP243dw,",от 2000 до 5000,12.0,36,113.7,34.1,6,18923
oz_acc2,1875267649,4837KE51PHB8,"Картридж DS 3ED71A для принтеров HP DesignJet Studio, DJ Stu",Все,8.0,18,51.3,28.1,3,18892
oz_acc1,1011524372,4825,Фотобарабаны A7U40RD-A7U40TD для принтеров Konica Minolta Bi,от 10000 до 500 тыс,12.0,36,669.3,27.6,1,18846
oz_acc1,3735014796,6454,"Чернила GI-46 для принтеров Canon MAXIFY GX5040, GX6040, GX7",Эксперимент1,8.0,24,87.6,31.0,5,18641
oz_acc2,2876373446,5896RD7L5NFD,Картридж DS PFI-031M для принтеров Canon imagePROGRAF TM-240,Все,9.0,27,201.0,26.7,2,18636
oz_acc1,864225254,0996,"Картриджи 44469809-44469714 для принтеров OKI C310dn, c310n,",от 5000 до 10000,12.0,28,80.7,29.9,3,18589
oz_acc2,1916292610,5437P5J5ST3I,"Картридж DS 006R01831 для принтеров Xerox VersaLink C7120, V",Все,8.0,24,97.2,27.3,2,18396
oz_acc1,1155649322,0777,"Картридж CE740A для принтеров HP и LaserJet CP5220, LJ-CP522",от 5000 до 10000,12.0,36,240.6,30.6,2,18206
oz_acc2,1885397827,2543YMEESXZ6,Картридж DS A0DK252 для принтеров Konica Minolta Magicolor 4,Все,8.0,24,188.6,25.8,1,18156
oz_acc1,2226424621,0305,"Картридж 45 для принтеров HP DesignJet 750, Copier 110/120, ",Эксперимент1,9.0,26,73.4,33.0,3,18072
oz_acc1,874373550,4517,Картриджи 841853 - 841856 для принтеров Ricoh Aficio MP C450,от 10000 до 500 тыс,12.0,36,383.2,27.6,1,18054
oz_acc1,1261506552,4719,"Фотобарабан 108R01121 M DU для принтеров Xerox Phaser 6600, ",Эксперимент1,8.0,24,144.4,26.4,1,18002
oz_acc1,1165086382,2396,Фотобарабан CF359A для принтеров HP Color LaserJet Enterpris,от 10000 до 500 тыс,12.0,36,333.7,25.5,1,17970
