nm_id;advert_id;цвет;ставка_₽;новая_₽;маржа_live_%;ДРР_факт_%;ДРР_допустимый_%;показы;клики;расход_₽;выручка_₽;рекл_заказы;орг_заказы;орг_корзина;орг_открытий;орг_позиция
262192245;35408957;🟤 бордовый;13.19;7.30;45.5;;20.5;90;2;25.18;0.00;0;0;0;2;15
181095434;35697812;🟤 бордовый;13.19;7.30;39.2;;14.2;74;2;25.18;0.00;0;0;0;3;6
964396617;36879025;🟤 бордовый;13.19;7.30;32.4;;7.4;65;2;25.18;0.00;0;0;0;1;10
209761556;35705358;🟤 бордовый;13.19;7.30;27.3;;2.3;62;2;25.18;0.00;0;0;0;2;24
181116150;35697812;🟤 бордовый;12.93;7.30;41.6;;16.6;33;2;24.68;0.00;0;0;0;2;2
181114718;35700300;🟤 бордовый;13.19;7.30;23.1;;0.0;40;2;23.98;0.00;0;0;0;3;5
967325970;36873563;🔴 красный (ДРР выше своего порога);13.19;11.87;27.8;4.2;2.8;50;2;23.98;569.00;1;1;1;3;19
200166377;39087266;🟤 бордовый;13.19;7.30;22.7;;0.0;90;2;23.98;0.00;0;0;0;3;5
263821903;35698099;🟤 бордовый;13.19;7.30;34.5;;9.5;101;2;23.98;0.00;0;0;0;2;43
192567251;35698453;🟤 бордовый;13.19;7.30;42.9;;17.9;30;2;23.98;0.00;0;0;0;4;3
261996782;35698159;🟤 бордовый;13.19;7.30;28.4;;3.4;6;2;23.98;0.00;0;0;0;2;13
209655401;35699209;🟤 бордовый;13.19;7.30;28.2;;3.2;10;2;23.98;0.00;0;0;0;6;3
216355960;35699209;🟤 бордовый;12.93;7.30;34.3;;9.3;40;2;23.50;0.00;0;0;0;2;2
270394778;35282981;🟤 бордовый;12.93;7.30;38.4;;13.4;41;2;23.50;0.00;0;0;0;3;4
216401212;35700718;🟤 бордовый;12.93;7.30;25.7;;0.7;61;2;23.50;0.00;0;0;0;2;7
263819889;35699064;🟤 бордовый;12.93;7.30;38.8;;13.8;43;2;23.50;0.00;0;0;0;3;10
859991118;35698099;🟤 бордовый;13.19;7.30;31.8;;6.8;64;2;21.80;0.00;0;0;0;2;1
261996690;35699026;🔴 красный (ДРР выше своего порога);10.90;9.81;15.3;1.1;0.0;72;2;18.20;1637.00;1;1;1;1;5
199335387;35699129;🟤 бордовый;15.64;7.30;34.1;;9.1;18;1;15.64;0.00;0;0;0;4;3
264243248;35699064;🟤 бордовый;13.19;7.30;39.8;;14.8;30;1;13.19;0.00;0;0;0;1;6
199334841;35699129;🟤 бордовый;13.19;7.30;18.2;;0.0;55;1;13.19;0.00;0;0;0;4;7
260810197;35698453;🟤 бордовый;13.19;7.30;16.6;;0.0;46;1;13.19;0.00;0;0;0;1;11
294145463;35699129;🟤 бордовый;13.19;7.30;27.2;;2.2;17;1;13.19;0.00;0;0;0;0;
199330823;35281617;🟤 бордовый;13.19;7.30;29.5;;4.5;82;1;13.19;0.00;0;0;0;1;3
199334849;35705358;🟤 бордовый;13.19;7.30;31.6;;6.6;16;1;13.19;0.00;0;0;0;0;
209714713;35703851;🟤 бордовый;13.19;7.30;31.3;;6.3;11;1;13.19;0.00;0;0;0;0;
948409587;36879025;🟤 бордовый;13.19;7.30;41.9;;16.9;50;1;13.19;0.00;0;0;0;5;35
267893136;35697852;🟤 бордовый;13.19;7.30;37.8;;12.8;44;1;13.19;0.00;0;0;0;1;7
964389242;36873563;🟤 бордовый;13.19;7.30;27.8;;2.8;46;1;13.19;0.00;0;0;0;1;2
1004338488;36873660;🟤 бордовый;13.19;7.30;24.4;;0.0;22;1;13.19;0.00;0;0;0;0;
1003381839;36873788;🟤 бордовый;13.19;7.30;29.4;;4.4;146;1;13.19;0.00;0;0;0;1;29
199566488;35697951;🟤 бордовый;13.19;7.30;35.0;;10.0;16;1;13.19;0.00;0;0;0;0;
967515977;36873622;🟤 бордовый;13.19;7.30;30.9;;5.9;57;1;13.19;0.00;0;0;0;2;15
192228121;35699026;🟤 бордовый;13.19;7.30;33.2;;8.2;24;1;13.19;0.00;0;0;0;1;24
262192306;35698099;🟤 бордовый;13.19;7.30;42.1;;17.1;69;1;13.19;0.00;0;0;0;1;5
