nm_id;vendor_code;price_2508;price_0709;margin_2508;margin_0709;discount_pct;net_per_unit;qty_sep;qty_aug;revenue_sep;loss_sep;snaps;neg_snaps;in_ads;cpc
323250990;4646HFB2VR6N;9035.0;4336.0;30.89;-1.66;64.0;-91.03;0;0;0;0.0;14;1;0;
879604705;079211A8TD79;1044.0;1151.0;-6.03;-6.86;61.0;-89.61;0;0;0;0.0;14;6;0;
867087038;13674ZCGN590;1083.0;1191.0;-6.58;-6.58;62.0;-88.96;0;0;0;0.0;14;2;0;
324979913;1171M9SSVJIL;1042.0;1024.0;1.42;-7.66;59.0;-88.96;0;2;0;0.0;14;1;0;
867085139;13672ZS9W1Y6;1083.0;1191.0;-6.58;-6.58;62.0;-88.96;0;0;0;0.0;14;2;0;
324981351;2175DSYBZ461;614.0;690.0;-11.72;-11.32;28.0;-88.59;0;0;0;0.0;14;3;0;
313194064;0867JF0AY4AA;1579.0;1460.0;-4.45;-5.2;63.0;-88.13;0;0;0;0.0;14;12;0;
323269945;0525EJZT58ZI;707.0;776.0;-10.66;-9.94;46.0;-87.52;0;0;0;0.0;14;2;0;
323246179;3363TCSJT20X;1692.0;1692.0;-3.64;-4.35;62.0;-87.51;0;0;0;0.0;14;12;0;
878126065;05341BETOLRJ;1470.0;900.0;16.59;-8.52;54.0;-87.04;0;0;0;0.0;14;1;0;
861651065;056817KGZWO8;2415.0;1285.0;27.19;-5.88;62.0;-85.72;0;0;0;0.0;14;1;0;
861653404;056819U8E6TJ;2415.0;1285.0;27.19;-5.88;62.0;-85.72;0;0;0;0.0;14;1;0;
861628374;05681YQ1VM3O;2415.0;1285.0;27.19;-5.88;62.0;-85.72;0;0;0;0.0;14;1;0;
861629642;05682TB0YC80;2415.0;1285.0;27.19;-5.88;62.0;-85.72;0;0;0;0.0;14;1;0;
861648742;056815D6KZOS;2415.0;1285.0;27.19;-5.88;62.0;-85.72;0;0;0;0.0;14;1;0;
861649892;056816KGUAPF;2415.0;1285.0;27.19;-5.88;62.0;-85.72;0;0;0;0.0;14;1;0;
861652550;056818HUBCPQ;2415.0;1285.0;27.19;-5.88;62.0;-85.72;0;0;0;0.0;14;1;0;
861630997;05683J67JZ3X;2415.0;1285.0;27.19;-5.88;62.0;-85.72;0;0;0;0.0;14;1;0;
861632326;05684XTGZ6JJ;2415.0;1285.0;27.19;-5.88;62.0;-85.72;0;0;0;0.0;14;1;0;
861633812;05685I82FDCV;2415.0;1285.0;27.19;-5.88;62.0;-85.72;0;0;0;0.0;14;1;0;
861635151;05686WACWWIA;2415.0;1285.0;27.19;-5.88;62.0;-85.72;0;0;0;0.0;14;1;0;
861636956;05687USYYCIJ;2415.0;1285.0;27.19;-5.88;62.0;-85.72;0;0;0;0.0;14;1;0;
861638408;05688XYI5Y7Q;2415.0;1285.0;27.19;-5.88;62.0;-85.72;0;0;0;0.0;14;1;0;
861639587;05689WY43NXM;2415.0;1285.0;27.19;-5.88;62.0;-85.72;0;0;0;0.0;14;1;0;
861642356;056810K5V3GS;2415.0;1285.0;27.19;-5.88;62.0;-85.72;0;0;0;0.0;14;1;0;
861643891;056811EI8YLZ;2415.0;1285.0;27.19;-5.88;62.0;-85.72;0;0;0;0.0;14;1;0;
861645158;056812ABOXEK;2415.0;1285.0;27.19;-5.88;62.0;-85.72;0;0;0;0.0;14;1;0;
861646428;056813SL5QOG;2415.0;1285.0;27.19;-5.88;62.0;-85.72;0;0;0;0.0;14;1;0;
861647474;056814C1RQFE;2415.0;1285.0;27.19;-5.88;62.0;-85.72;0;0;0;0.0;14;1;0;
313216138;0866PS2AS4D7;1116.0;1288.0;-6.58;-5.82;62.0;-84.94;0;0;0;0.0;14;2;0;
323244920;1184OKRM3ZXY;1688.0;847.0;24.06;-8.82;49.0;-84.65;0;0;0;0.0;14;1;0;
323085938;0003BMRG3NW8;5416.0;4966.0;4.1;-1.33;55.0;-83.48;0;0;0;0.0;14;1;0;
323171868;3882SQKDLJ4V;7062.0;6633.0;2.56;-0.98;63.0;-81.63;0;0;0;0.0;14;2;0;
323171889;3883ISLBNT85;6991.0;6567.0;2.56;-0.98;63.0;-81.63;0;0;0;0.0;14;2;0;
323264963;5110XCQQIC23;4100.0;4979.0;6.87;-1.3;64.0;-81.55;0;0;0;0.0;14;1;0;
862463113;08652FLDN5UK;2783.0;1386.0;28.98;-5.01;64.0;-80.51;0;0;0;0.0;14;2;0;
323363637;5628U2EODKKF;3431.0;2265.0;18.45;-2.96;67.0;-79.63;0;0;0;0.0;14;2;0;
883401318;23122L84OPWY;2296.0;2093.0;20.29;-3.18;70.0;-78.96;0;0;0;0.0;14;1;0;
883414150;23129NNBVXT2;2296.0;2093.0;20.29;-3.18;70.0;-78.96;0;0;0;0.0;14;1;0;
883413591;23128PCMPT1W;2296.0;2093.0;20.29;-3.18;70.0;-78.96;0;0;0;0.0;14;1;0;
