тир;подтверждение;кабинет;артикул;nmID;тип;тек_ВБ_ДхШхВ;тек_объём_л;нов_ДхШхВ;нов_объём_л;занижение_раз;дельта_л;источник;название
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;7099;1283568266;мать;7x7x20;0.98;30x10x12;3.6;3.67;2.62;rapid(согл.3);Тонер CF230X для Canon i-SENSYS LBP162dw черный
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Дисквэр;7099Y9GF1CEO;1283568451;ребёнок;7x7x20;0.98;30x10x12;3.6;3.67;2.62;rapid(согл.3);Тонер DS CF230X для Canon i-SENSYS LBP162dw черный
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;7094;1283561398;мать;7x7x21;1.03;12x10x30;3.6;3.5;2.57;solutionsprint(согл.3);Тонер CE285A для HP LJ Pro M1132, LJ Pro M1136 черный
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Дисквэр;7094J1FGCN9M;1283561610;ребёнок;7x7x21;1.03;12x10x30;3.6;3.5;2.57;solutionsprint(согл.3);Тонер DS CE285A для HP LJ Pro M1132, LJ Pro M1136 черный
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;7100;1283842885;мать;7x7x20;0.98;31x10x10;3.1;3.16;2.12;изи(согл.3);Тонер CF244A для HP LJ Pro M15, LJ Pro M16 черный
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Дисквэр;7100DN73YN3G;1283843266;ребёнок;7x7x20;0.98;31x10x10;3.1;3.16;2.12;изи(согл.3);Тонер DS CF244A для HP LJ Pro M15, LJ Pro M16 черный
A1. ядро волны 1: подтверждён ≥2 источниками;веб-оригинал;Цифровой квадрат;3988;209729683;мать;10x10x8;0.8;32.4104x11.9888x6.4008;2.49;3.11;1.69;веб-оригинал;Картридж CE043A для HP DJ Z6200, DJ Z6600 фото-черный
A1. ядро волны 1: подтверждён ≥2 источниками;веб-оригинал;Дисквэр;3988SIZECOYC;323224919;ребёнок;10x10x8;0.8;32.4104x11.9888x6.4008;2.49;3.11;1.69;наследование от 3988 (веб-оригинал);Картридж DS CE043A для HP DJ Z6200, DJ Z6600 фото-черный
A1. ядро волны 1: подтверждён ≥2 источниками;веб-оригинал;Цифровой квадрат;3989;209729703;мать;10x10x8;0.8;32.4x12x6.4;2.49;3.11;1.69;веб-оригинал;Картридж CE041A для HP DJ Z6200, DJ Z6800 светло-пурпурный
A1. ядро волны 1: подтверждён ≥2 источниками;веб-оригинал;Дисквэр;3989YBNKKZBH;323222757;ребёнок;10x10x8;0.8;32.4x12x6.4;2.49;3.11;1.69;наследование от 3989 (веб-оригинал);Картридж DS CE041A для HP DJ Z6200 светло-пурпурный
A1. ядро волны 1: подтверждён ≥2 источниками;веб-оригинал;Цифровой квадрат;4015;780439346;мать;10x10x8;0.8;32.4x12x6.4;2.49;3.11;1.69;веб-оригинал;Картридж CN710A для HP DJ L26500, DJ LX260 светло-пурпурный
A1. ядро волны 1: подтверждён ≥2 источниками;веб-оригинал;Дисквэр;4015W4EQ9HQL;780439324;ребёнок;10x10x8;0.8;32.4x12x6.4;2.49;3.11;1.69;наследование от 4015 (веб-оригинал);Картридж DS CN710A для HP DJ L26500 светло-пурпурный
