sku,группа,действия,связок,применено_связок,действие_применено,нет_baseline,нет_карточки,нет_остатка,в_обеих_группах,в_оценке_ITT
1883147583,treatment,remove,2,2,1,0,0,1,0,1
1883147602,treatment,remove,1,1,1,0,0,1,0,1
1883147839,treatment,remove,1,1,1,0,0,1,0,1
1883148214,treatment,remove,1,1,1,0,0,1,0,1
1883148277,treatment,remove,1,1,1,0,0,1,0,1
1883148372,treatment,remove,1,1,1,0,0,1,0,1
1883148419,treatment,remove,1,1,1,0,0,1,0,1
1883148432,control,e2_control,2,0,по_замыслу_нет,0,0,1,0,1
1883148838,treatment,bid_down,1,0,0,0,0,1,0,1
1883148872,treatment,remove,2,2,1,0,0,1,0,1
1883148944,treatment,remove,1,1,1,0,0,1,0,1
1883149300,control,e2_control,1,0,по_замыслу_нет,0,0,1,0,1
1883149375,treatment,remove,1,1,1,0,0,1,0,1
1883149447,treatment,remove,1,1,1,0,0,1,0,1
1883149888,treatment,remove,1,1,1,0,0,1,0,1
1883150157,control,e2_control,2,0,по_замыслу_нет,0,0,1,0,1
1883150321,treatment,bid_down,1,0,0,0,0,1,0,1
1883150614,treatment,remove,1,1,1,0,0,1,0,1
1883150630,treatment,remove,2,2,1,0,0,1,0,1
1883150649,treatment,bid_down,2,2,1,0,0,1,0,1
1883150746,control,e2_control,2,0,по_замыслу_нет,0,0,1,0,1
1883150751,treatment,bid_down,1,0,0,0,0,1,0,1
1883150903,treatment,remove,1,1,1,0,0,1,0,1
1883151077,treatment,remove,2,2,1,0,0,1,0,1
1883151337,treatment,remove,1,1,1,0,0,1,0,1
1883151389,treatment,remove,2,2,1,0,0,1,0,1
1883151755,treatment,remove,1,1,1,0,0,1,0,1
1883152157,treatment,remove,2,2,1,0,0,1,0,1
1883152363,treatment,remove,2,2,1,0,0,1,0,1
1883152492,treatment,remove,2,2,1,0,0,1,0,1
1883152628,treatment,remove,2,2,1,0,0,1,0,1
1883152786,control,e2_control,1,0,по_замыслу_нет,0,0,1,0,1
1883152817,treatment,remove,1,1,1,0,0,1,0,1
1883152929,treatment,remove,2,2,1,0,0,1,0,1
1883153220,treatment,remove,2,2,1,0,0,1,0,1
1883153653,treatment,remove,1,1,1,0,0,1,0,1
1883153761,treatment,remove,2,2,1,0,0,1,0,1
1883153863,treatment,remove,1,1,1,0,0,1,0,1
1883154148,treatment,remove,1,1,1,0,0,1,0,1
1883154245,treatment,bid_down,1,0,0,0,0,1,0,1
1883154354,treatment,bid_down,1,0,0,0,0,1,0,1
1883154390,treatment,remove,1,1,1,0,0,1,0,1
1883154715,treatment,remove,1,1,1,0,0,1,0,1
1883155175,treatment,remove,1,1,1,0,0,1,0,1
1883155401,treatment,remove,1,1,1,0,0,1,0,1
1883155699,treatment,remove,1,1,1,0,0,1,0,1
1883155801,treatment,bid_down,1,0,0,0,0,1,0,1
1883155943,treatment,remove,1,1,1,0,0,1,0,1
1883156018,treatment,remove,1,1,1,0,0,1,0,1
1883156230,treatment,remove,1,1,1,0,0,1,0,1
1883156606,treatment,remove,1,1,1,0,0,1,0,1
1883157093,treatment,remove,1,1,1,0,0,1,0,1
1883157352,treatment,remove,1,1,1,0,0,1,0,1
1883157412,treatment,remove,1,1,1,0,0,1,0,1
1883157578,treatment,remove,2,2,1,0,0,1,0,1
1883157811,treatment,remove,2,2,1,0,0,1,0,1
