класс;объём_л;ДхШхВ;nmID;артикул;тип;источник;ссылка/файл
>60 л — почти наверняка мастер-короб;67.5;30.0x45.0x50.0;1208522080;7074;мать;наш-озон;ozon_dims|offer_id=7074
>60 л — почти наверняка мастер-короб;67.5;30.0x45.0x50.0;1208520885;7071;мать;наш-озон;ozon_dims|offer_id=7071
>60 л — почти наверняка мастер-короб;64.8;27.0x48.0x50.0;257945522;4489;набор;набор:согласовано;"компоненты:W2010X=50x13.5x24(cactus(согл.2)); W2011X=50x13.5x24(cactus(согл.2)); W2012X=50x13.5x24(cactus(согл.2)); W201"
>60 л — почти наверняка мастер-короб;64.8;27.0x48.0x50.0;199335551;4757;набор;набор:согласовано;"компоненты:W2010A=50x13.5x24(cactus(согл.2)); W2011A=50x13.5x24(cactus(согл.2)); W2012A=50x13.5x24(cactus(согл.2)); W201"
>60 л — почти наверняка мастер-короб;64.8;27.0x48.0x50.0;323349309;4489EMZR675Q;набор;набор:согласовано;"компоненты:W2010X=50x13.5x24(cactus(согл.2)); W2011X=50x13.5x24(cactus(согл.2)); W2012X=50x13.5x24(cactus(согл.2)); W201"
>60 л — почти наверняка мастер-короб;64.8;27.0x48.0x50.0;435042659;4757M05WUWFF;набор;набор:согласовано;"компоненты:W2010A=50x13.5x24(cactus(согл.2)); W2011A=50x13.5x24(cactus(согл.2)); W2012A=50x13.5x24(cactus(согл.2)); W201"
>60 л — почти наверняка мастер-короб;63.7;41.5x37.0x41.5;261147277;5156;мать;поставщик;rapid|BM5100FDW
>60 л — почти наверняка мастер-короб;63.7;41.5x37.0x41.5;967507500;51562;ребёнок;наследование от 5156 (поставщик);rapid|BM5100FDW
>60 л — почти наверняка мастер-короб;63.7;41.5x37.0x41.5;1003597586;51561AAE72A3;ребёнок;наследование от 5156 (поставщик);rapid|BM5100FDW
>60 л — почти наверняка мастер-короб;63.7;41.5x37.0x41.5;1003597709;51562P6XGL45;ребёнок;наследование от 5156 (поставщик);rapid|BM5100FDW
>60 л — почти наверняка мастер-короб;63.7;41.5x37.0x41.5;324992392;5156WMIR0KMD;ребёнок;наследование от 5156 (поставщик);rapid|BM5100FDW
>60 л — почти наверняка мастер-короб;63.7;41.5x37.0x41.5;967507447;51561;ребёнок;наследование от 5156 (поставщик);rapid|BM5100FDW
>60 л — почти наверняка мастер-короб;63.7;41.5x37.0x41.5;257941145;5159;мать;поставщик;rapid|BM5100FDW
