аккаунт,отгрузка,дата,штук_отгружено,штук_вернулось,себест_отгрузки_₽,сторно_МС_₽,статус,статус_сырьё
oz_acc1,0129251554-0014-1,2025-11-17,8.0,4.0,2226.14,0.0,return_stock,
oz_acc1,71247139-0016-1,2025-11-17,17.0,4.0,2497.56,0.0,return_ozon,
oz_acc1,33026199-0339-1,2025-11-17,3.0,1.0,961.31,0.0,return_defect,
oz_acc2,0211198727-0016-5,2025-11-14,4.0,1.0,68.75,0.0,return_stock,
oz_acc1,16339739-0627-1,2025-11-14,3.0,1.0,134.12,0.0,return_stock,
oz_acc1,25323918-0109-1,2025-11-13,10.0,4.0,3743.39,0.0,return_ozon,
oz_acc2,0206707348-0043-1,2025-11-13,4.0,1.0,99.0,0.0,return_ozon,
oz_acc1,44915503-0047-1,2025-11-13,13.0,4.0,462.93,0.0,return_ozon,
oz_acc1,06501465-0253-1,2025-11-13,5.0,1.0,852.48,0.0,return_defect,
oz_acc1,18062048-0129-1,2025-11-13,4.0,3.0,3271.24,0.0,return_ozon,
oz_acc1,81713151-0234-1,2025-11-13,7.0,4.0,2795.9,0.0,return_ozon,
oz_acc1,57308342-0081-1,2025-11-13,8.0,2.0,1789.23,0.0,return_stock,
oz_acc2,0215830197-0005-2,2025-11-12,2.0,1.0,215.24,0.0,return_ozon,
oz_acc1,78158429-0074-6,2025-11-12,4.0,2.0,1437.1,0.0,return_ozon,
oz_acc1,34385924-0141-1,2025-11-12,2.0,1.0,1924.0,0.0,return_ozon,
oz_acc1,49622333-0205-1,2025-11-11,5.0,1.0,291.2,0.0,return_stock,
oz_acc1,0138886922-0506-1,2025-11-11,2.0,1.0,612.41,0.0,return_defect,
oz_acc1,44431293-0542-1,2025-11-10,4.0,2.0,965.54,0.0,return_ozon,
oz_acc1,30969418-0178-1,2025-11-08,4.0,1.0,511.49,0.0,return_stock,
oz_acc1,37973407-0095-2,2025-11-08,9.0,4.0,1167.76,0.0,return_stock,
oz_acc1,73169345-0253-1,2025-11-07,4.0,1.0,580.14,0.0,return_ozon,
oz_acc1,0216698793-0004-1,2025-11-07,5.0,1.0,778.82,0.0,return_ozon,
oz_acc1,64964881-0217-1,2025-11-07,8.0,1.0,852.48,0.0,return_ozon,
oz_acc1,89016993-0123-1,2025-11-07,7.0,4.0,2416.0,0.0,return_ozon,
oz_acc1,0224763461-0001-2,2025-11-07,12.0,2.0,3006.41,0.0,return_stock,
oz_acc1,04303833-0200-1,2025-11-07,8.0,1.0,852.48,0.0,return_defect,
oz_acc1,0190896389-0143-1,2025-11-06,9.0,1.0,324.08,0.0,return_ozon,
oz_acc1,89327455-0250-1,2025-11-06,12.0,4.0,288.68,0.0,return_ozon,
oz_acc1,02932602-0489-1,2025-11-06,4.0,1.0,522.28,0.0,return_ozon,
oz_acc1,04587282-0358-1,2025-11-06,17.0,4.0,4612.82,0.0,return_stock,
oz_acc1,0136855049-0031-1,2025-11-06,9.0,4.0,295.62,0.0,return_ozon,
oz_acc1,15162596-0315-2,2025-11-05,2.0,1.0,579.04,0.0,return_stock,
oz_acc2,11099790-0345-1,2025-11-05,2.0,1.0,435.05,0.0,return_ozon,
oz_acc1,0190896389-0141-3,2025-11-02,3.0,1.0,284.35,0.0,return_ozon,
oz_acc1,43182873-0524-1,2025-11-02,3.0,1.0,186.76,0.0,return_stock,
oz_acc1,57732543-0110-1,2025-11-02,2.0,1.0,528.01,0.0,return_stock,
oz_acc1,0185941962-0066-1,2025-11-01,6.0,1.0,280.8,0.0,return_ozon,
