snapshot_date,campaign_id,campaign_title,sku,offer_id,name,bid,ad_spend_window,ad_clicks,rev90
2026-08-18,13424726,Все,1885383491,5274V61MB7T1,Картридж DS 478XL для принтеров Epson Expression XP 15000 красный,8.0,19.98,2.0,0.0
2026-08-18,13424726,Все,1885383745,2604PM1VIOWV,"Картридж DS T2613 для принтеров Epson Expression XP-600, XP 605, XP700, XP-710, XP800, XP 820 пурпурный",8.0,27.71,4.0,0.0
2026-08-18,13424726,Все,1885383753,1195GL1WIF22,Картридж DS CF301A для принтеров HP Color LJ Flow M880z голубой,8.0,6.86,1.0,0.0
2026-08-18,13424726,Все,1885383763,2590X4PM8C8K,"Картридж DS T0604 для принтеров Epson Stylus C68, Stylus C88 желтый",8.0,22.16,3.0,0.0
2026-08-18,13424726,Все,1885383829,2154VVGJOFMJ,"Картридж DS CF542A для принтеров HP LaserJet Pro Color M254dw, LJ Pro Color M280nw желтый",8.0,7.39,1.0,0.0
2026-08-18,19250899,от 0 до 3000,1885384364,4168YD440X44,"Картридж DS W1360A для принтеров HP LaserJet M211 D, LJ M236D черный",12.0,7.18,1.0,0.0
2026-08-18,13424726,Все,1885384364,4168YD440X44,"Картридж DS W1360A для принтеров HP LaserJet M211 D, LJ M236D черный",8.0,7.18,1.0,0.0
2026-08-18,13424726,Все,1885384443,3444QUFZEOD9,"Картридж DS W2071A для принтеров HP Color Laser 150a, HP Color Laser 150nw голубой",8.0,15.4,2.0,0.0
2026-08-18,13424726,Все,1885384695,4206OCZXBXGF,"Картридж DS W2072A для принтеров HP Color Laser 150a, HP Color Laser 150nw желтый",8.0,7.37,1.0,0.0
2026-08-18,13425039,5000-10000,1885384881,0777F7JEQXNU,"Картридж DS CE740A для принтеров HP LaserJet CP5220, LJ-CP5225 черный",12.0,26.2,3.0,0.0
2026-08-18,13424726,Все,1885384881,0777F7JEQXNU,"Картридж DS CE740A для принтеров HP LaserJet CP5220, LJ-CP5225 черный",8.0,26.2,3.0,0.0
2026-08-18,19250899,от 0 до 3000,1885385120,3663Z1REAC38,"Фотобарабан DS W1332A для принтеров HP Laser 408 dn, Laser 432 fdn черный",12.0,15.13,2.0,0.0
2026-08-18,13424726,Все,1885385120,3663Z1REAC38,"Фотобарабан DS W1332A для принтеров HP Laser 408 dn, Laser 432 fdn черный",8.0,15.13,2.0,0.0
2026-08-18,13424726,Все,1885385286,0892WAGJB7QR,"Картридж DS CZ192A для принтеров HP LaserJet Pro M435, LJ Pro M701 черный",8.0,16.83,2.0,0.0
2026-08-18,13424726,Все,1885385467,2398KUOF5LT4,"Фотобарабан DS CF365M DU для принтеров HP Color LaserJet Enterprise Flow M880z+, M880z+ NFC/Wireless Direct, LJ M855dn, LJM855x+, LJ-M855xh пурпурный",8.0,5.41,1.0,0.0
2026-08-18,19250899,от 0 до 3000,1885385539,2967E6PLL31O,"Картридж DS CF294X для принтеров HP LaserJet Pro M118dw, LJ Pro M148dw черный",12.0,7.37,1.0,0.0
2026-08-18,13424726,Все,1885385539,2967E6PLL31O,"Картридж DS CF294X для принтеров HP LaserJet Pro M118dw, LJ Pro M148dw черный",8.0,7.37,1.0,0.0
2026-08-18,19250899,от 0 до 3000,1885385792,2966F74ZZQWE,"Картридж DS CF294A для принтеров HP LaserJet Pro M118dw, LJ Pro M148dw черный",12.0,14.49,2.0,0.0
2026-08-18,13424726,Все,1885385792,2966F74ZZQWE,"Картридж DS CF294A для принтеров HP LaserJet Pro M118dw, LJ Pro M148dw черный",8.0,14.49,2.0,0.0
2026-08-18,13424726,Все,1885385872,3609CNKISWKJ,"Картридж DS C4127A для принтеров HP LaserJet 4000, LJ 4050 черный",8.0,7.21,1.0,0.0
2026-08-18,13424726,Все,1885386018,4281VAEZ9Q0N,"Картридж DS W2213A для принтеров HP LJ Pro Color M255 dw, LJ Pro Color M282 пурпурный",8.0,7.49,1.0,0.0
2026-08-18,13424726,Все,1885386249,4213BHUZPFRF,"Картридж DS W2210X для принтеров HP LaserJet Pro Color M282 nw, LJ Pro Color M283 fdw черный",8.0,6.93,1.0,0.0
2026-08-18,13424726,Все,1885386850,0893UB6GODGF,"Картридж DS CF325X для принтеров HP LaserJet M806DN M806DN, M830z, LJ-M806X, LJM806X+ черный",8.0,14.93,1.0,0.0
2026-08-18,13424726,Все,1885387708,1200TIG38QWJ,"Картридж DS C9700A для принтеров HP Color LaserJet 1500, LJ 2500n черный",8.0,7.24,1.0,0.0
2026-08-18,13424726,Все,1885387952,3155G8AG8U4K,"Картридж DS CE260A для принтеров HP Color LaserJet CP4020, LJ-CP4025, LJCP4520, LJ CP4525, LJ CM4540 черный",8.0,7.18,1.0,0.0
2026-08-18,13424726,Все,1885388804,1581XGOLFDYJ,"Картридж DS Q6460A для принтеров HP Color LaserJet 4730, LJ CM4730 черный",8.0,36.41,4.0,0.0
2026-08-18,13424726,Все,1885388867,3769EPO36FFY,"Картридж DS W2072X для принтеров HP Color Laser 150a, HP Color Laser 150nw желтый",8.0,7.49,1.0,0.0
2026-08-18,13424726,Все,1885389139,3814KHMK7XH6,"Картридж DS W2123X для принтеров HP Color LJ M554 dn, LJ M555 dn пурпурный",8.0,6.69,1.0,0.0
2026-08-18,13424726,Все,1885389167,3084GWXQ0KNS,"Картридж DS 903XL для принтеров HP OfficeJet 6950, OfficeJet Pro 6960 голубой",8.0,8.49,1.0,0.0
