sku,offer_id,name,campaign,bid_now,qty_180d,revenue_180d,qty_90d,ad_spend_july,ad_revenue_july,organic_pct,ceiling,margin_pct,bid_new,group
930623630,3216,"Картриджи TN-421 для принтеров Brother DCP-L8410CDW, HL-L826",Эксперимент1,8.8,22,150497,14,130,32615,21.0,191.6,29.7,26,A. реклама тянет
874374172,4289,Фотобарабан 108R01148 DU для принтеров Xerox Phaser 7100 цве,Эксперимент1,8.8,10,149248,3,28,0,100.0,393.2,26.5,26,B. продаёт сама
870872374,2280,Картриджи CF530A-CF533A для принтеров hp color laserjet pro ,Вне РК — спрос без рекламы (08.08),15.0,19,148886,10,0,0,100.0,104.9,28.6,37,B. продаёт сама
873313112,3641,"Фотобарабан CF257A для принтеров HP LaserJet M433, LJ M436 ч",от 10000 до 500 тыс,14.3,9,147313,5,113,19150,45.0,606.9,39.2,43,A. реклама тянет
864225280,0898,"Картриджи 655 для принтеров HP DeskJet Ink Advantage 4625, D",Эксперимент1,8.8,69,144136,23,572,5334,43.0,83.0,35.2,26,A. реклама тянет
930623521,2286,Картриджи 106R01634-106r01631 для принтеров Xerox Phaser 600,Вне РК — спрос без рекламы (08.08),15.0,39,143816,3,0,0,,66.5,31.8,23,C. в июле не продавалась
930608530,2305,"Картриджи 046H для принтеров Canon i-SENSYS LBP MF730, LBPMF",Вне РК — спрос без рекламы (08.08),15.0,12,138171,4,0,0,100.0,152.8,27.8,45,B. продаёт сама
873319974,3877,"Картриджи C250 для принтеров Ricoh M-C250FWB, P-C300W",от 10000 до 500 тыс,14.3,5,136623,4,119,0,100.0,505.8,24.8,43,B. продаёт сама
1692504266,5621,Картридж TK-5370K для принтеров Kyocera ECOSYS MA3500cifx че,Эксперимент1,11.0,38,136171,13,32,0,73.0,121.3,32.7,33,B. продаёт сама
1692504266,5621,Картридж TK-5370K для принтеров Kyocera ECOSYS MA3500cifx че,от 2000 до 5000,13.2,38,136171,13,10,4365,73.0,121.3,32.7,40,B. продаёт сама
874373881,4485,Картриджи CTL-1100XK - CTL-1100XY,Эксперимент1,8.8,11,134244,4,39,0,100.0,280.1,27.8,26,B. продаёт сама
1153912581,3909,"Картридж W2030A для принтеров HP Color LaserJet M454dn, LJ P",Эксперимент1,14.3,34,133793,18,21,0,100.0,112.8,34.7,39,B. продаёт сама
1153912581,3909,"Картридж W2030A для принтеров HP Color LaserJet M454dn, LJ P",от 2000 до 5000,22.0,34,133793,18,44,0,100.0,112.8,34.7,39,B. продаёт сама
1794242726,5725,"Картридж THM130 для принтеров Катюша M130, P130 черный",от 2000 до 5000,13.2,33,130712,32,48,127438,0.0,112.3,30.7,39,A. реклама тянет
930641678,2638,Картридж TN-324BK для принтеров Konica Minolta и Bizhub C258,от 2000 до 5000,17.6,31,127258,19,19,0,100.0,67.8,34.5,24,B. продаёт сама
930641678,2638,Картридж TN-324BK для принтеров Konica Minolta и Bizhub C258,Эксперимент1,14.3,31,127258,19,96,0,100.0,67.8,34.5,24,B. продаёт сама
2538825013,4858,Фотобарабаны 108R01481-108R01484 для принтеров Xerox VersaLi,от 10000 до 500 тыс,16.5,3,125615,1,22,0,,845.5,23.6,50,C. в июле не продавалась
1769170436,5731,"Фотобарабан DK-3180 для принтеров Kyocera EcoSys M3145idn, M",Эксперимент1,9.9,4,123919,1,9,0,,638.2,23.2,30,C. в июле не продавалась
1769170436,5731,"Фотобарабан DK-3180 для принтеров Kyocera EcoSys M3145idn, M",от 10000 до 500 тыс,14.3,4,123919,1,0,0,,638.2,23.2,43,C. в июле не продавалась
874373546,4480,"Картридж W9025MC для принтеров HP LaserJet E72425, LJ E72430",Эксперимент1,13.2,10,119309,3,8,27414,34.0,311.9,28.0,40,A. реклама тянет
863431732,0375,"Картриджи 716 для принтеров Canon i-SENSYS LBP-5050, MF-8030",Эксперимент1,8.8,16,119012,2,111,5071,0.0,52.5,29.9,18,A. реклама тянет
870872414,2266,"Картриджи TK-590 для принтеров m6026cdn, kyocera m6526cdn",Эксперимент1,8.8,12,118830,9,17,27518,0.0,431.4,37.2,26,A. реклама тянет
870872414,2266,"Картриджи TK-590 для принтеров m6026cdn, kyocera m6526cdn",от 5000 до 10000,13.2,12,118830,9,29,9138,0.0,431.4,37.2,40,A. реклама тянет
1153791300,2960,"Фотобарабан C-EXV33 DU для принтеров Canon ImageRunner 2520,",от 10000 до 500 тыс,13.2,11,115682,3,11,0,,261.0,27.8,40,C. в июле не продавалась
930626149,3118,"Картриджи LC-665XL-669XL для принтеров Brother MFC-J2320, MF",Вне РК — спрос без рекламы (08.08),15.0,33,115351,10,0,0,,82.2,32.9,29,C. в июле не продавалась
1691955831,55442,"Картридж для Brother MFC-L9570CDW (DR-421CL), DCP-L8410CDW, ",Вне РК — спрос без рекламы (08.08),15.0,7,109482,1,0,0,100.0,439.2,25.6,45,B. продаёт сама
1987412088,5626,"Картридж TK-5380K для принтеров Kyocera ECOSYS PA4000cx, MA4",Пустые РК,16.5,25,108243,18,408,27247,23.0,347.7,41.8,50,A. реклама тянет
873313014,3538,"Картриджи TN-910 для принтеров Brother HL-L9310, MFC-L9570",Эксперимент1,8.8,11,107417,2,0,0,100.0,81.7,25.2,26,B. продаёт сама
1261465655,4767,Картриджи W2120X-W2123X для принтеров HP Color LaserJet M554,от 10000 до 500 тыс,13.2,4,107229,3,28,51809,35.0,649.5,26.1,40,A. реклама тянет
1261465655,4767,Картриджи W2120X-W2123X для принтеров HP Color LaserJet M554,Эксперимент1,8.8,4,107229,3,6,0,35.0,649.5,26.1,26,A. реклама тянет
874373606,4479,Картриджи TK-8365 для принтеров Kyocera TASKalfa 2554,от 10000 до 500 тыс,15.4,9,107134,3,99,15223,0.0,295.7,24.9,46,A. реклама тянет
930629640,2364,Картриджи CF410X-CF413X для принтеров HP LJ Color Pro M377dw,Вне РК — спрос без рекламы (08.08),15.0,9,105733,5,0,0,100.0,148.1,27.8,45,B. продаёт сама
1719404446,5631,Картридж TK-5440K для принтеров Kyocera ECOSYS MA2100cfx чер,Эксперимент1,22.0,51,104770,30,527,11047,16.0,69.8,35.9,24,A. реклама тянет
1719404446,5631,Картридж TK-5440K для принтеров Kyocera ECOSYS MA2100cfx чер,от 2000 до 5000,17.6,51,104770,30,157,13679,16.0,69.8,35.9,24,A. реклама тянет
873312718,3075,"Картриджи 728XL для принтеров HP DesignJet T730, DJ T830",от 10000 до 500 тыс,13.2,3,104388,2,324,0,,636.7,26.6,40,C. в июле не продавалась
1220706685,5243,"Картриджи 069H для принтеров Canon i-SENSYS LBP-673Cdw, MF75",Эксперимент1,8.8,8,103297,5,188,0,100.0,304.6,27.9,26,B. продаёт сама
870872469,2279,Картриджи 006R01461-006R01464 для принтеров Xerox WorkCentre,от 10000 до 500 тыс,15.4,6,102830,5,124,37803,0.0,380.6,26.3,46,A. реклама тянет
870872469,2279,Картриджи 006R01461-006R01464 для принтеров Xerox WorkCentre,Эксперимент1,12.1,6,102830,5,38,16482,0.0,380.6,26.3,36,A. реклама тянет
3550138162,6547,"Картриджи 064H для принтеров Canon i-SENSYS LBP-722Cdw, MF83",Эксперимент1,8.8,5,101467,6,48,0,67.0,406.4,24.3,26,B. продаёт сама
3550138162,6547,"Картриджи 064H для принтеров Canon i-SENSYS LBP-722Cdw, MF83",от 10000 до 500 тыс,13.2,5,101467,6,178,21251,67.0,406.4,24.3,40,B. продаёт сама
930641138,0720,"Картриджи CLT-409 для принтеров Samsung CLP-310, CLP 315, CL",от 5000 до 10000,13.2,12,99934,3,360,28362,0.0,88.4,27.1,31,A. реклама тянет
930641138,0720,"Картриджи CLT-409 для принтеров Samsung CLP-310, CLP 315, CL",Эксперимент1,8.8,12,99934,3,76,0,0.0,88.4,27.1,26,A. реклама тянет
930627436,1275,"Картриджи LC569XL-LC565XL для принтеров Brother MFC-J3520, M",Эксперимент1,15.4,39,99915,17,616,10380,50.0,112.6,38.2,39,A. реклама тянет
930620073,1167,Картриджи CF400X-CF403X для принтеров HP Color LJ Pro M252dw,Эксперимент1,9.9,12,98359,2,0,0,,205.0,27.4,30,C. в июле не продавалась
874374369,4268,Картриджи 006R01701-006R01704 для принтеров Xerox AltaLink C,Вне РК — спрос без рекламы (08.08),15.0,5,96511,4,0,0,100.0,232.3,26.4,45,B. продаёт сама
930609853,0369,Картриджи CE270A-CE273A для принтеров HP Color LaserJet CP55,от 10000 до 500 тыс,13.2,3,95020,1,2,0,,764.3,23.9,40,C. в июле не продавалась
2226467736,2789,"Картриджи 45862849-45862852 для принтеров OKI MC 873, MC853",от 10000 до 500 тыс,15.4,5,92870,4,22,0,,721.7,23.4,46,C. в июле не продавалась
1719205601,3258,"Тонер TN-420X для принтеров M6700D, M6800FDW, M7100DN, M7200",от 2000 до 5000,19.8,47,92082,19,65,2159,0.0,206.1,35.6,59,A. реклама тянет
1719205601,3258,"Тонер TN-420X для принтеров M6700D, M6800FDW, M7100DN, M7200",Эксперимент1,13.2,47,92082,19,13,0,0.0,72.4,35.6,25,A. реклама тянет
3557209686,6418,Картриджи TK-5490 для принтеров Kyocera ECOSYS MA2101cfx,Эксперимент1,8.8,5,91970,3,290,0,100.0,477.4,63.5,26,B. продаёт сама
1719304223,5698,"Картридж 070H для принтеров LBP243dw, LBP246dw, MF461dw, MF4",Эксперимент1,12.1,21,91943,9,10,0,,124.8,30.4,36,C. в июле не продавалась
