внешний код;модель ТК;медиана чиповых;цена молчуна;доля;поставщик;название;остаток
2400;TK-5270BK;1294;636;0.49;"ООО ""ОДИССЕЙ"" WB";Картридж для Kyocera TK5270K  EcoSys P6230/M6230/M6630 8K ;89.0
4481;CTL-1100XK;1710;833;0.49;"ООО ""Солюшнс принт"" МСК";Картридж Sprint SP-PT-CTL-1100X Bk для Pantum совместимый;95.0
4483;CTL-1100XM;1711;833;0.49;ИП Яхин Рустам Ильфирович (Спринт);Картридж Sprint SP-PT-CTL-1100X M для Pantum совместимый;92.0
4483;CTL-1100XM;1711;833;0.49;"ООО ""Солюшнс принт"" МСК";Картридж Sprint SP-PT-CTL-1100X M для Pantum совместимый;142.0
0820;CLI-451M;207;103;0.50;ИП Капшук Наталья Сергеевна;Струйный картридж БУЛАТ 6474B001 для Canon PIXMA CLI-451XL;20.0
0917;T1291;219;109;0.50;"ООО ""КПД""(ВТТ)";Картридж Hi-Black (HB-T1291) для Epson Stylus SX230/235W/S;229.0
0918;T1292;211;109;0.51;"ООО ""КПД""(ВТТ)";Картридж Hi-Black (HB-T1292) для Epson Stylus SX230/235W/S;87.0
3032;TK-3060;1020;525;0.51;"ООО ""ТОНЕРСТОР""";Тонер-картридж Smart Graphics TK-3060 для Kyocera ECOSYS M;53.0
4050;PFI-320C;6835;3465;0.51;"ООО ""КОМПАНИЯ ФЕРРЕТ""";Картридж струйный G&G GG-PFI320C PFI-320C голуб.пигм. (300;39.0
4051;PFI-320M;6835;3465;0.51;"ООО ""КОМПАНИЯ ФЕРРЕТ""";Картридж струйный G&G GG-PFI320M PFI-320M пурп.пигм. (300м;39.0
4052;PFI-320Y;6835;3465;0.51;"ООО ""КОМПАНИЯ ФЕРРЕТ""";Картридж струйный G&G GG-PFI320Y PFI-320Y желт.пигм. (300м;60.0
4054;PFI-320MBk;6835;3465;0.51;"ООО ""КОМПАНИЯ ФЕРРЕТ""";Картридж струйный G&G GG-PFI320MBK PFI-320MBK черный матов;103.0
4482;CTL-1100XC;1638;833;0.51;"ООО ""Солюшнс принт"" МСК";Картридж Sprint SP-PT-CTL-1100X C для Pantum совместимый;6.0
4484;CTL-1100XY;1638;833;0.51;ИП Яхин Рустам Ильфирович (Спринт);Картридж Sprint SP-PT-CTL-1100X Y для Pantum совместимый;10.0
4484;CTL-1100XY;1638;833;0.51;"ООО ""Солюшнс принт"" МСК";Картридж Sprint SP-PT-CTL-1100X Y для Pantum совместимый;116.0
0185;CLI-426C;155;81;0.52;"ООО ""КОЛОРТЕК РУС""";Картридж cli-426c CT;25.0
0186;CLI-426M;155;81;0.52;"ООО ""КОЛОРТЕК РУС""";Картридж cli-426m CT;25.0
0187;CLI-426Y;155;81;0.52;"ООО ""КОЛОРТЕК РУС""";Картридж cli-426y CT;75.0
0297;T0801;203;104;0.52;"ООО ""КПД""(ВТТ)";Картридж Hi-Black (HB-T0801) для Epson Stylus Photo P50/PX;149.0
0298;T0802;159;83;0.52;"ООО ""ОДИССЕЙ""";$_СРОЧНО Картридж для Epson T0802 Stylus RX560/RX585/R285/;12.0
0298;T0802;159;83;0.52;"ООО ""ОДИССЕЙ""";СРОЧНО Картридж для Epson T0802 Stylus RX560/RX585/R285/R3;12.0
0598;LC-1100Y;198;104;0.52;"ООО ""КВК ТРЕЙД"" OEM";Картридж BROTHER LC11/LC16/LC38/LC61/LC65/LC67/LC980/LC110;15.0
0797;177C;231;120;0.52;"ООО ""КВК ТРЕЙД"" OEM";Картридж HP C8771  № 177 cyan SuperFine;99.0
0798;177M;231;120;0.52;"ООО ""КВК ТРЕЙД"" OEM";Картридж HP C8772  № 177 magenta SuperFine;100.0
0801;177LM;231;120;0.52;"ООО ""КВК ТРЕЙД"" OEM";Картридж HP C8775  № 177 light magenta SuperFine;96.0
0866;TK-4105;1528;794;0.52;"ООО ""КПД""(ВТТ)";Тонер-картридж NetProduct (N-TK-4105) для Kyocera TASKalfa;135.0
0920;T1294;208;109;0.52;"ООО ""КПД""(ВТТ)";Картридж Hi-Black (HB-T1294) для Epson Stylus SX230/235W/S;50.0
2402;TK-5270M;1134;589;0.52;"ООО ""ОДИССЕЙ"" WB";Картридж для Kyocera TK5270M  EcoSys P6230/M6230/M6630  6K;59.0
2403;TK-5270Y;1134;589;0.52;"ООО ""ОДИССЕЙ"" WB";Картридж для Kyocera TK5270Y  EcoSys P6230/M6230/M6630  6K;55.0
4159;TL-5120H;1341;696;0.52;ИП Капшук Наталья Сергеевна;Тонер-картридж БУЛАТ TL-5120H для Pantum BP, BM5100 (6000 ;300.0
0818;CLI-451BK;159;84;0.53;"ООО ""ОДИССЕЙ"" WB";Картридж для Canon CLI-451XL PIXMA iP7240/MG6340 Black AQU;123.0
0821;CLI-451Y;159;84;0.53;"ООО ""ОДИССЕЙ"" WB";Картридж для Canon CLI-451XL PIXMA iP7240/MG6340 Yellow AQ;130.0
0919;T1293;205;109;0.53;"ООО ""КПД""(ВТТ)";Картридж Hi-Black (HB-T1293) для Epson Stylus SX230/235W/S;66.0
3065;T9451 BK;1214;641;0.53;"ООО ""КОМПАНИЯ ФЕРРЕТ""";Картридж струйный G&G GG-C13T945140 T9451 черный (90мл) дл;36.0
4483;CTL-1100XM;1711;904;0.53;"ООО ""ОДИССЕЙ"" WB";Картридж для Pantum CTL-1100XM CP1100/CM1100 2.3K Magenta ;200.0
0295;T0485;145;79;0.54;"ООО ""КОЛОРТЕК РУС""";Картридж T0485 light cyan CT;6.0
0297;T0801;203;109;0.54;"ООО ""КВК ТРЕЙД"" OEM";"Картридж Epson T0801 Stylus RX560/RX585/RX685;R265/R285/R3";40.0
1233;LC985BK;180;96;0.54;"ООО ""КОМПАНИЯ РМ""";Струйный картридж LC39/985BK с чернилами на водной основе ;3.0
2136;TK-5240C;644;349;0.54;ИП Яхин Рустам Ильфирович (Спринт);Цветной тонер картридж TK-5240 C SP;57.0
2136;TK-5240C;644;349;0.54;"ООО ""Солюшнс принт"" МСК";Цветной тонер картридж TK-5240 C SP;333.0
2137;TK-5240M;644;349;0.54;ИП Яхин Рустам Ильфирович (Спринт);Цветной тонер картридж TK-5240 M SP;74.0
2137;TK-5240M;644;349;0.54;"ООО ""Солюшнс принт"" МСК";Цветной тонер картридж TK-5240 M SP;299.0
2138;TK-5240Y;642;349;0.54;"ООО ""Солюшнс принт""";Цветной тонер картридж SP-K-TK5240 Y SolutionPrint;52.0
2138;TK-5240Y;642;349;0.54;"ООО ""Солюшнс принт"" МСК";Цветной тонер картридж SP-K-TK5240 Y SolutionPrint;292.0
0595;LC-1100BK;189;104;0.55;"ООО ""КВК ТРЕЙД"" OEM";Картридж BROTHER LC11/LC16/LC38/LC61/LC65/LC67/LC980/LC110;12.0
0597;LC-1100M;189;104;0.55;"ООО ""КВК ТРЕЙД"" OEM";Картридж BROTHER LC11/LC16/LC38/LC61/LC65/LC67/LC980/LC110;21.0
0825;CF283A;571;313;0.55;"ООО ""КОМПАНИЯ ФЕРРЕТ""";Картридж лазерный Cactus CS-CF283A-6 CF283A черный (1500ст;139.0
1449;CLI-471XLM;159;87;0.55;"ООО ""ОДИССЕЙ"" WB";Картридж для Canon CLI-471XL PIXMA MG5740/6840/7740 Magent;322.0
4481;CTL-1100XK;1710;940;0.55;"ООО ""ОДИССЕЙ""";Картридж для Pantum CTL-1100XK CP1100/CM1100 3K Black AQUA;400.0
4481;CTL-1100XK;1710;940;0.55;"ООО ""ОДИССЕЙ"" WB";Картридж для Pantum CTL-1100XK CP1100/CM1100 3K Black Whit;305.0
4483;CTL-1100XM;1711;940;0.55;"ООО ""ОДИССЕЙ""";Картридж для Pantum CTL-1100XM CP1100/CM1100 2.3K Magenta ;148.0
