account,sku,offer_id,name,campaign,bid_now,ceiling,margin_pct,qty_90d,revenue_90d,reason
oz_acc2,1873182816,3660UZBYTG7W,"Картриджи DS C2500H для принтеров Ricoh IM C2500, IM-C2000",Все,8.0,256.4,24.8,0,0,маржа ниже KPI
oz_acc2,1873182884,2256HRYQGTGL,"Картриджи DS T028-T029 для принтеров Epson C60, Stylus C61, ",от 0 до 3000,11.0,9.1,26.1,0,0,ставка выше потолка
oz_acc2,1873182991,1266Z00VWQKU,"Картридж DS T0795 для принтеров Epson Stylus Photo 1400, Sty",Все,8.0,7.0,23.9,1,688,маржа ниже KPI
oz_acc2,1873183172,3458GEPZZXOU,Картриджи DS W2210A-W2213A для принтеров HP LJ Pro Color M25,Все,8.0,47.9,24.6,0,0,маржа ниже KPI
oz_acc2,1873183251,3673C1UKH4NO,Картриджи DS 106R03765-106R03768 для принтеров Xerox VersaLi,Все,8.0,256.2,24.6,0,0,маржа ниже KPI
oz_acc2,1873183385,4146MH4R9PEJ,"Картридж DS №963XL для принтеров HP OfficeJet Pro 9010, Offi",Все,8.0,29.0,13.6,3,10896,маржа ниже KPI
oz_acc2,1873183575,2247ORIX4EDN,Картриджи DS CF380A-CF383A для принтеров HP Color LaserJet P,Все,8.0,143.8,24.9,0,0,маржа ниже KPI
oz_acc2,1873183612,1265NRS98Y6R,"Картридж DS T0794 для принтеров Epson Stylus Photo 1400, Sty",Все,8.0,7.1,23.9,0,0,маржа ниже KPI
oz_acc2,1873184542,3430ZBSAEB5X,"Картриджи DS TN-213 для принтеров Brother DCP-L3550CDW, HL-L",Все,9.0,181.1,23.9,1,8570,маржа ниже KPI
oz_acc2,1873185138,4433LV8JNPQU,"Чернила DS №110 для принтеров Epson EcoTank M1100, EcoTankM1",от 0 до 3000,10.0,1.9,9.2,3,2962,маржа ниже KPI
oz_acc2,1873185278,0722NQDM51V6,Картриджи DS CLP-510 для принтеров Samsung CLP-510,Все,8.0,465.0,24.3,0,0,маржа ниже KPI
oz_acc2,1873185581,2384FZBTMA0T,"Картридж DS TN-414 для принтеров Konica Minolta Bizhub 363, ",Все,8.0,12.5,21.4,0,0,маржа ниже KPI
oz_acc2,1873185581,2384FZBTMA0T,"Картридж DS TN-414 для принтеров Konica Minolta Bizhub 363, ",от 0 до 3000,12.0,12.5,21.4,0,0,маржа ниже KPI
oz_acc2,1873185645,4372QVTL79YB,"Фотобарабан DS 013R00656 DU для принтеров Xerox DC-700, DCP-",Все,8.0,416.8,24.9,0,0,маржа ниже KPI
oz_acc2,1873186066,1233NMYRIP6S,"Картридж DS LC985BK для принтеров Brother DCP-J125, DCP J140",Все,8.0,6.5,23.1,0,0,маржа ниже KPI
oz_acc2,1873186066,1233NMYRIP6S,"Картридж DS LC985BK для принтеров Brother DCP-J125, DCP J140",от 0 до 3000,12.0,6.5,23.1,0,0,маржа ниже KPI
oz_acc2,1873186529,1218RC4PWDYX,"Картридж DS LC529XLBK для принтеров Brother DCP-J100, DCP J1",от 0 до 3000,12.0,10.4,27.0,2,1905,ставка выше потолка
