external_code;продаж_90д_acc1;продаж_90д_acc2;продаж_90д_всего;наш_объём_л;внеш_объём_л;лишних_л_на_единицу;лишних_л_за_период;наш_ДхШхВ;внеш_ДхШхВ;число_источников;карточек_wb_acc1;карточек_wb_acc2;src_file;src_locator;src_sha256
1050;0;0;0;11.1;10.134;0.966;0.0;37.0x20.0x15.0;34.5x23.5x12.5;4;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r878;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
1051;0;0;0;11.1;10.134;0.966;0.0;37.0x20.0x15.0;34.5x23.5x12.5;3;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r879;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
1052;0;0;0;11.1;10.134;0.966;0.0;37.0x20.0x15.0;34.5x23.5x12.5;4;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r880;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
1076;0;0;0;11.1;6.713;4.387;0.0;37.0x20.0x15.0;58.5x13.5x8.5;2;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r640;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1079;0;0;0;11.1;4.964;6.136;0.0;37.0x20.0x15.0;55.0x9.5x9.5;3;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3778;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1080;0;0;0;11.1;4.964;6.136;0.0;37.0x20.0x15.0;55.0x9.5x9.5;3;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3777;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1089;0;0;0;11.1;2.997;8.103;0.0;37.0x20.0x15.0;37.0x9.0x9.0;2;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r2406;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1090;0;0;0;11.1;2.997;8.103;0.0;37.0x20.0x15.0;37.0x9.0x9.0;2;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r2407;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1091;0;0;0;11.1;2.997;8.103;0.0;37.0x20.0x15.0;37.0x9.0x9.0;2;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r2408;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1097;0;0;0;11.1;4.851;6.249;0.0;37.0x20.0x15.0;31.5x14.0x11.0;3;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3733;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1098;0;0;0;11.1;4.851;6.249;0.0;37.0x20.0x15.0;31.5x14.0x11.0;3;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3734;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1100;0;0;0;11.1;2.821;8.279;0.0;37.0x20.0x15.0;31.0x13.0x7.0;2;3;3;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r346;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1101;0;0;0;11.1;2.821;8.279;0.0;37.0x20.0x15.0;31.0x13.0x7.0;3;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r345;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1102;0;0;0;11.1;2.821;8.279;0.0;37.0x20.0x15.0;31.0x13.0x7.0;3;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r344;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1103;0;0;0;11.1;2.821;8.279;0.0;37.0x20.0x15.0;31.0x13.0x7.0;3;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r343;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1138;0;0;0;11.1;4.964;6.136;0.0;37.0x20.0x15.0;55.0x9.5x9.5;3;2;2;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3771;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1139;0;0;0;11.1;4.964;6.136;0.0;37.0x20.0x15.0;55.0x9.5x9.5;3;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3772;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1140;0;0;0;11.1;4.964;6.136;0.0;37.0x20.0x15.0;55.0x9.5x9.5;3;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3773;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1141;0;0;0;11.1;4.964;6.136;0.0;37.0x20.0x15.0;55.0x9.5x9.5;3;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3774;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1158;0;0;0;11.1;3.883;7.217;0.0;37.0x20.0x15.0;33.1x11.5x10.2;3;4;5;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r1082;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
1159;0;0;0;11.1;3.872;7.228;0.0;37.0x20.0x15.0;32.0x11.0x11.0;3;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r261;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1160;0;0;0;11.1;3.877;7.223;0.0;37.0x20.0x15.0;32.7x11.4x10.4;3;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r1086;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
1161;0;0;0;11.1;3.88;7.22;0.0;37.0x20.0x15.0;32.7x11.3x10.5;3;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r1096;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
1163;0;0;0;11.1;5.056;6.044;0.0;37.0x20.0x15.0;35.0x13.5x10.7;4;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r753;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
1164;0;0;0;11.1;5.056;6.044;0.0;37.0x20.0x15.0;35.0x13.5x10.7;4;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r754;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
1165;0;0;0;11.1;5.056;6.044;0.0;37.0x20.0x15.0;35.0x13.5x10.7;3;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r185;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
1166;0;0;0;11.1;5.056;6.044;0.0;37.0x20.0x15.0;35.0x13.5x10.7;4;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r756;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
1173;0;0;0;11.1;10.134;0.966;0.0;37.0x20.0x15.0;34.5x23.5x12.5;4;3;3;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r669;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
1175;0;0;0;11.1;6.336;4.764;0.0;37.0x20.0x15.0;35.2x15.0x12.0;2;5;5;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r210;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
1185;0;0;0;11.1;7.78;3.32;0.0;37.0x20.0x15.0;35.0x17.1x13.0;2;2;2;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r441;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
1205;0;0;0;11.1;10.588;0.512;0.0;37.0x20.0x15.0;55.0x17.5x11.0;3;4;4;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r839;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1206;0;0;0;11.1;10.588;0.512;0.0;37.0x20.0x15.0;55.0x17.5x11.0;3;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r838;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1207;0;0;0;11.1;10.588;0.512;0.0;37.0x20.0x15.0;55.0x17.5x11.0;3;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r837;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1208;0;0;0;11.1;10.588;0.512;0.0;37.0x20.0x15.0;55.0x17.5x11.0;3;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r836;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1211;0;0;0;11.1;8.855;2.245;0.0;37.0x20.0x15.0;46.0x17.5x11.0;4;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3047;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
