external_code;наш_ДхШхВ_см;предлагаемый_Д_мм;предлагаемый_Ш_мм;предлагаемый_В_мм;предлагаемый_ДхШхВ_см;запись_в_прайсе_дословно;взят_источник;источников_всего;подтверждают_этот_размер;все_источники;источники_расходятся_на_мм;сверка_справочных_макс_отклонение_мм;вариантов_короба;наш_объём_л;предлагаемый_объём_л;разница_объёма_л;продаж_в_окне_шт;лишних_л_за_период;карточек_wb_acc1;карточек_wb_acc2;src_file;src_locator;src_sha256
3403;37.0x20.0x15.0;327.0;113.0;101.0;32.7x11.3x10.1;SACRG054Y;sakura;2;1;cactus,sakura;18.0;нет данных;2;11.1;3.732;7.368;0;0.0;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r1117;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
3424;37.0x20.0x15.0;310.0;240.0;130.0;31.0x24.0x13.0;CS-D203S;cactus;2;1;cactus,sakura;20.0;нет данных;2;11.1;9.672;1.428;0;0.0;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r475;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
3644;37.0x20.0x15.0;570.0;100.0;90.0;57.0x10.0x9.0;LC-EXV51BK;izi;2;1;cactus,izi;20.0;solutionsprint:100.0;2;11.1;5.13;5.97;0;0.0;5;5;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1562;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
3645;37.0x20.0x15.0;570.0;100.0;90.0;57.0x10.0x9.0;LC-EXV51C;izi;2;1;cactus,izi;20.0;нет данных;2;11.1;5.13;5.97;0;0.0;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1559;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
3646;37.0x20.0x15.0;570.0;100.0;90.0;57.0x10.0x9.0;LC-EXV51M;izi;2;1;cactus,izi;20.0;solutionsprint:100.0;2;11.1;5.13;5.97;0;0.0;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1560;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
3647;37.0x20.0x15.0;570.0;100.0;90.0;57.0x10.0x9.0;LC-EXV51Y;izi;2;1;cactus,izi;20.0;solutionsprint:100.0;2;11.1;5.13;5.97;0;0.0;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1561;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
3756;15.0x10.0x10.0;130.0;52.0;52.0;13.0x5.2x5.2;SI0664C001;sakura;2;1;cactus,sakura;17.5;solutionsprint:15.0;3;1.5;0.352;1.148;0;0.0;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Струйная Sakura!r157;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
3757;15.0x10.0x10.0;130.0;52.0;52.0;13.0x5.2x5.2;SI0665C001;sakura;2;1;cactus,sakura;17.5;solutionsprint:15.0;3;1.5;0.352;1.148;0;0.0;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Струйная Sakura!r158;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
3791;15.0x10.0x10.0;115.0;150.0;60.0;11.5x15.0x6.0;CS-EPT04A140;cactus;3;2;cactus,izi,sakura;15.0;нет данных;2;1.5;1.035;0.366;0;0.0;3;3;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1715;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
3792;15.0x10.0x10.0;115.0;150.0;30.0;11.5x15.0x3.0;CS-EPT04A240;cactus;3;2;cactus,izi,sakura;15.0;нет данных;2;1.5;0.517;0.881;0;0.0;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1714;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
3793;15.0x10.0x10.0;115.0;150.0;30.0;11.5x15.0x3.0;CS-EPT04A340;cactus;3;2;cactus,izi,sakura;15.0;нет данных;2;1.5;0.517;0.881;0;0.0;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1713;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
