external_code;article;название;источник_возврата
0253;129667, GP_106R01378, PL_106R01378, SP257501;Тонер Картридж 106R01378 SP;возврат_отсева_D_принтер
0259;15258, BS-X113R00671, CS-WC4118X, CS-WC4118XR;Картридж лазерный Cactus CS-WC4118X 113R00671 черный бар.в компл. (20000стр.) для Xerox WC;возврат_отсева_D_принтер
0386;19177, CS-Q2671AR, GP_Q2671A_C, NV-Q2671AC;Картридж Colortek HP Q2671A (309A) C;возврат_отсева_D_принтер
0400;16358, GP_Q7560A_BK, NV-Q7560ABk, OEM Q7560A;Картридж GP-Q7560A (№314A) для принтеров HP Color LaserJet 2700/3000/2700n/3000n/3000dn/30;возврат_отсева_D_принтер
0401;16359, GP_Q7561A_C, NV-Q7561AC, OEM Q7561A;Картридж GP-Q7561A (№314A) для принтеров HP Color LaserJet 2700/3000/2700n/3000n/3000dn/30;возврат_отсева_D_принтер
0402;16360, GP_Q7562A_Y, NV-Q7562AY, OEM Q7562A;Картридж GP-Q7562A (№314A) для принтеров HP Color LaserJet 2700/3000/2700n/3000n/3000dn/30;возврат_отсева_D_принтер
0403;16361, CS-Q7563AR, GP_Q7563A_M, NV-Q7563AM;Картридж GP-Q7563A (№314A) для принтеров HP Color LaserJet 2700/3000/2700n/3000n/3000dn/30;возврат_отсева_D_принтер
0413;15570, BFHPLJ4600030, BS-HPC9722A, CS-C9722AR;Картридж GP-C9722A (№641A) для принтеров HP Color LaserJet 4600/4600dtn/4600hdn/4600n/4650;возврат_отсева_D_принтер
0414;15571, BFHPLJ4600040, BS-HPC9723A, CS-C9723AR;Картридж GP-C9723A для принтеров HP Color LaserJet 4600/4600dtn/4600hdn/4600n/4650/4650dn/;возврат_отсева_D_принтер
0425;25000, BS-C6658, CS-C6658, PL_C6658AE;Картридж PL-C6658AE для принтеров HP DJ 450/2400/5550/7150/7350/7550/PSC/1110/OJ 4105/Fax ;возврат_отсева_D_принтер
0429;1417, AFHPLJ5000010, BS-HPC4129X, CG_C4129X;Картридж GP-C4129X/CRG-H (№29X) для принтеров HP LaserJet 5100/5000/5100dtn/5100tn/Canon G;возврат_отсева_D_принтер
0457;11330, PL_S050228_C, S050228 C;Картридж Colortek Epson C13S050228 C2600 Cyan;возврат_отсева_D_принтер
0458;11328, PL_S050227_M, S050227 M;Картридж Colortek Epson C13S050227 C2600 Magenta;возврат_отсева_D_принтер
0459;11329, PL_S050226_Y, S050226 Н;Картридж Colortek Epson C13S050226 C2600 Yellow;возврат_отсева_D_принтер
0501;10078, 12016SE/ 12036SE CT, 12016SE/ 12036SE PL, BS-Lx12016SE;Картридж GP-12016SE для принтеров Lexmark LaserPrinter E120 2000 копий GalaPrint;возврат_отсева_D_принтер
0507;117704, 157820, BS-Lx64016HE, CS-T644;Картридж PL-64016HE для принтеров Lexmark T640/T642/T644T640n/T642n/T644n/T642tn/T644tn/T6;возврат_отсева_D_принтер
0516;105282, AQ B431 44574906, BS-44574906/44574902, GP_44574906;Картридж GP-44574906 для принтеров Oki B431/B411/B411d/B411dn/B431d/B431dn 10000 копий Gal;возврат_отсева_D_принтер
0526;10224, BS-KX-FA78A, KX-FA78A, PL_KX-FA78A7_Drum;Картридж Colortek Panasonic KX-FA78A (DU);возврат_отсева_D_принтер
0527;9681, AFPN0FL511010, BS-KX-FA84A, GP_KX-FA84A_Drum;Картридж Colortek Panasonic KX-FA84A (DU);возврат_отсева_D_принтер
0537;102913, BS-TK440, GP_TK-440_WC, OEM TK440;Тонер-туба TK-440 с бункером отработанного тонера 15000 копий ProfiLine;возврат_отсева_D_принтер
0572;PL_TN-130C_C;Картридж PL-TN-130C для принтеров Brother DCP-9040/DCP-9040CN/HL-4040/HL-4040CN/HL-4050/HL;возврат_отсева_D_принтер
0573;PL_TN-130M_M, SP48569, SP48569_MSK;Картридж PL-TN-130M для принтеров Brother DCP-9040/DCP-9040CN/HL-4040/HL-4040CN/HL-4050/HL;возврат_отсева_D_принтер
0574;PL_TN-130Y_Y, SP48570, SP48570_MSK, TN-130Y;Картридж PL-TN-130Y для принтеров Brother DCP-9040/DCP-9040CN/HL-4040/HL-4040CN/HL-4050/HL;возврат_отсева_D_принтер
0576;15276, BFBRHL4040020, BS-BrTN135C, CS-TN135C;Картридж лазерный Cactus CS-TN135C голубой (4000стр.) для Brother DCP-9040/9042/9045/HL-40;возврат_отсева_D_принтер
0577;15277, BFBRHL4040030, BS-BrTN135M, CS-TN135M;Картридж лазерный Cactus CS-TN135M пурпурный (4000стр.) для Brother DCP-9040/ 9042/9045/HL;возврат_отсева_D_принтер
0578;15278, BFBRHL4040040, BS-BrTN135Y, CS-TN135Y;Картридж лазерный Cactus CS-TN135Y желтый (4000стр.) для Brother DCP-9040/9042/9045/HL-404;возврат_отсева_D_принтер
0602;10239, BS-X106R00646, NV-106R00646, PL_106R00646;Картридж PL-106R00646 для принтеров Xerox Phaser 3310 6000 копий ProfiLine;возврат_отсева_D_принтер
0613;15359, GP_113R00628, NV-113R00628, PL_113R00628;Картридж Colortek Xerox 113R00628 4400;возврат_отсева_D_принтер
0627;006R01020, 15369, BS-X006R01020, NV-006R01020;Xerox 006R01020 Тонер-картридж для копиров 5915/5921;возврат_отсева_D_принтер
0629;BS-X106R00680, GP_106R00680_C, PL_106R00680_C, SF-106R00680;Картридж GP-106R00680 для принтеров Xerox Phaser 6100/6110/6110B/6110N/6110MFP/B/6110MFP/S;возврат_отсева_D_принтер
0630;BS-X106R00681, GP_106R00681_M, PL_106R00681_М, SF-106R00681;Картридж GP-106R00681 для принтеров Xerox Phaser 6100/6110/6110B/6110N/6110MFP/B/6110MFP/S;возврат_отсева_D_принтер
0631;BS-X106R00682, GP_106R00682_Y, PL_106R00682_Y, SF-106R00682;Картридж 106R00682 Yellow PL;возврат_отсева_D_принтер
0632;BS-X113R00692, CS-PH6120X, GP_113R00692_BK, PL_113R00692;Картридж 113R00692 BK PL;возврат_отсева_D_принтер
0633;BS-X113R00693, GP_113R00693_C, PL_113R00693, PL_113R00693_C;Картридж PL-113R00693 для принтеров Xerox Phaser 6115/6115MFP/6120/6115MFP/D/6115MFP/D/612;возврат_отсева_D_принтер
0634;BS-X113R00695, GP_113R00695_M, PL_113R00695, PL_113R00695_M;Картридж Xerox 113R00695 для Phaser 6120/6115MFP magenta, 4500 стр.,Blossom;возврат_отсева_D_принтер
0635;BS-X113R00694, GP_113R00694_Y, PL_113R00694, PL_113R00694_Y;Картридж GP-113R00694 для принтеров Xerox Phaser 6115/6115MFP/6120/6115MFP/D/6115MFP/D/612;возврат_отсева_D_принтер
0644;26717, BS-X106R01221, CS-PH6300BK, NV-106R01221Bk;Картридж PL-106R01221 для принтеров Xerox Phaser 6360N/6360DN/6360DX/6360DT Black 18000 ко;возврат_отсева_D_принтер
0645;26720, BS-X106R01218, CS-PH6300C, GP_106R01218_C;Картридж лазерный Cactus CS-PH6300C 106R01218 голубой (12000стр.) для Xerox Phaser 6360DN ;возврат_отсева_D_принтер
0646;26719, BS-X106R01219, CS-PH6300M, GP_106R01219_M;Картридж Xerox 106R01219 Тонер-картридж для Phaser 6360, magenta, 12000 стр.,Blossom;возврат_отсева_D_принтер
0647;26718, BS-X106R01220, CS-PH6300Y, GP_106R01220_Y;Картридж PL-106R01220 для принтеров Xerox Phaser 6360N/6360DN/6360DX/6360DT Yellow 12000 к;возврат_отсева_D_принтер
0669;NV-106R01075Y, PL_106R01075_Y, SF-106R01075, SP60024;Картридж PL-106R01075 для принтеров Xerox Phaser 6300/6350/6300DN/6300N/6350DP/6350DT/6350;возврат_отсева_D_принтер
0673;14160, BFRXPH7400040, BS-X106R01079, GP_106R01079_Y;Картридж Colortek Xerox 106R01079 Yellow (7400);возврат_отсева_D_принтер
0674;14159, BFRXPH7400030, BS-X106R01078, GP_106R01078_M;Картридж Colortek Xerox 106R01078 Magenta (7400);возврат_отсева_D_принтер
0675;14158, BFRXPH7400020, BS-X106R01077, GP_106R01077_C;Картридж PL-106R01077 для принтеров Xerox Phaser 7400/7400DN/7400DT/7400DX/7400DXF/7400N C;возврат_отсева_D_принтер
0694;15007, GP_CLP-K350A_BK, NV-CLPK350ABk, PL_CLP-K350A_BK;Картридж GP-CLP-K350A для принтеров Samsung CLP-350N/CLP-351NK/CLP-351NKG Black 4000 копий;возврат_отсева_D_принтер
0695;15008, GP_CLP-C350A_C, NV-CLPC350AC, PL_CLP-C350A_C;Картридж GP-CLP-C350A для принтеров Samsung CLP-350N/CLP-351NK/CLP-351NKG Cyan 2000 копий ;возврат_отсева_D_принтер
0696;15009, GP_CLP-M350A_M, NV-CLPM350AM, PL_CLP-M350A_M;Картридж GP-CLP-M350A для принтеров Samsung CLP-350N/CLP-351NK/CLP-351NKG Magenta 2000 коп;возврат_отсева_D_принтер
0697;15010, GP_CLP-Y350A_Y, NV-CLPY350AY, PL_CLP-Y350A_Y;Картридж GP-CLP-Y350A для принтеров Samsung CLP-350N/CLP-351NK/CLP-351NKG Yellow 2000 копи;возврат_отсева_D_принтер
0711;16150, 989030608, BS-SH-AR168T, GP_AR-168T;Картридж AR168LT CT;возврат_отсева_D_принтер
0712;16151, 7010101310, BS-SH-AR202LT, GP_AR-202LT;Тонер-картридж Hi-Black (HB-AR202LT) для Sharp AR-163/201/M160/M205, 16К;возврат_отсева_D_принтер
0769;14499, 989279, 989280, AFHPLJ5025010;Картридж лазерный Cactus CS-Q7570A черный (15000стр.) для HP LJ M5025/M5035/M5035X/M5035XS;возврат_отсева_D_принтер
0791;114820, CS-PH3010, GP_106R02181, PL_106R02181;Картридж лазерный Cactus CS-PH3010 106R02181 черный (1000стр.) для Xerox Phaser 3010/WorkC;возврат_отсева_D_принтер
0828;10053, AFCN00L100070, BS-CnT, CS-CARTRIDGET;Картридж PL-7833A002 (Cartridge-T) для принтеров Canon LaserClass 510/FAX-L380/FAX-L390/FA;возврат_отсева_D_принтер
0879;118940, 30960, AT-CF214X, BS-HPCF214X;Картридж лазерный Cactus CS-CF214XR черный (17500стр.) для HP LJ 700 MFP M712;возврат_отсева_D_принтер
0893;121379, 30303092, AFHPLJM806010, BS-HPCF325X;Картридж лазерный Cactus CS-CF325X-MPS черный (45000стр.) для HP LJ Ent M806/800/M806X;возврат_отсева_D_принтер
0983;23053, 43979107/ 43979102, 995916035, AAOK0B4100030;Тонер-картридж Hi-Black (HB-43979107/43979102) для OKI B410/420/430/440/MB460/470/480,3,5K;возврат_отсева_D_принтер
0984;110778, AFOK0B2200010, BS-43640307/43640302, GP_43640302;Картридж OKI B2200/2200N 43640302 SuperFine;возврат_отсева_D_принтер
1024;122858, BFOK0C8100070, BS-44059106, GP_44059118_M;Тонер-картридж GP-44059118 для принтеров OkiData C810/C830 Magenta 8000 копий GalaPrint;возврат_отсева_D_принтер
1043;114028, 9805201030, 980520109, AFSMSL3320010;Картридж GP-MLT-D203L для принтеров Samsung ProXpress SL-M3320/SL-M3370/SL-M3820/SL-M3820D;возврат_отсева_D_принтер
1045;130898, BS-SgMLT-D307L, NV-MLTD307L, PL_MLT-D307L;Картридж Colortek Samsung MLT-D307L;возврат_отсева_D_принтер
1068;24861, BS-SH-AR270T, DASHAR2350010, GP_AR-270LT;Тонер-картридж БУЛАТ s-Line AR-270T для Sharp AR-235, AR-M276 (Чёрный, 25000 стр.), совмес;возврат_отсева_D_принтер
1087;5003, BS-X101R00435, CS-DUWC5222, CS-WC5222XR;Картридж лазерный Cactus CS-WC5222XR 101R00435 черный бар.в компл. (80000стр.) для Xerox W;возврат_отсева_D_принтер
1129;133500, BS-X006R01399, CS-WC7435B, EARXWC7425010;Картридж лазерный Cactus CS-WC7435B 006R01399 черный (25000стр.) для Xerox WC7435;возврат_отсева_D_принтер
1130;133504, BS-X006R01402, CS-WC7435C, EARXWC7425020;Картридж лазерный Cactus CS-WC7435C 006R01402 голубой (15000стр.) для Xerox WC7435;возврат_отсева_D_принтер
1143;AFRX0DP255010, BS-X113R00247, GP_113R00247, NV-113R00247;Картридж Xerox 113R00247 для DocuPrint 255/255n, 10000 стр.,Blossom;возврат_отсева_D_принтер
1172;BS-TK1125, GP_TK-1125, NV-TK1125, PL_TK-1125;Тонер-туба GP-TK-1125 для принтеров Kyocera FS-1061DN 2100 копий GalaPrint;возврат_отсева_D_принтер
1184;GP_TK-1115, NV-TK1115, PL_TK-1115;Тонер-туба GP-TK-1115 для принтеров Kyocera FS-1041/1220MFP/1320MFP 2100 копий GalaPrint;возврат_отсева_D_принтер
1255;10101-1, BS-T0592, CS-EPT0592, PL_T0592_C;Картридж струйный Cactus CS-EPT0592 голубой (14.8мл) для Epson Stylus Photo R2400;возврат_отсева_D_принтер
1331;113654, BS-SgMLT-D116L, GP_MLT-D116L, NV-MLT-D116L;Картридж GP-MLT-D116L для принтеров Samsung SL-M2625/SL-M2626/SL-M2675/SL-M2676/SL-M2825/S;возврат_отсева_D_принтер
1335;128117, BS-X013R00647, CS-DU7425, EFRXWC7425010;Картридж Colortek Xerox 013R00647 7425;возврат_отсева_D_принтер
1336;114729, BFRXWC7228010, BS-X006R01175, CS-WC7328BK;Цветной тонер картридж 006R01175 SP;возврат_отсева_D_принтер
1378;AT-CF228A, GP_CF228A, NV-CF228A, PL_CF228A;Тонер-картридж GP-CF228A (№28A) для принтеров HP LaserJet Pro M403/M427 3000 копий GalaPri;возврат_отсева_D_принтер
1417;121405, BFOK00C610040, GP_44315305/44315321_Y, PL_44315305/44315321_Y;Тонер-картридж Smart Graphics SG-C610nY для OKI C610, C610dm, C610dn (Жёлтый, 6000 стр.), ;возврат_отсева_D_принтер
1418;121404, BFOK00C610030, GP_44315306/44315322_M, SF-OKI610M;Тонер-картридж Smart Graphics SG-C610nM для OKI C610, C610dm, C610dn (Пурпурный, 6000 стр.;возврат_отсева_D_принтер
1419;121403, BFOK00C610020, GP_44315307/44315323_C, PL_44315307/44315323_C;Тонер-картридж Smart Graphics SG-C610nC для OKI C610, C610dm, C610dn (Голубой, 6000 стр.),;возврат_отсева_D_принтер
1420;121402, BFOK00C610010, GP_44315308/44315324_BK, PL_44315308/44315324_BK;Тонер-картридж Smart Graphics SG-C610nK для OKI C610, C610dm, C610dn (Чёрный, 6000 стр.), ;возврат_отсева_D_принтер
1427;113627, BS-43502306/43502302, GP_43502306/43502302, NV-43502306/43502302;Картридж PL-43502306/43502302 для принтеров Oki B4400/B4600/B4525/B4545/B4525/B4545/B4400n;возврат_отсева_D_принтер
1459;1469-1, PL_T009_C/M/Y/LC/LM, SF-T009C;Картридж T009, 5-цветный SF;возврат_отсева_D_принтер
1531;1534-1, CS-EPT0520, PL_T0520_C/M/Y, PL_T52040/14401_C/M/Y;Картридж струйный Cactus CS-EPT0520 многоцветный (24мл) для Epson Stylus Color 400/440/460;возврат_отсева_D_принтер
1577;BS-HPC8551A, CS-C8551AR, GP_C8551A_C, OEM C8551A;Картридж GP-C8551A (№822A) для принтеров HP Color LaserJet 9500 Cyan 25000 копий GalaPrint;возврат_отсева_D_принтер
1579;BS-HPC8553A, CS-C8553AR, GP_C8553A_M;Картридж GP-C8553A (№822A) для принтеров HP Color LaserJet 9500 Magenta 25000 копий GalaPr;возврат_отсева_D_принтер
1591;98969803, EAMNBZ2500040, GP_TNP-27Y_Y;Тонер-картридж GP-TNP-27Y для принтеров Konica Minolta Bizhub C25 Yellow 6000 копий GalaPr;возврат_отсева_D_принтер
1596;130454, CS-LX410, GP_50F0XA0, PL_50F0XA0;Картридж лазерный Cactus CS-LX410 50F0XA0 черный (10000стр.) для Lexmark MS410/MS415/MS410;возврат_отсева_D_принтер
1598;122642, BFOK00C710060, BS-44318623/43866107, CS-O710C;Картридж лазерный Cactus CS-O710C голубой (11500стр.) для Oki C710/711;возврат_отсева_D_принтер
1599;122643, BFOK00C710070, BS-44318622/43866106, CS-O710M;Картридж для OKI C710/C711M 44318622/44318606/43866106 11,5K Magenta White Box (Совместимы;возврат_отсева_D_принтер
1600;122644, BFOK00C710080, BS-44318621/43866105, CS-O710Y;Картридж лазерный Cactus CS-O710Y желтый (11500стр.) для Oki C710/711;возврат_отсева_D_принтер
1618;13564, BS-BrTN6300, GP_TN-6300, PL_TN-6300;Картридж Brother TN-6300 для HL-1030/1240/1250/1270N/1450/1470N/MFC9650/9870/9660,3000 стр;возврат_отсева_D_принтер
1630;BS-EPLS050087, PL_S050087_BK;Картридж Epson LS050087 для EPL 5900/5900L/6100/6100L, 6000 стр. Blossom;возврат_отсева_D_принтер
1714;14323, BAMTTK2500020, BS-TK865C, GP_TK-865C_C_WC;Картридж Kyocera TK865C TASKalfa 250ci/300ci 12K Cyan KVK;возврат_отсева_D_принтер
1715;10802, BAMTTK2500010, BS-TK865K, GP_TK-865K_BK_WC;Тонер-картридж Smart Graphics TK-865Bk для Kyocera FS-C8600, C8650(Чёрный, 20000 стр.), со;возврат_отсева_D_принтер
1717;9083, BAMTTK2500040, BS-TK865Y, GP_TK-865Y_Y_WC;Картридж Colortek Kyocera TK-865 Y;возврат_отсева_D_принтер
1723;15944, BS-Lx12A8302, PL_12A8302_Drum;Картридж Lexmark 12A8302 для Optra E230/E23x/E240/E33x/E34x,drum, 30000 стр., Blossom;возврат_отсева_D_принтер
1734;BS-LX80C8HC0, GP_80C8HC0_C, WB 80C8HC0 808HC;$$_СРОЧНО Картридж для Lexmark CX410/CX510 3K Cyan 808HC White Box (Совместимый);возврат_отсева_D_принтер
1735;BS-LX80C8HK0, GP_80C8HK0_BK, WB 80C8HK0 808HK;Картридж для Lexmark CX410/CX510 4K Black 808HK White Box (Совместимый);возврат_отсева_D_принтер
1736;BFLX0CX410030, BS-LX80C8HM0, GP_80C8HM0_M, WB 80C8HM0 808HM;Картридж GP-80C8HM0 для принтеров Lexmark LaserPrinter CX410/CX510 Magenta 3000 копий Gala;возврат_отсева_D_принтер
1737;BS-LX80C8HY0, GP_80C8HY0_Y, WB 80C8HY0 808HY;Картридж GP-80C8HY0 для принтеров Lexmark LaserPrinter CX410/CX510 Yellow 3000 копий GalaP;возврат_отсева_D_принтер
1748;BS-LxT650H21E, GP_T650H21E, PL_T650H21E, SG-T650H21E;Тонер-картридж Smart Graphics T650H21E для Lexmark Laser Printer T650, Laser Printer T652,;возврат_отсева_D_принтер
1761;BS-44574307, BS-44574307/44574302, GP_44574307_Drum, PL_44574307_Drum;Картридж OKI B401/MB441/451/411/412/431/432/512/MB461/471/472/491/492/562,drum, 25000 стр.;возврат_отсева_D_принтер
1779;PL_43324440/43324408_BK;Тонер-картридж PL-43324440/43324408 для принтеров OkiData C5600/5700 Black 6000 копий Prof;возврат_отсева_D_принтер
1783;15497, BS-43324444/ 43324424, PL_43324444/43324424_BK;Картридж 43324444/ 43324424, черный BS;возврат_отсева_D_принтер
1784;BS-43324443/43324423, PL_43324443/43324423_C;Картридж 43324443/ 43324423, голубой;возврат_отсева_D_принтер
1785;15499, BS-43324442 / 43324422, BS-43324442/43324422, PL_43324442/43324422_M;Картридж 43324442/ 43324422, пурпурный BS;возврат_отсева_D_принтер
1786;15500, BS-43324441 / 43324421, PL_43324441/43324421_Y;Картридж 43324441/ 43324421, желтый BS;возврат_отсева_D_принтер
1807;130965, 301020534, BFOK0C8220010, BS-44844628/44844616;Картридж PL-44844628/44844616 (44844616) для принтеров Oki C822 Black 7000 копий ProfiLine;возврат_отсева_D_принтер
1808;131302, 301020535, BS-44844627/44844615, GP_44844627/44844615_C;Тонер-картридж Smart Graphics SG-C822C-44844615 для OKI C822dn (Голубой, 7300 стр.), совме;возврат_отсева_D_принтер
1809;131301, BS-44844626/44844614, GP_44844626/44844614_M, NV-44844626/44844614M;Тонер-картридж Smart Graphics SG-C822M-44844614 для OKI C822dn (Пурпурный, 7300 стр.), сов;возврат_отсева_D_принтер
1810;131303, 301020537, BS-44844625/44844613, GP_44844625/44844613_Y;Тонер-картридж Smart Graphics SG-C822Y-44844613 для OKI C822dn (Жёлтый, 7300 стр.), совмес;возврат_отсева_D_принтер
1811;BFOK0C8310010, BS-44844508/44844520, GP_44844508_BK, SFR-OKI831/841Bk;Тонер-картридж Smart Graphics 44844508 для  OKI C831, С841  (Чёрный, 10000 стр.) , совмест;возврат_отсева_D_принтер
1812;BFOK0C8310020, BS-44844507/44844519, GP_44844507_C, SFR-OKI831/841C;Тонер-картридж Smart Graphics 44844507 для  OKI C831, С841  (Голубой, 10000 стр.) , совмес;возврат_отсева_D_принтер
1813;BFOK0C8310040, BS-44844506/44844518, GP_44844506_M, PL_44844506_M;Картридж 44844506 Magenta 10000 копий ProfiLine;возврат_отсева_D_принтер
1814;BFOK0C8310030, BS-44844505/44844517, GP_44844505_Y, SFR-OKI831/841Y;Картридж OKI C831/С841 44844505/44844517 10K Yellow SuperFine;возврат_отсева_D_принтер
1824;42918107, BFOK0C9600060, BS-42918107, BT-42918107/108R00647;Фотобарабан 42918107/108R00647 C WB;возврат_отсева_D_принтер
1859;15400, GP_106R01217_BK;Картридж GP-106R01217 для принтеров Xerox Phaser 6360/6360N/6360DN/6360DT/6360DX Black 900;возврат_отсева_D_принтер
1956;118337, BS-C-EXV17C, GP_С-EXV17_C, PL_С-EXV17_C;Тонер-картридж GP-С-EXV17 для принтеров Canon imageRUNNER C4080/C4080i/C4580/4580i/C5180/C;возврат_отсева_D_принтер
1957;118338, BS-C-EXV17M, GP_С-EXV17_M, PL_С-EXV17_M;Картридж Colortek Canon C-EXV17 Magenta;возврат_отсева_D_принтер
1958;118339, BS-C-EXV17Y, GP_С-EXV17_Y, PL_С-EXV17_Y;Тонер-картридж GP-С-EXV17 для принтеров Canon imageRUNNER C4080/C4080i/C4580/4580i/C5180/C;возврат_отсева_D_принтер
1960;25433, BS-C-EXV23DU, GP_C-EXV23_Drum, PL_C-EXV23_Drum;Драм-картридж GP-C-EXV23 для принтеров Canon imageRUNNER 2018/2022/2025/2030 Drum 55000 ко;возврат_отсева_D_принтер
2007;BS-M-TN-113, PL_TN-113;Картридж Konica Minolta TN-113 для DI 1610/F/P/Bizhub 160/F/161/F, toner, 5000 стр.,Blosso;возврат_отсева_D_принтер
2032;128002, 9897022, BS-M-TN-321M, CS-TN-321M;Тонер-туба GP-TN-321M (A33K350) для принтеров Konica-Minolta bizhub C224/C284/C364 Magenta;возврат_отсева_D_принтер
2061;134801, 9896905, BS-R-MPC2551EC, CS-MP2551C;Картридж Colortek Ricoh Aficio MP C2551E Cyan (841505);возврат_отсева_D_принтер
2062;134802, 9896906, BS-R-MPC2551EM, CS-MP2551M;Картридж Colortek Ricoh Aficio MP C2551E Magenta (841506);возврат_отсева_D_принтер
2116;114394, 989030623, BS-SH-MXB20GT1, BS-ShMX-B20GT1;Тонер-картридж GP-MXB20GT1 для принтеров Sharp MX-B200/MX-B201 8000 копий GalaPrint;возврат_отсева_D_принтер
2121;123476, 99561931010, BS-T-1800E, DATS0ES180080;Картридж PL-T-1800E для принтеров Toshiba e-STUDIO 18 22700 копий ProfiLine;возврат_отсева_D_принтер
2223;135002, 98970782, BS-SgMLT-D704S, DFSMSL3300010;Картридж GP-MLT-D704S для принтеров Samsung MultiXpress K3300NR/K3250NR 25000 копий GalaPr;возврат_отсева_D_принтер
2225;135736, 98970780, AFSMCX8123050, BS-SgMLT-D709S;Тонер-картридж e-Line MLT-D709S для Samsung SCX-8123, SCX-8128 (Чёрный, 25000 стр.);возврат_отсева_D_принтер
2226;114398, AFLXMS3100030, BS-Lx51F5H00, GP_51F5H00/51F5H0E;Картридж PL-51F5H00/51F5H0E для принтеров Lexmark MS312/MS415 5000 копий ProfiLine;возврат_отсева_D_принтер
2232;132229, 93927203, AFKYEP4040010, AFKYES4040010;Тонер-туба GP-TK-7300 для принтеров Kyocera ECOSYS P4040 с бункером отработанного тонера 1;возврат_отсева_D_принтер
2322;19350, 9897080, AFSMCX6545010, BS-SgSCX-D6555A;Картридж GP-SCX-D6555A для принтеров Samsung SCX-4645/SCX-6545/SCX-6555/SCX-6811 25000 коп;возврат_отсева_D_принтер
2325;132762, 9896872, AFRCSP5200010, AT-SP5200HE;Тонер картридж 7Q SP5200HE (406685) для Ricoh Aficio SP 5200 (Чёрный, 25000 стр.);возврат_отсева_D_принтер
2412;157573, 4100603161, 5129090000, BFKYEM8124020;Картридж лазерный Cactus CS-TK8115С голубой (6000стр.) для Kyocera Mita Ecosys M8124cidn/M;возврат_отсева_D_принтер
2413;157574, 4100603162, 5129110000, BFKYEM8124030;Картридж лазерный Cactus CS-TK8115M TK-8115M пурпурный (6000стр.) для Kyocera Mita Ecosys ;возврат_отсева_D_принтер
2414;157575, 4100603163, 5129120000, BFKYEM8124040;Тонер-картридж EasyPrint LK-8115Y для Kyocera ECOSYS M8124cidn/M8130cidn (6000 стр.) желты;возврат_отсева_D_принтер
2459;18607, GP_106R00687, PL_106R00687;Картридж Colortek Xerox 106R00687 3450;возврат_отсева_D_принтер
2579;1533-1, PL_51140_BK, SF-T051Bk;Картридж струйный Colortek Epson T051 bk;возврат_отсева_D_принтер
2685;5229030000, BS-T1594, PL_T1594_Y;Картридж для (T1594) EPSON St Photo R2000 Yellow (18,4ml, Pigment) MyInk;возврат_отсева_D_принтер
2686;5229020000, BS-T1593, PL_T1593_M;Blossom BS-T1593 Струйный картридж для Epson Stylus Photo R2000, пурпурный;возврат_отсева_D_принтер
2785;BS-45862852, EFOKMC8530010, GP_45862852/45862840_BK, PL_45862852/45862840_BK;Тонер-картридж Smart Graphics 45862840, 458628452 для OKI MC853, MC873  (Чёрный, 7300 стр.;возврат_отсева_D_принтер
2786;BS-45862851, EFOKMC8530020, GP_45862851/45862839_C, PL_45862851/45862839_C;Картридж для OKI MC853/MC873  (45862839/45862851) 7.3K Cyan White Box (Совместимый);возврат_отсева_D_принтер
2788;BS-45862849, EFOKMC8530040, GP_45862849/45862837_Y, PL_45862849/45862837_Y;Картридж для OKI MC853/MC873  (45862837/45862849) 7.3K Yellow White Box (Совместимый);возврат_отсева_D_принтер
2798;AFSMSCX803020, BS-SgMLT-K607S, DFSM008230010, PL_MLT-K607S;Картридж PL-MLT-K607S для принтеров Samsung SCX-8230/SCX-8030 20000 копий ProfiLine;возврат_отсева_D_принтер
2810;GP_113R00735, PL_113R00735;Картридж GP-113R00735 для принтеров Xerox Phaser 3200 2000 копий GalaPrint;возврат_отсева_D_принтер
2959;114910, AFCNIR2500010, BS-C-EXV32/33DU, DFCNIR2520020;Драм-картридж GP-C-EXV32/C-EXV33 для принтеров Canon imageRUNNER 2520/2525/2530/2535/2545/;возврат_отсева_D_принтер
2966;GP_CF294A, NV-CF294A, PL_CF294A, SF-CF294A;Картридж PL-CF294A (№94A) для принтеров HP LaserJet Pro MFP M148dw/MFP M148fdw 1200 копий ;возврат_отсева_D_принтер
2967;GP_CF294X, NV-CF294X, PL_CF294X, SF-CF294X;Картридж GP-CF294X (№94X) для принтеров HP LaserJet Pro M118dw/MFP M148dw/MFP M148fdw 2800;возврат_отсева_D_принтер
2984;132976, BFSMCLP310050, BS-SgCLT-R407, GP_CLT-R407/CLT-R409_Drum;Драм-картридж GP-CLT-R407/CLT-R409 для принтеров Samsung CLP-310/CLP-315/CLP-320/CLP-325/C;возврат_отсева_D_принтер
3010;17159, GP_106R00675, PL_106R00675;Картридж PL-106R00675 для принтеров Xerox Phaser 6250/6250B/6250DP/6250DT/6250DX 8000 копи;возврат_отсева_D_принтер
3100;CS-VLC500C, CS-VLC500CRU, GP_106R03859_C, NV-106R03877C;Картридж лазерный Cactus CS-VLC500C 106R03877 голубой (2400стр.) для Xerox VersaLink C500/;возврат_отсева_D_принтер
3169;117942, DFRXVLB600010, DFRXVLB600110, DFRXVLB600130;Тонер-картридж БУЛАТ s-Line 106R03941 для Xerox VersaLink B600 (Чёрный, 10300 стр.) (NEW);возврат_отсева_D_принтер
