external_code;группа;наш_ДхШхВ_см;вариантов_короба;расхождение_между_источниками_мм;все_источники;сверка_справочных_мм;варианты_ДхШхВ_мм и кто даёт;карточек_wb_acc1;карточек_wb_acc2
1096;Б;37.0x20.0x15.0;3;115.0;cactus,sakura;solutionsprint:123.0;315.0x140.0x110.0 ← cactus | 200.0x65.0x45.0 ← cactus | 300.0x70.0x60.0 ← sakura;1;1
1097;Б;37.0x20.0x15.0;3;115.0;cactus,sakura;solutionsprint:46.0;315.0x140.0x110.0 ← cactus | 200.0x65.0x45.0 ← cactus | 300.0x70.0x60.0 ← sakura;1;1
1098;Б;37.0x20.0x15.0;3;115.0;cactus,sakura;solutionsprint:123.0;315.0x140.0x110.0 ← cactus | 200.0x65.0x45.0 ← cactus | 300.0x70.0x60.0 ← sakura;1;1
1969;В;37.0x13.0x12.0;4;115.0;cactus,sakura;нет данных;470.0x180.0x150.0 ← cactus | 450.0x75.0x75.0 ← cactus | 550.0x95.0x95.0 ← cactus | 447.0x65.0x62.0 ← sakura;1;1
0244;В;36.0x22.0x12.0;2;114.0;cactus,sakura;нет данных;466.0x252.0x125.0 ← sakura | 352.0x165.0x122.0 ← cactus;2;2
1966;В;37.0x13.0x12.0;4;114.0;cactus,sakura;solutionsprint:160.0;470.0x180.0x150.0 ← cactus | 550.0x95.0x95.0 ← cactus | 450.0x75.0x75.0 ← cactus | 445.0x66.0x65.0 ← sakura;9;9
2166;Б;37.0x20.0x15.0;5;114.0;cactus,izi,sakura;solutionsprint:65.0;345.0x235.0x125.0 ← izi | 315.0x145.0x115.0 ← cactus | 320.0x140.0x120.0 ← cactus | 315.0x140.0x110.0 ← cactus | 331.0x121.0x117.0 ← sakura;3;3
1050;Б;37.0x20.0x15.0;3;113.0;cactus,izi,sakura;solutionsprint:63.0;345.0x235.0x125.0 ← izi | 345.0x130.0x105.0 ← cactus | 332.0x122.0x117.0 ← sakura;1;1
1052;Б;37.0x20.0x15.0;3;113.0;cactus,izi,sakura;solutionsprint:63.0;345.0x235.0x125.0 ← izi | 345.0x130.0x105.0 ← cactus | 332.0x122.0x117.0 ← sakura;1;1
1049;Б;37.0x20.0x15.0;3;111.0;cactus,izi,sakura;solutionsprint:63.0;345.0x235.0x125.0 ← izi | 345.0x130.0x105.0 ← cactus | 331.0x124.0x116.0 ← sakura;9;7
0866;В;37.0x20.0x15.0;4;110.0;cactus,sakura;solutionsprint:166.0;466.0x250.0x131.0 ← sakura | 395.0x145.0x130.0 ← cactus | 385.0x140.0x122.0 ← cactus | 485.0x145.0x115.0 ← cactus;5;5
2136;Б;37.0x20.0x15.0;4;110.0;cactus,sakura;нет данных;295.0x120.0x100.0 ← sakura | 205.0x97.0x90.0 ← cactus | 185.0x95.0x85.0 ← cactus | 210.0x120.0x95.0 ← cactus;1;1
2137;Б;37.0x20.0x15.0;5;110.0;cactus,sakura;нет данных;295.0x120.0x100.0 ← sakura | 185.0x95.0x85.0 ← cactus | 210.0x105.0x90.0 ← cactus | 205.0x97.0x90.0 ← cactus | 210.0x120.0x95.0 ← cactus;1;1
2451;В;37.0x20.0x15.0;4;110.0;cactus,izi,sakura;solutionsprint:70.0;430.0x275.0x160.0 ← sakura | 335.0x260.0x120.0 ← cactus | 320.0x255.0x110.0 ← cactus | 360.0x250.0x125.0 ← izi;1;1
3817;Б;37.0x20.0x15.0;3;110.0;izi,sakura;нет данных;354.0x174.0x120.0 ← sakura | 340.0x165.0x90.0 ← izi | 450.0x100.0x100.0 ← sakura;5;5
2410;В;37.0x20.0x15.0;4;107.0;cactus,sakura;solutionsprint:169.0;469.0x252.0x128.0 ← sakura | 430.0x180.0x125.0 ← cactus | 485.0x145.0x115.0 ← cactus | 450.0x235.0x100.0 ← cactus;3;3
0093;В;36.0x30.0x18.0;4;105.0;cactus,izi,sakura;нет данных;445.0x285.0x155.0 ← izi | 350.0x300.0x145.0 ← cactus | 340.0x280.0x150.0 ← cactus | 430.0x280.0x160.0 ← sakura;2;2
