external_code;наш_Д;наш_Ш;наш_В;внеш_Д;внеш_Ш;внеш_В;расхождение_по_сторонам;наш_объём_л;внеш_объём_л;разница_объёма_л;число_источников;группа;карточек_wb_acc1;src_file;src_locator;src_sha256
4197;56.0;15.0;14.0;58.5;13.5;8.5;-2.5 / 1.5 / 5.5;11.76;6.713;5.047;2;Б;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r661;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4198;56.0;15.0;14.0;58.5;13.5;8.5;-2.5 / 1.5 / 5.5;11.76;6.713;5.047;2;Б;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r660;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4199;56.0;15.0;14.0;58.5;13.5;8.5;-2.5 / 1.5 / 5.5;11.76;6.713;5.047;2;Б;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r659;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4201;36.0;20.0;10.0;36.3;19.7;10.3;-0.3 / 0.3 / -0.3;7.2;7.366;-0.166;2;А;3;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r470;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
4203;33.0;18.0;14.0;35.5;20.0;17.0;-2.5 / -2.0 / -3.0;8.316;12.07;-3.754;3;В;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r288;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
4204;17.0;8.0;5.0;47.0;17.0;8.5;-30.0 / -9.0 / -3.5;0.68;6.792;-6.112;1;В;5;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r629;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4205;29.0;22.0;12.0;33.3;16.9;9.5;-4.3 / 5.1 / 2.5;7.656;5.346;2.31;2;Б;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r728;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
4206;29.0;25.0;13.0;33.1;16.8;9.9;-4.1 / 8.2 / 3.1;9.425;5.505;3.92;2;Б;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r729;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
4207;58.0;14.0;9.0;58.5;13.5;8.5;-0.5 / 0.5 / 0.5;7.308;6.713;0.595;2;А;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r638;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4208;58.0;14.0;9.0;58.5;13.5;8.5;-0.5 / 0.5 / 0.5;7.308;6.713;0.595;1;А;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r639;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4210;36.0;11.0;10.0;37.0;12.0;10.0;-1.0 / -1.0 / 0.0;3.96;4.44;-0.48;3;А;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1409;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
4211;36.0;11.0;10.0;37.0;12.0;10.0;-1.0 / -1.0 / 0.0;3.96;4.44;-0.48;3;А;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1410;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
4212;36.0;11.0;10.0;37.0;12.0;10.0;-1.0 / -1.0 / 0.0;3.96;4.44;-0.48;3;А;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1411;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
4213;36.0;11.0;10.0;37.0;12.0;10.0;-1.0 / -1.0 / 0.0;3.96;4.44;-0.48;3;А;2;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1408;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
4215;35.0;17.0;14.0;33.0;16.0;12.0;2.0 / 1.0 / 2.0;8.33;6.336;1.994;2;А;2;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1358;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
4216;58.0;9.0;9.0;55.0;9.3;9.3;3.0 / -0.3 / -0.3;4.698;4.757;-0.059;2;В;3;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r2329;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
