external_code;наш_ДхШхВ_см;предлагаемый_Д_мм;предлагаемый_Ш_мм;предлагаемый_В_мм;предлагаемый_ДхШхВ_см;запись_в_прайсе_дословно;взят_источник;источников_всего;подтверждают_этот_размер;все_источники;источники_расходятся_на_мм;сверка_справочных_макс_отклонение_мм;вариантов_короба;наш_объём_л;предлагаемый_объём_л;разница_объёма_л;продаж_в_окне_шт;лишних_л_за_период;карточек_wb_acc1;карточек_wb_acc2;src_file;src_locator;src_sha256
1238;10.0x8.0x5.0;145.0;95.0;48.0;14.5x9.5x4.8;CS-PFI102BK;cactus;2;1;cactus,sakura;15.0;solutionsprint:33.0;2;0.4;0.661;-0.261;;;17;17;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1375;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1239;10.0x8.0x5.0;145.0;95.0;48.0;14.5x9.5x4.8;CS-PFI102C;cactus;2;1;cactus,sakura;15.0;solutionsprint:33.0;2;0.4;0.661;-0.261;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1379;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1240;10.0x8.0x5.0;145.0;95.0;48.0;14.5x9.5x4.8;CS-PFI102M;cactus;2;1;cactus,sakura;15.0;solutionsprint:33.0;2;0.4;0.661;-0.261;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1378;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1241;10.0x8.0x5.0;145.0;95.0;48.0;14.5x9.5x4.8;CS-PFI102Y;cactus;2;1;cactus,sakura;15.0;solutionsprint:33.0;2;0.4;0.661;-0.261;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1377;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1242;10.0x8.0x5.0;145.0;95.0;48.0;14.5x9.5x4.8;CS-PFI102MBK;cactus;2;1;cactus,sakura;15.0;solutionsprint:60.0;2;0.4;0.661;-0.261;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1380;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1873;10.0x8.0x5.0;145.0;95.0;48.0;14.5x9.5x4.8;CS-PFI107BK;cactus;2;2;cactus,sakura;0.0;solutionsprint:185.0;1;0.4;0.661;-0.261;;;7;7;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1376;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1874;10.0x8.0x5.0;145.0;95.0;48.0;14.5x9.5x4.8;CS-PFI107C;cactus;2;2;cactus,sakura;0.0;solutionsprint:185.0;1;0.4;0.661;-0.261;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1373;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1875;10.0x8.0x5.0;145.0;95.0;48.0;14.5x9.5x4.8;CS-PFI107M;cactus;2;2;cactus,sakura;0.0;solutionsprint:185.0;1;0.4;0.661;-0.261;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1372;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1876;10.0x8.0x5.0;145.0;95.0;48.0;14.5x9.5x4.8;CS-PFI107MBK;cactus;2;2;cactus,sakura;0.0;solutionsprint:185.0;1;0.4;0.661;-0.261;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1374;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1877;10.0x8.0x5.0;145.0;95.0;48.0;14.5x9.5x4.8;CS-PFI107Y;cactus;2;2;cactus,sakura;0.0;solutionsprint:185.0;1;0.4;0.661;-0.261;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1371;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
3560;10.0x8.0x5.0;145.0;95.0;48.0;14.5x9.5x4.8;SI2884C001;sakura;2;2;cactus,sakura;0.0;solutionsprint:55.0;1;0.4;0.661;-0.261;;;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Струйная Sakura!r167;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
3561;10.0x8.0x5.0;145.0;95.0;48.0;14.5x9.5x4.8;GG-PFI120C;cactus;2;2;cactus,sakura;0.0;solutionsprint:185.0;1;0.4;0.661;-0.261;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3828;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
3562;10.0x8.0x5.0;145.0;95.0;48.0;14.5x9.5x4.8;GG-PFI120M;cactus;2;2;cactus,sakura;0.0;solutionsprint:185.0;1;0.4;0.661;-0.261;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3829;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
3563;10.0x8.0x5.0;145.0;95.0;48.0;14.5x9.5x4.8;GG-PFI120Y;cactus;2;2;cactus,sakura;0.0;solutionsprint:185.0;1;0.4;0.661;-0.261;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3830;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
3882;15.0x10.0x8.0;270.0;130.0;40.0;27.0x13.0x4.0;IC-ET05A200;izi;2;1;izi,sakura;15.0;нет данных;2;1.2;1.404;-0.204;;;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1506;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
3883;15.0x10.0x8.0;270.0;130.0;40.0;27.0x13.0x4.0;IC-ET05A300;izi;2;1;izi,sakura;15.0;нет данных;2;1.2;1.404;-0.204;;;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1507;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
3884;15.0x10.0x8.0;270.0;130.0;40.0;27.0x13.0x4.0;IC-ET05A400;izi;2;1;izi,sakura;15.0;solutionsprint:65.0;2;1.2;1.404;-0.204;;;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1508;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
2860;10.0x8.0x5.0;155.0;90.0;40.0;15.5x9.0x4.0;CS-B3P23A;cactus;2;2;cactus,sakura;0.0;solutionsprint:57.0;1;0.4;0.558;-0.158;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1863;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
2861;10.0x8.0x5.0;155.0;90.0;40.0;15.5x9.0x4.0;CS-B3P19A;cactus;2;2;cactus,sakura;0.0;solutionsprint:57.0;1;0.4;0.558;-0.158;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1862;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
2862;10.0x8.0x5.0;155.0;90.0;40.0;15.5x9.0x4.0;CS-B3P20A;cactus;2;2;cactus,sakura;0.0;solutionsprint:57.0;1;0.4;0.558;-0.158;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1861;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
2863;10.0x8.0x5.0;155.0;90.0;40.0;15.5x9.0x4.0;CS-B3P21A;cactus;2;2;cactus,sakura;0.0;solutionsprint:57.0;1;0.4;0.558;-0.158;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1860;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
2864;10.0x8.0x5.0;155.0;90.0;40.0;15.5x9.0x4.0;CS-B3P24A;cactus;2;2;cactus,sakura;0.0;solutionsprint:57.0;1;0.4;0.558;-0.158;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1859;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4217;58.0x9.0x9.0;550.0;93.0;93.0;55.0x9.3x9.3;CS-IMC3500C;cactus;2;1;cactus,izi;13.0;нет данных;2;4.698;4.757;-0.059;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r2330;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4218;58.0x9.0x9.0;550.0;93.0;93.0;55.0x9.3x9.3;CS-IMC3500M;cactus;2;1;cactus,izi;13.0;нет данных;2;4.698;4.757;-0.059;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r2331;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4219;58.0x9.0x9.0;550.0;93.0;93.0;55.0x9.3x9.3;CS-IMC3500Y;cactus;2;1;cactus,izi;13.0;нет данных;2;4.698;4.757;-0.059;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r2332;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1488;8.0x5.0x5.0;115.0;90.0;20.0;11.5x9.0x2.0;IC-CPGI-2400XL C;izi;2;1;cactus,izi;5.0;solutionsprint:55.0;2;0.2;0.207;-0.007;;;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1201;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
1489;8.0x5.0x5.0;115.0;90.0;20.0;11.5x9.0x2.0;IC-CPGI-2400XL M;izi;2;1;cactus,izi;5.0;solutionsprint:55.0;2;0.2;0.207;-0.007;;;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1202;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
