nm_id;vendor_code;card_vol_l;real_vol_l;razdutost_x;qty_mo;log_per_fact;save_per_unit;save_per_month;supplier_article
474526695;6206;5.38;2.26;2.38;2;201;93;186;изи: TC-K1270
263821943;3843;1.5;0.26;5.7;5;120;37;185;cactus: GG-BT5000Y
199334108;2320;11.1;5.0;2.22;1;310;182;182;profiline: GP_CF237A
199334839;3367;11.1;5.02;2.21;1;1369;181;181;cactus: CS-TN2135
200166325;02809;11.1;5.06;2.2;1;375;180;180;изи: LS-104S
200166683;13672;11.1;5.06;2.2;1;310;180;180;изи: TC-X3020
200166638;13671;11.1;5.06;2.2;1;310;180;180;изи: TC-X3020
216429870;1849;15.23;9.29;1.64;1;407;177;177;cactus: CS-DU7120M
874380077;07467D3XIN60;11.1;5.28;2.1;1;282;174;174;изи: LH-505A U
199331208;1210;11.1;5.28;2.1;1;310;174;174;sakura: SATK895K
199572500;116811;11.1;5.39;2.06;1;310;170;170;изи: LC-737 U
199331101;0111;10.8;5.12;2.11;1;303;169;169;изи: LS-109
181097500;0036;9.5;3.97;2.4;1;273;165;165;sakura: SA013R00625
253019573;5530;8.28;5.53;1.5;2;245;82;164;cactus: GG-W1510X
216354658;2965;11.1;5.6;1.98;1;1332;164;164;изи: DK-1150
181115878;2315;6.72;1.32;5.09;1;202;161;161;profiline: CG_TN-1095
199331777;0254;9.5;4.14;2.3;1;231;160;160;profiline: GP_108R00909
292489053;5773;9.77;4.41;2.22;1;279;160;160;изи: TC-C070
216355680;3405;11.1;6.0;1.85;1;310;152;152;profiline: PL_E260X22G_Drum
199331788;0266;9.5;4.41;2.16;1;273;152;152;cactus: CS-CLT-C409S
199331420;2179;11.1;6.11;1.82;1;310;149;149;sakura: SACRG040HM
200166094;23154;6.72;5.06;1.33;3;208;50;149;изи: TC-B1095
199333216;1073;11.1;6.12;1.81;1;310;149;149;cactus: CS-WC5325
313183445;1144LCX3OOXQ;11.1;6.16;1.8;1;309;147;147;изи: LX-3260
200166660;11444;11.1;6.16;1.8;1;310;147;147;изи: TC-X3260
199331174;0502;11.1;6.21;1.79;1;375;146;146;sakura: SAE250A11E
199335399;4205;7.66;2.79;2.74;1;230;145;145;sakura: SAW2071A
681317388;0060;9.5;4.64;2.05;1;273;145;145;изи: TC-C719H
199334841;3448;11.1;6.25;1.78;1;310;145;145;изи: TC-HCF259X_NC
216354472;3024;11.1;6.38;1.74;1;376;141;141;изи: DC-EXV49
216429144;02769;10.8;6.16;1.75;1;303;138;138;изи: TC-S105L
843059126;1999;11.1;6.48;1.71;1;311;138;138;cactus: CS-DR512K
275794813;4669;6.91;2.51;2.75;1;213;131;131;sakura: SACTL-1100HM
865249536;23194N06ZN5Y;11.1;6.72;1.65;1;310;131;131;изи: LL-51B5000
200168126;5343;9.5;5.13;1.85;1;372;130;130;sakura: SAML1520
261996750;4364;10.21;5.86;1.74;1;753;130;130;sakura: SADL-420P
199335493;4481;6.76;2.52;2.68;1;489;126;126;profiline: GP_CTL-1100XK_BK
199333413;1306;11.1;6.88;1.61;1;310;126;126;sakura: SA50F5H00/50F5H0E
257945613;5406;7.2;3.0;2.4;1;565;125;125;profiline: GP_W1510A_no_chip
181115869;3434;6.72;2.52;2.67;1;208;125;125;profiline: GP_TN-217Y_Y
431869123;3431;6.72;2.53;2.66;1;208;125;125;profiline: GP_TN-217BK_BK
199335593;5339;7.28;5.19;1.4;2;221;62;125;sakura: SAQ7553A
215239527;0856;6.72;2.54;2.65;1;543;125;125;profiline: GP_TN-241BK_BK
199570218;01101;7.14;5.06;1.41;2;393;62;124;изи: TC-S1640
181095434;0328;1.2;0.16;7.5;4;81;31;124;profiline: PL_CN684HE_BK
199333328;1312;11.1;6.94;1.6;1;300;124;124;cactus: CS-LX60F5H00
236322621;5335;7.28;3.17;2.29;1;221;122;122;cactus: GG-FX10
199334944;3614;11.1;7.0;1.59;1;366;122;122;profiline: GP_CF289A/056L_no_chip
511078084;6576EA2D3QLR;1.15;0.19;5.97;4;75;29;114;cactus: CS-C8765
915925258;11708IZQVREO;6.72;2.94;2.28;1;208;113;113;изи: LB-1075
209733995;4831;7.2;3.52;2.05;1;220;110;110;cactus: GG-CF289A
257945575;5381;6.66;2.99;2.23;1;207;109;109;cactus: CS-C055M
200166184;085112;6.72;3.2;2.1;1;208;105;105;изи: TC-B2375
209733985;4828;3.7;0.25;14.64;1;165;103;103;изи: IC-H651_MP
192568162;2250;1.0;0.14;7.19;4;77;26;103;изи: IC-CLI451BK XL
199569931;00191;7.28;6.16;1.18;3;340;33;100;изи: TC-CEP27
